round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,0.9901,61.6283,98.5783,1.0044,60.6300,98.3900
200,0.7537,70.9767,99.1633,0.7676,70.7300,99.0700
300,0.6028,76.1883,99.5917,0.6224,75.6100,99.4400
400,0.5758,77.2633,99.6383,0.5965,76.7400,99.5800
500,0.5616,78.3450,99.5650,0.5851,77.3800,99.3900
600,0.4754,82.0517,99.6733,0.5020,80.5300,99.5400
700,0.4448,83.2267,99.6850,0.4668,82.4000,99.6900
800,0.4401,82.7150,99.7800,0.4707,81.4400,99.6800
900,0.4137,84.5067,99.7433,0.4420,83.6100,99.6700
1000,0.4218,83.7183,99.7217,0.4541,82.6900,99.6100
1100,0.4051,84.9767,99.7483,0.4352,83.7200,99.6900
1200,0.3800,85.7533,99.8183,0.4118,85.2200,99.7500
1300,0.3541,86.6783,99.8500,0.3918,85.4100,99.7900
1400,0.3949,85.2833,99.7867,0.4264,83.9900,99.7300
1500,0.3552,86.6650,99.8050,0.3885,85.6700,99.7600
1600,0.4794,81.0917,99.7900,0.5227,79.5600,99.7200
1700,0.3441,87.0400,99.8533,0.3824,85.6600,99.7900
1800,0.3354,87.4317,99.8300,0.3710,86.3600,99.7600
1900,0.3363,87.3600,99.8483,0.3738,86.2700,99.7700
2000,0.3295,87.6100,99.8717,0.3722,86.3800,99.7400
2100,0.3188,88.0217,99.8367,0.3608,87.0700,99.7500
2200,0.3341,87.2717,99.8833,0.3856,85.6700,99.8000
2300,0.3119,88.2933,99.8850,0.3590,86.9900,99.7900
2400,0.3101,88.1567,99.8933,0.3600,87.0100,99.8000
2500,0.3134,88.2200,99.8617,0.3561,87.0600,99.8100
2600,0.3321,86.9967,99.9033,0.3802,85.4300,99.8000
2700,0.3019,88.4783,99.8883,0.3517,87.2800,99.8100
2800,0.2958,88.7183,99.9283,0.3490,87.2300,99.8100
2900,0.3065,88.3017,99.8900,0.3607,86.7700,99.7800
3000,0.3043,88.3200,99.9217,0.3567,86.9100,99.8000
3100,0.2787,89.3450,99.9250,0.3369,87.6200,99.8500
3200,0.2717,89.7083,99.9183,0.3311,88.0800,99.8300
3300,0.2746,89.5150,99.9400,0.3359,87.7300,99.7900
3400,0.2839,89.1900,99.9250,0.3427,87.7100,99.7100
3500,0.2722,89.4950,99.9333,0.3304,87.9300,99.8200
3600,0.2904,89.0133,99.9200,0.3506,87.2400,99.7700
3700,0.2724,89.4417,99.9550,0.3365,87.4700,99.8400
3800,0.2616,90.0600,99.9500,0.3286,88.3300,99.7800
3900,0.2757,89.4517,99.9400,0.3371,87.5400,99.7700
4000,0.2590,89.9850,99.9467,0.3264,88.2100,99.8100
4100,0.2688,89.8317,99.9567,0.3364,88.3100,99.8100
4200,0.2474,90.5000,99.9467,0.3235,88.2500,99.8200
4300,0.2478,90.3850,99.9650,0.3249,88.4000,99.8200
4400,0.2489,90.4100,99.9667,0.3272,88.1500,99.8000
4500,0.2558,90.1450,99.9617,0.3364,88.0200,99.8100
4600,0.2464,90.4283,99.9600,0.3245,88.2700,99.8300
4700,0.2421,90.4650,99.9733,0.3325,87.7800,99.8300
4800,0.2645,89.9117,99.9500,0.3499,87.4200,99.7600
4900,0.2417,90.6183,99.9717,0.3300,88.2100,99.7900
5000,0.2391,90.7133,99.9750,0.3305,88.6000,99.8100
5100,0.2438,90.5750,99.9733,0.3337,88.3900,99.8200
5200,0.2301,91.0983,99.9750,0.3239,88.7300,99.8100
5300,0.2154,91.7683,99.9750,0.3050,89.1200,99.8300
5400,0.2230,91.3217,99.9633,0.3131,89.0700,99.7800
5500,0.2326,91.0750,99.9667,0.3397,88.5600,99.8200
5600,0.2242,91.3750,99.9733,0.3242,88.2500,99.8100
5700,0.2144,91.6933,99.9867,0.3166,88.9100,99.7800
5800,0.2234,91.3867,99.9817,0.3249,88.6800,99.7800
5900,0.2134,91.8150,99.9783,0.3159,89.0300,99.8300
6000,0.2123,91.8283,99.9900,0.3185,89.0600,99.7900
6100,0.2051,92.1950,99.9900,0.3085,89.2400,99.8200
6200,0.2599,89.9717,99.9633,0.3438,88.0500,99.7500
6300,0.2214,91.4183,99.9900,0.3244,88.4700,99.7900
6400,0.7275,73.9800,98.8167,0.7386,73.2200,98.5300
6500,0.3656,85.9400,99.7967,0.4038,84.6100,99.7300
6600,0.3114,88.4767,99.8933,0.3616,86.5400,99.7700
6700,0.2863,89.0750,99.9117,0.3466,87.3200,99.8400
6800,0.2721,89.5600,99.9300,0.3381,87.5100,99.7900
6900,0.2636,89.8317,99.9567,0.3373,88.1700,99.8400
7000,0.2766,89.1200,99.9450,0.3590,87.3800,99.8100
7100,0.2559,90.2083,99.9400,0.3396,87.9900,99.8000
7200,0.2473,90.5617,99.9583,0.3322,88.2700,99.7600
7300,0.2435,90.5917,99.9383,0.3331,88.3900,99.7900
7400,0.2445,90.5067,99.9717,0.3419,87.7000,99.8200
7500,0.2292,91.1400,99.9733,0.3272,88.5500,99.7900
7600,0.2239,91.2933,99.9750,0.3263,88.5500,99.8400
7700,0.2202,91.4750,99.9867,0.3178,88.7400,99.8200
7800,0.2158,91.5783,99.9850,0.3287,88.6600,99.7900
7900,0.2257,91.4150,99.9867,0.3305,88.5100,99.8100
8000,0.2403,90.3933,99.9817,0.3503,87.2200,99.7800
8100,0.2211,91.4417,99.9883,0.3276,88.6400,99.8200
8200,0.2158,91.5450,99.9900,0.3313,88.9200,99.7800
8300,0.2127,91.8283,99.9867,0.3213,88.8500,99.7800
8400,0.2708,89.4567,99.9767,0.3847,86.7400,99.7800
8500,0.2078,91.9567,99.9917,0.3277,88.6800,99.8100
8600,0.2062,91.9833,99.9817,0.3206,89.1700,99.7700
8700,0.2107,91.6383,99.9950,0.3393,88.4000,99.7700
8800,0.2090,91.8400,99.9867,0.3329,88.8900,99.7700
8900,0.2097,91.8433,99.9833,0.3305,88.6700,99.8000
9000,0.1962,92.2750,99.9983,0.3333,88.9600,99.8100
9100,0.2017,92.1250,99.9933,0.3291,88.6600,99.7900
9200,0.2085,91.8200,99.9983,0.3400,88.4300,99.7800
9300,0.1814,92.9117,99.9900,0.3211,89.3400,99.8100
9400,0.1889,92.6267,99.9917,0.3298,89.1600,99.8100
9500,0.2178,91.5700,99.9950,0.3517,88.0600,99.7500
9600,0.1784,93.0283,99.9917,0.3214,89.2900,99.8200
9700,0.1793,92.9917,99.9967,0.3237,89.2600,99.8000
9800,0.1810,92.9717,99.9950,0.3299,88.9900,99.8000
9900,0.1774,93.0483,100.0000,0.3291,89.4200,99.7900
10000,0.1834,92.7850,99.9967,0.3286,88.7700,99.8100
