round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,0.6628,77.5500,99.3933,0.6832,76.4200,99.3700
200,0.5901,79.7183,99.5150,0.6138,78.5000,99.4900
300,0.5441,81.6033,99.5250,0.5695,80.2300,99.5000
400,0.5168,82.3733,99.5700,0.5439,81.0800,99.5300
500,0.4945,83.3217,99.5833,0.5228,82.1900,99.5500
600,0.4844,83.6083,99.5850,0.5133,82.3600,99.5700
700,0.4751,83.9133,99.5967,0.5050,82.5100,99.5500
800,0.4680,84.0833,99.6067,0.4998,82.6700,99.5700
900,0.4606,84.2650,99.6117,0.4923,82.9800,99.5800
1000,0.4568,84.4350,99.6017,0.4890,82.8900,99.5900
1100,0.4525,84.5033,99.5967,0.4856,82.9400,99.5900
1200,0.4485,84.5900,99.6033,0.4826,83.0500,99.6100
1300,0.4518,84.4117,99.5833,0.4860,83.0400,99.5600
1400,0.4416,84.8433,99.6083,0.4763,83.3800,99.6200
1500,0.4391,84.8133,99.6183,0.4753,83.2100,99.6000
1600,0.4372,85.0350,99.6100,0.4734,83.4100,99.6100
1700,0.4336,85.1383,99.6200,0.4699,83.4600,99.6000
1800,0.4373,84.9933,99.6250,0.4733,83.2800,99.5900
1900,0.4306,85.2283,99.6350,0.4674,83.6100,99.5800
2000,0.4302,85.2633,99.6250,0.4678,83.5100,99.5800
2100,0.4265,85.3733,99.6350,0.4643,83.7100,99.5900
2200,0.4264,85.2733,99.6333,0.4648,83.6600,99.5700
2300,0.4257,85.3867,99.6433,0.4644,83.5800,99.5900
2400,0.4233,85.4483,99.6600,0.4621,83.6700,99.5500
2500,0.4204,85.6383,99.6500,0.4599,83.7200,99.5800
2600,0.4203,85.5133,99.6633,0.4602,83.6200,99.5600
2700,0.4206,85.4767,99.6550,0.4606,83.6700,99.5500
2800,0.4181,85.6167,99.6650,0.4585,83.6600,99.5900
2900,0.4184,85.5383,99.6683,0.4586,83.7900,99.5700
3000,0.4162,85.6100,99.6650,0.4573,83.7500,99.5900
3100,0.4157,85.5850,99.6800,0.4566,83.6300,99.5600
3200,0.4152,85.7267,99.6650,0.4565,83.9300,99.5700
3300,0.4148,85.6950,99.6750,0.4566,83.7800,99.5900
3400,0.4143,85.7133,99.6717,0.4563,83.8300,99.5400
3500,0.4113,85.8750,99.6700,0.4536,83.9100,99.5900
3600,0.4110,85.8183,99.6783,0.4541,84.1400,99.5600
3700,0.4090,85.9333,99.6800,0.4513,84.0700,99.5800
3800,0.4116,85.6883,99.6817,0.4546,83.9200,99.5600
3900,0.4078,85.8633,99.6817,0.4512,84.0400,99.5600
4000,0.4094,85.7567,99.6767,0.4530,83.9500,99.5800
4100,0.4082,85.8217,99.6817,0.4515,84.0100,99.6000
4200,0.4071,85.9550,99.6967,0.4513,84.0100,99.5800
4300,0.4068,85.9583,99.6800,0.4516,84.1300,99.5600
4400,0.4047,85.9833,99.6917,0.4490,84.1500,99.5600
4500,0.4076,85.8150,99.6883,0.4528,83.9100,99.5400
4600,0.4058,85.9817,99.7000,0.4504,83.9500,99.5900
4700,0.4039,86.0967,99.6967,0.4488,84.0500,99.5600
4800,0.4045,86.0650,99.6950,0.4504,84.0200,99.5400
4900,0.4021,86.0583,99.7017,0.4482,84.0300,99.5500
5000,0.4020,86.0517,99.6867,0.4480,84.1600,99.5900
5100,0.4037,85.9967,99.6917,0.4495,84.1700,99.5500
5200,0.4025,86.0133,99.7017,0.4493,84.1300,99.5400
5300,0.4002,86.1150,99.6933,0.4474,84.1600,99.5700
5400,0.4010,86.0983,99.7000,0.4480,83.9000,99.6100
5500,0.4038,85.8500,99.6933,0.4509,84.0000,99.5300
5600,0.3992,86.1833,99.7083,0.4463,84.1700,99.5700
5700,0.3996,86.1650,99.7150,0.4466,84.2000,99.6000
