INFO:root:Namespace(m='logistic', d='fashionmnist', s=2, R=10000, K=5, M=1000, P=10, partition='exdir', alpha=[1, 100.0], optim='sgd', lr=0.01, lr_decay=1.0, momentum=0.0, weight_decay=0.0, global_lr=1.0, batch_size=20, seed=0, clip=10, log='info+log', eval_every=100, device=0, start_round=0, save_model=0)
INFO:root:record_name: BalancingFedAvgII1.0_M1000_P10_K5_R10000,100_logistic_fashionmnist_exdir1,100.0_sgd0.01,1.0,0.0,0.0_b20_seed0_clip10
INFO:root:Logistic(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer): Linear(in_features=784, out_features=10, bias=True)
)
INFO:root:Round 100's server train  acc:  77.55%, train loss: 0.6628
INFO:root:Round 100's server test   acc:  76.42%, test  loss: 0.6832
INFO:root:Round 200's server train  acc:  79.72%, train loss: 0.5901
INFO:root:Round 200's server test   acc:  78.50%, test  loss: 0.6138
INFO:root:Round 300's server train  acc:  81.60%, train loss: 0.5441
INFO:root:Round 300's server test   acc:  80.23%, test  loss: 0.5695
INFO:root:Round 400's server train  acc:  82.37%, train loss: 0.5168
INFO:root:Round 400's server test   acc:  81.08%, test  loss: 0.5439
INFO:root:Round 500's server train  acc:  83.32%, train loss: 0.4945
INFO:root:Round 500's server test   acc:  82.19%, test  loss: 0.5228
INFO:root:Round 600's server train  acc:  83.61%, train loss: 0.4844
INFO:root:Round 600's server test   acc:  82.36%, test  loss: 0.5133
INFO:root:Round 700's server train  acc:  83.91%, train loss: 0.4751
INFO:root:Round 700's server test   acc:  82.51%, test  loss: 0.5050
INFO:root:Round 800's server train  acc:  84.08%, train loss: 0.4680
INFO:root:Round 800's server test   acc:  82.67%, test  loss: 0.4998
INFO:root:Round 900's server train  acc:  84.27%, train loss: 0.4606
INFO:root:Round 900's server test   acc:  82.98%, test  loss: 0.4923
INFO:root:Round 1000's server train  acc:  84.44%, train loss: 0.4568
INFO:root:Round 1000's server test   acc:  82.89%, test  loss: 0.4890
INFO:root:Round 1100's server train  acc:  84.50%, train loss: 0.4525
INFO:root:Round 1100's server test   acc:  82.94%, test  loss: 0.4856
INFO:root:Round 1200's server train  acc:  84.59%, train loss: 0.4485
INFO:root:Round 1200's server test   acc:  83.05%, test  loss: 0.4826
INFO:root:Round 1300's server train  acc:  84.41%, train loss: 0.4518
INFO:root:Round 1300's server test   acc:  83.04%, test  loss: 0.4860
INFO:root:Round 1400's server train  acc:  84.84%, train loss: 0.4416
INFO:root:Round 1400's server test   acc:  83.38%, test  loss: 0.4763
INFO:root:Round 1500's server train  acc:  84.81%, train loss: 0.4391
INFO:root:Round 1500's server test   acc:  83.21%, test  loss: 0.4753
INFO:root:Round 1600's server train  acc:  85.03%, train loss: 0.4372
INFO:root:Round 1600's server test   acc:  83.41%, test  loss: 0.4734
INFO:root:Round 1700's server train  acc:  85.14%, train loss: 0.4336
INFO:root:Round 1700's server test   acc:  83.46%, test  loss: 0.4699
INFO:root:Round 1800's server train  acc:  84.99%, train loss: 0.4373
INFO:root:Round 1800's server test   acc:  83.28%, test  loss: 0.4733
INFO:root:Round 1900's server train  acc:  85.23%, train loss: 0.4306
INFO:root:Round 1900's server test   acc:  83.61%, test  loss: 0.4674
INFO:root:Round 2000's server train  acc:  85.26%, train loss: 0.4302
INFO:root:Round 2000's server test   acc:  83.51%, test  loss: 0.4678
INFO:root:Round 2100's server train  acc:  85.37%, train loss: 0.4265
INFO:root:Round 2100's server test   acc:  83.71%, test  loss: 0.4643
INFO:root:Round 2200's server train  acc:  85.27%, train loss: 0.4264
INFO:root:Round 2200's server test   acc:  83.66%, test  loss: 0.4648
INFO:root:Round 2300's server train  acc:  85.39%, train loss: 0.4257
INFO:root:Round 2300's server test   acc:  83.58%, test  loss: 0.4644
INFO:root:Round 2400's server train  acc:  85.45%, train loss: 0.4233
INFO:root:Round 2400's server test   acc:  83.67%, test  loss: 0.4621
INFO:root:Round 2500's server train  acc:  85.64%, train loss: 0.4204
INFO:root:Round 2500's server test   acc:  83.72%, test  loss: 0.4599
