round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,0.4879,87.5217,99.1133,0.4693,88.2800,99.1000
200,0.4019,89.2083,99.3217,0.3862,89.8400,99.2400
300,0.3642,90.0817,99.4000,0.3518,90.4400,99.3100
400,0.3451,90.6133,99.4367,0.3338,90.8700,99.3400
500,0.3326,90.8267,99.4450,0.3228,91.0400,99.3900
600,0.3232,91.0917,99.4650,0.3149,91.2700,99.3700
700,0.3158,91.2667,99.4900,0.3089,91.4000,99.3700
800,0.3114,91.4083,99.5017,0.3053,91.4200,99.4100
900,0.3069,91.4317,99.5183,0.3016,91.5800,99.4300
1000,0.3030,91.5567,99.5183,0.2987,91.6200,99.4300
1100,0.3000,91.6700,99.5383,0.2966,91.7100,99.4500
1200,0.2971,91.7267,99.5433,0.2948,91.7400,99.4700
1300,0.2942,91.7967,99.5367,0.2919,91.8900,99.4900
1400,0.2934,91.8567,99.5417,0.2924,91.7600,99.5000
1500,0.2898,91.9200,99.5400,0.2901,91.8900,99.5000
1600,0.2884,92.0333,99.5500,0.2881,91.9000,99.4900
1700,0.2875,92.0000,99.5517,0.2898,91.8700,99.5100
1800,0.2852,92.0883,99.5667,0.2860,91.8500,99.5500
1900,0.2839,92.1183,99.5650,0.2861,91.8600,99.5500
2000,0.2826,92.1333,99.5750,0.2856,91.9800,99.5500
2100,0.2819,92.1317,99.5750,0.2848,91.7900,99.5700
2200,0.2804,92.2150,99.5750,0.2836,91.8600,99.5500
2300,0.2796,92.1700,99.5850,0.2828,91.8700,99.5600
2400,0.2783,92.2350,99.5750,0.2824,91.9200,99.5600
2500,0.2778,92.2767,99.5850,0.2828,91.9600,99.5600
2600,0.2762,92.3483,99.5867,0.2813,91.8800,99.5700
2700,0.2761,92.3367,99.5917,0.2810,91.9300,99.5600
2800,0.2741,92.3667,99.6017,0.2794,91.9600,99.5700
2900,0.2739,92.4317,99.5917,0.2803,92.0100,99.5600
3000,0.2731,92.4133,99.5983,0.2798,91.9600,99.5700
3100,0.2729,92.4383,99.5983,0.2793,91.9700,99.6000
3200,0.2714,92.4700,99.6033,0.2787,91.9500,99.5700
3300,0.2710,92.4400,99.5967,0.2789,91.9400,99.5600
3400,0.2704,92.4750,99.5967,0.2779,91.9300,99.5700
3500,0.2694,92.4967,99.6017,0.2772,92.0200,99.5600
3600,0.2687,92.5183,99.6117,0.2772,91.9800,99.5800
3700,0.2686,92.5100,99.6117,0.2771,91.9600,99.5700
3800,0.2682,92.5167,99.6100,0.2773,92.0000,99.5600
3900,0.2678,92.5167,99.6217,0.2766,91.9700,99.5900
4000,0.2667,92.5500,99.6133,0.2761,91.9700,99.5800
4100,0.2662,92.5967,99.6200,0.2759,92.0700,99.5900
4200,0.2658,92.5767,99.6133,0.2760,92.0200,99.5800
4300,0.2656,92.5717,99.6083,0.2764,92.0500,99.5800
4400,0.2651,92.6183,99.6100,0.2754,92.0300,99.5700
4500,0.2643,92.6583,99.6233,0.2747,92.1400,99.5800
4600,0.2644,92.6533,99.6183,0.2750,92.1400,99.5700
4700,0.2640,92.6483,99.6200,0.2752,92.1500,99.5900
4800,0.2639,92.6317,99.6250,0.2746,92.2000,99.5800
4900,0.2634,92.6833,99.6167,0.2756,92.0500,99.5600
5000,0.2629,92.6983,99.6250,0.2748,92.1100,99.5700
5100,0.2623,92.6967,99.6317,0.2740,92.1000,99.5800
5200,0.2619,92.7317,99.6317,0.2736,92.2200,99.6000
5300,0.2615,92.7200,99.6383,0.2743,92.2100,99.5800
5400,0.2614,92.7217,99.6367,0.2732,92.1100,99.5900
5500,0.2609,92.7350,99.6300,0.2739,92.1900,99.6200
5600,0.2613,92.7333,99.6383,0.2757,92.0900,99.5900
5700,0.2605,92.7867,99.6350,0.2742,92.0900,99.5800
5800,0.2609,92.7133,99.6467,0.2745,92.0700,99.6100
5900,0.2601,92.7917,99.6417,0.2732,92.1800,99.5900
6000,0.2595,92.7917,99.6400,0.2728,92.1600,99.6200
6100,0.2601,92.7833,99.6450,0.2745,92.1000,99.5700
6200,0.2589,92.7950,99.6483,0.2726,92.2300,99.6000
6300,0.2590,92.7917,99.6617,0.2728,92.2200,99.6000
6400,0.2586,92.8150,99.6483,0.2722,92.2100,99.5900
6500,0.2582,92.8000,99.6583,0.2727,92.2200,99.5900
6600,0.2578,92.8300,99.6483,0.2722,92.2900,99.5800
6700,0.2584,92.7917,99.6600,0.2735,92.0600,99.5800
6800,0.2575,92.8617,99.6583,0.2729,92.3000,99.5700
6900,0.2574,92.8317,99.6650,0.2729,92.1100,99.6000
7000,0.2570,92.8267,99.6700,0.2730,92.2900,99.5900
7100,0.2568,92.8867,99.6667,0.2725,92.2700,99.5900
7200,0.2564,92.9000,99.6650,0.2724,92.1400,99.5700
7300,0.2564,92.8917,99.6617,0.2731,92.1700,99.5800
7400,0.2564,92.8667,99.6667,0.2727,92.2000,99.5800
7500,0.2560,92.8600,99.6533,0.2729,92.2600,99.6000
7600,0.2559,92.9250,99.6700,0.2716,92.2400,99.5700
7700,0.2555,92.8717,99.6667,0.2719,92.3300,99.6000
7800,0.2555,92.8900,99.6683,0.2725,92.1400,99.5800
7900,0.2556,92.8717,99.6650,0.2717,92.2600,99.6000
8000,0.2546,92.9300,99.6700,0.2715,92.2700,99.5900
8100,0.2550,92.8550,99.6750,0.2715,92.3200,99.6100
8200,0.2541,92.9467,99.6683,0.2720,92.3400,99.5900
8300,0.2544,92.8867,99.6850,0.2722,92.2200,99.5900
8400,0.2544,92.9000,99.6767,0.2721,92.2500,99.6000
8500,0.2539,92.8967,99.6750,0.2719,92.1800,99.5600
8600,0.2533,92.9583,99.6783,0.2717,92.2300,99.5800
8700,0.2535,92.9250,99.6800,0.2716,92.2400,99.5900
8800,0.2535,92.9517,99.6867,0.2723,92.2400,99.6000
