INFO:root:Namespace(m='logistic', d='mnist', s=2, R=10000, K=5, M=1000, P=10, partition='exdir', alpha=[1, 100.0], optim='sgd', lr=0.01, lr_decay=1.0, momentum=0.0, weight_decay=0.0, global_lr=1.0, batch_size=20, seed=0, clip=10, log='info+log', eval_every=100, device=0, start_round=0, save_model=0)
INFO:root:record_name: BalancingFedAvgII1.0_M1000_P10_K5_R10000,100_logistic_mnist_exdir1,100.0_sgd0.01,1.0,0.0,0.0_b20_seed0_clip10
INFO:root:Logistic(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer): Linear(in_features=784, out_features=10, bias=True)
)
INFO:root:Round 100's server train  acc:  87.52%, train loss: 0.4879
INFO:root:Round 100's server test   acc:  88.28%, test  loss: 0.4693
INFO:root:Round 200's server train  acc:  89.21%, train loss: 0.4019
INFO:root:Round 200's server test   acc:  89.84%, test  loss: 0.3862
INFO:root:Round 300's server train  acc:  90.08%, train loss: 0.3642
INFO:root:Round 300's server test   acc:  90.44%, test  loss: 0.3518
INFO:root:Round 400's server train  acc:  90.61%, train loss: 0.3451
INFO:root:Round 400's server test   acc:  90.87%, test  loss: 0.3338
INFO:root:Round 500's server train  acc:  90.83%, train loss: 0.3326
INFO:root:Round 500's server test   acc:  91.04%, test  loss: 0.3228
INFO:root:Round 600's server train  acc:  91.09%, train loss: 0.3232
INFO:root:Round 600's server test   acc:  91.27%, test  loss: 0.3149
INFO:root:Round 700's server train  acc:  91.27%, train loss: 0.3158
INFO:root:Round 700's server test   acc:  91.40%, test  loss: 0.3089
INFO:root:Round 800's server train  acc:  91.41%, train loss: 0.3114
INFO:root:Round 800's server test   acc:  91.42%, test  loss: 0.3053
INFO:root:Round 900's server train  acc:  91.43%, train loss: 0.3069
INFO:root:Round 900's server test   acc:  91.58%, test  loss: 0.3016
INFO:root:Round 1000's server train  acc:  91.56%, train loss: 0.3030
INFO:root:Round 1000's server test   acc:  91.62%, test  loss: 0.2987
INFO:root:Round 1100's server train  acc:  91.67%, train loss: 0.3000
INFO:root:Round 1100's server test   acc:  91.71%, test  loss: 0.2966
INFO:root:Round 1200's server train  acc:  91.73%, train loss: 0.2971
INFO:root:Round 1200's server test   acc:  91.74%, test  loss: 0.2948
INFO:root:Round 1300's server train  acc:  91.80%, train loss: 0.2942
INFO:root:Round 1300's server test   acc:  91.89%, test  loss: 0.2919
INFO:root:Round 1400's server train  acc:  91.86%, train loss: 0.2934
INFO:root:Round 1400's server test   acc:  91.76%, test  loss: 0.2924
INFO:root:Round 1500's server train  acc:  91.92%, train loss: 0.2898
INFO:root:Round 1500's server test   acc:  91.89%, test  loss: 0.2901
INFO:root:Round 1600's server train  acc:  92.03%, train loss: 0.2884
INFO:root:Round 1600's server test   acc:  91.90%, test  loss: 0.2881
INFO:root:Round 1700's server train  acc:  92.00%, train loss: 0.2875
INFO:root:Round 1700's server test   acc:  91.87%, test  loss: 0.2898
INFO:root:Round 1800's server train  acc:  92.09%, train loss: 0.2852
INFO:root:Round 1800's server test   acc:  91.85%, test  loss: 0.2860
INFO:root:Round 1900's server train  acc:  92.12%, train loss: 0.2839
INFO:root:Round 1900's server test   acc:  91.86%, test  loss: 0.2861
INFO:root:Round 2000's server train  acc:  92.13%, train loss: 0.2826
INFO:root:Round 2000's server test   acc:  91.98%, test  loss: 0.2856
INFO:root:Round 2100's server train  acc:  92.13%, train loss: 0.2819
INFO:root:Round 2100's server test   acc:  91.79%, test  loss: 0.2848
INFO:root:Round 2200's server train  acc:  92.22%, train loss: 0.2804
INFO:root:Round 2200's server test   acc:  91.86%, test  loss: 0.2836
INFO:root:Round 2300's server train  acc:  92.17%, train loss: 0.2796
INFO:root:Round 2300's server test   acc:  91.87%, test  loss: 0.2828
INFO:root:Round 2400's server train  acc:  92.23%, train loss: 0.2783
INFO:root:Round 2400's server test   acc:  91.92%, test  loss: 0.2824
INFO:root:Round 2500's server train  acc:  92.28%, train loss: 0.2778
INFO:root:Round 2500's server test   acc:  91.96%, test  loss: 0.2828
