round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.5728,10.0000,50.0000,2.5731,10.0000,50.0000
200,2.2176,16.6180,70.0220,2.2151,16.4500,70.1600
300,2.0141,19.8900,81.6600,2.0078,19.9300,82.1200
400,1.8964,28.8180,83.6940,1.8892,29.9300,83.7300
500,1.9066,26.0720,81.2020,1.9052,25.5500,81.6200
600,1.7769,31.3680,86.4960,1.7675,32.4000,86.4500
700,2.1636,31.1380,73.3020,2.1605,31.0700,73.3900
800,1.5540,41.2680,90.7380,1.5458,41.1400,90.8700
900,1.4761,46.0660,91.1380,1.4694,46.0600,91.5900
1000,1.5416,43.5640,90.7560,1.5338,43.3100,91.1700
1100,1.3979,50.4280,93.4680,1.3938,50.6100,93.3800
1200,1.3210,51.3760,93.6920,1.3197,51.2100,93.6300
1300,1.2905,53.8860,94.0680,1.2936,53.2600,94.1200
1400,1.2489,53.9140,94.7860,1.2488,54.1000,95.1100
1500,1.2091,56.4540,95.1040,1.2222,56.2000,94.8900
1600,1.2946,54.2580,93.3800,1.3067,53.3700,93.5300
1700,1.2176,55.5820,94.8600,1.2293,54.8600,94.8100
1800,1.1454,58.6760,95.5780,1.1594,57.9800,95.4400
1900,1.0896,60.6020,95.8680,1.1099,59.7000,95.8800
2000,1.0448,62.3740,96.4700,1.0692,61.9800,96.3300
2100,1.0341,63.1300,96.5480,1.0604,62.2600,96.2400
2200,0.9797,65.0660,96.8960,1.0112,64.3300,96.6300
2300,0.9683,65.9740,96.6920,0.9971,65.0700,96.4200
2400,1.0567,61.7580,96.0600,1.1020,60.0000,95.4100
2500,0.9264,67.0380,97.2660,0.9654,65.7200,97.0500
2600,0.9341,67.0280,96.8860,0.9790,66.0300,96.3500
2700,0.8798,68.3360,97.6780,0.9237,67.5100,97.1700
2800,0.8258,71.0880,97.8640,0.8758,69.4400,97.1200
2900,0.9924,65.7100,95.9120,1.0458,63.8100,95.4200
3000,0.7968,71.7280,98.0900,0.8510,70.2600,97.6000
3100,0.7979,72.4300,97.8700,0.8502,70.8500,97.3800
3200,0.7327,74.0320,98.3520,0.7941,72.4000,97.8700
3300,0.7667,72.9040,98.0060,0.8273,71.4500,97.7100
3400,0.8200,71.0300,97.7980,0.8887,69.1800,97.2100
3500,0.8262,71.1800,98.0280,0.8901,68.9400,97.7100
3600,0.8097,71.2760,98.1080,0.8830,69.1200,97.5100
3700,0.7036,75.3640,98.4600,0.7735,72.9200,98.0000
3800,0.7018,74.9280,98.2780,0.7720,72.8500,97.9000
3900,0.6945,75.1520,98.5380,0.7731,73.3300,97.9700
4000,0.7384,74.2940,98.1920,0.8214,72.1700,97.9100
4100,0.6428,77.3860,98.6800,0.7274,74.6200,98.1200
4200,0.6046,79.1720,98.9040,0.6879,76.3300,98.3200
4300,0.6059,78.9360,98.7520,0.6917,76.2500,98.3500
4400,0.6006,78.6420,98.9340,0.6931,76.3900,98.3300
4500,0.6373,77.7900,98.7460,0.7242,74.9400,98.2500
4600,0.6104,78.7200,98.8280,0.7086,75.7300,98.3600
4700,0.5466,80.8080,99.0480,0.6417,77.8100,98.6500
4800,0.6294,78.0240,98.6700,0.7303,75.4900,98.2400
4900,0.6371,77.9580,98.9260,0.7419,74.7700,98.5200
5000,0.6522,76.6360,98.8080,0.7494,74.0300,98.2700
5100,0.5716,79.9040,98.8700,0.7013,76.5500,98.2400
5200,0.5234,81.5960,99.1540,0.6403,78.1600,98.7500
5300,0.5014,82.3080,99.2100,0.6153,78.8900,98.8100
5400,0.5105,82.0700,99.2860,0.6290,78.6200,98.7300
5500,0.5211,81.6280,99.2040,0.6406,78.2900,98.7800
5600,0.5049,82.0860,99.2520,0.6255,78.7100,98.6900
5700,0.4915,82.6420,99.3020,0.6143,79.1900,98.8000
5800,0.5214,81.7520,99.1620,0.6547,77.4500,98.5600
5900,0.4782,83.1620,99.2800,0.6030,79.4300,98.7700
6000,0.4893,82.8120,99.2720,0.6197,79.0100,98.7000
6100,0.4720,83.1880,99.3900,0.6135,79.2400,98.6200
6200,0.5132,82.2400,99.1580,0.6391,78.1400,98.5600
6300,0.4919,82.5480,99.3600,0.6307,78.8900,98.8200
6400,0.4681,83.4740,99.2640,0.6210,79.0400,98.7900
6500,0.4483,84.3400,99.3920,0.5983,79.8400,98.7400
6600,0.4958,82.6540,99.1380,0.6566,78.3000,98.5700
6700,0.4418,84.3900,99.4060,0.5914,80.3300,98.6700
6800,0.4626,83.4620,99.3500,0.6116,79.3100,98.8700
6900,0.4349,84.8660,99.3260,0.6057,80.3800,98.6200
7000,0.4119,85.6040,99.5220,0.5767,80.9400,98.6700
7100,0.4288,84.8000,99.4440,0.5926,80.4300,98.6600
7200,0.4433,83.8500,99.4900,0.6065,79.1100,98.9800
7300,0.3784,86.8460,99.5920,0.5558,81.6100,98.8500
7400,0.4278,84.7980,99.5400,0.6006,80.4700,98.8500
7500,0.3981,85.6540,99.5780,0.5695,80.5900,98.8400
7600,0.3728,86.8280,99.6080,0.5537,81.2500,98.9300
7700,0.4255,84.7480,99.5400,0.6188,79.5300,98.8100
7800,0.3649,87.4580,99.5860,0.5553,81.8100,99.0000
7900,0.3738,86.7780,99.6340,0.5579,81.3900,98.9700
8000,0.3715,86.8320,99.6040,0.5677,81.3300,98.6300
8100,0.3761,86.5280,99.6380,0.5720,80.8400,98.9700
8200,0.3937,85.9720,99.6000,0.5980,80.4200,98.8800
8300,0.3652,87.0480,99.6740,0.5613,81.4400,98.9000
8400,0.3865,86.2320,99.5760,0.6075,80.5300,98.9300
8500,0.3435,87.7760,99.6940,0.5461,81.9000,98.9900
8600,0.3617,87.2600,99.6460,0.5707,81.2600,98.9600
8700,0.3464,87.5820,99.7300,0.5546,81.9400,98.9600
8800,0.3489,87.4540,99.7320,0.5560,81.9100,98.8900
8900,0.3494,87.6940,99.6700,0.5616,81.4900,98.8800
9000,0.3525,87.4220,99.6860,0.5760,81.5400,99.0000
9100,0.3256,88.1500,99.7840,0.5569,82.2700,98.9500
9200,0.3259,88.2640,99.6800,0.5529,81.7800,98.8500
9300,0.3039,89.3860,99.7540,0.5375,82.8000,99.0700
9400,0.3152,88.6940,99.7260,0.5426,82.3300,98.7500
9500,0.3345,87.9580,99.7040,0.5584,81.2700,98.8800
9600,0.3029,89.3080,99.7920,0.5244,82.7300,99.0000
9700,0.2834,89.9100,99.8040,0.5316,82.7700,99.1300
9800,0.2862,89.6260,99.7960,0.5253,82.8600,98.9100
9900,0.2822,89.8320,99.8120,0.5248,83.2200,99.0700
10000,0.2841,89.8080,99.8080,0.5309,82.7700,98.9000
