round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.8988,1.0000,5.0000,4.9034,1.0000,5.0000
200,4.7270,1.0000,5.0000,4.7285,1.0000,5.0000
300,4.6931,1.0000,5.0000,4.6933,1.0000,5.0000
400,4.6653,1.0000,5.0000,4.6653,1.0000,5.0000
500,4.6719,1.0000,5.0000,4.6720,1.0000,5.0000
600,4.6788,1.0000,5.0000,4.6788,1.0000,5.0000
700,4.6596,1.0000,5.0000,4.6597,1.0000,5.0000
800,4.6669,1.0000,5.0000,4.6670,1.0000,5.0000
900,4.6721,1.0000,5.2840,4.6721,1.0000,5.1600
1000,4.6558,1.0000,5.0000,4.6558,1.0000,5.0000
1100,4.6602,1.0000,5.5620,4.6602,1.0000,5.6500
1200,4.6130,1.2500,6.6180,4.6121,1.2000,6.8200
1300,4.4783,1.7920,9.4960,4.4769,1.8100,9.5900
1400,4.4143,2.1420,10.6280,4.4131,2.1400,10.6400
1500,4.3914,2.4260,11.6620,4.3896,2.2800,11.3300
1600,4.3160,2.9180,12.6560,4.3219,3.0500,12.9800
1700,4.3444,2.1300,13.9720,4.3489,2.1300,13.8200
1800,4.2594,2.7680,14.7960,4.2642,2.6000,14.6900
1900,4.1853,4.1420,16.4060,4.1933,3.9500,16.0500
2000,4.1095,4.4240,20.2980,4.1169,4.5900,20.2300
2100,4.0528,6.3400,24.1960,4.0578,6.3600,23.8800
2200,3.9956,6.1940,25.3200,4.0047,6.4900,24.9900
2300,3.8952,8.9000,29.8440,3.9022,8.5400,29.4100
2400,3.8452,9.3580,31.0600,3.8544,9.2900,30.6200
2500,3.7523,11.3380,35.2340,3.7624,11.2900,34.3700
2600,3.6804,12.9340,37.1540,3.6961,12.5800,36.4100
2700,3.6625,13.3920,38.2980,3.6837,13.0000,37.6200
2800,3.6005,14.3400,38.9860,3.6184,14.0800,38.4800
2900,3.6547,13.6520,38.2260,3.6744,12.8900,37.0900
3000,3.5119,15.4640,42.3960,3.5288,15.1600,42.5600
3100,3.4568,17.3640,44.1440,3.4789,16.9100,43.6900
3200,3.3744,18.1100,46.4860,3.4007,17.8400,45.9800
3300,3.3124,19.7560,49.3960,3.3388,19.2600,48.1200
3400,3.2599,20.3940,49.4200,3.2809,20.0100,48.5000
3500,3.2921,19.2120,47.5980,3.3230,18.2300,46.4500
3600,3.2203,21.4060,50.6460,3.2598,20.3200,49.3800
3700,3.1288,22.7260,52.8980,3.1637,22.3500,51.9700
3800,3.1299,22.5440,52.0700,3.1773,21.2800,50.7400
3900,3.1149,22.6520,53.3720,3.1560,22.0000,52.0400
4000,3.3014,19.8840,49.2920,3.3323,19.3900,48.2300
4100,2.9331,26.8280,58.2440,2.9886,26.0600,56.7200
4200,2.9831,25.2540,56.3500,3.0429,24.0900,55.2700
4300,2.8827,28.1380,59.6180,2.9389,27.0700,57.9200
4400,2.8032,29.5720,61.7200,2.8715,28.7300,59.2600
4500,2.8172,29.1980,61.5980,2.8897,27.1000,59.2800
4600,2.7660,30.3120,62.2120,2.8401,28.9100,59.9000
4700,2.7948,28.8040,61.2540,2.8679,27.5000,59.0200
4800,2.7705,29.9640,61.7040,2.8566,27.9200,59.6800
4900,2.6592,32.6060,64.9320,2.7514,30.7000,62.4200
5000,2.7041,31.0160,63.3820,2.8055,29.5600,60.7300
5100,2.6287,33.2340,65.3180,2.7342,30.5500,63.0200
5200,2.5786,33.5680,66.3320,2.6834,31.3700,63.5100
5300,2.6371,32.8980,64.9680,2.7424,30.8900,61.9600
5400,2.5730,34.1020,66.4640,2.6883,31.7400,63.3700
5500,2.5175,35.0900,67.5280,2.6374,32.8000,64.3500
5600,2.4436,36.5760,68.7440,2.5755,34.0400,65.6100
5700,2.4571,36.6600,69.0880,2.5867,34.2000,65.6200
5800,2.5138,34.8520,67.3260,2.6361,32.2200,64.8400
5900,2.4436,36.4260,69.0900,2.5782,34.1500,65.8200
6000,2.3875,38.5620,70.2280,2.5309,35.3400,67.1400
6100,2.3768,38.4320,70.3240,2.5231,35.5800,67.0200
6200,2.3140,39.5780,71.4420,2.4734,36.4600,67.6700
6300,2.3228,39.1820,71.3620,2.4894,36.1000,67.8900
