round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.0157,9.3320,28.9020,4.0207,9.4100,29.2600
200,3.7387,13.0060,36.8940,3.7598,13.0700,36.6700
300,3.4865,17.7500,43.8020,3.5216,17.9500,43.2700
400,3.3048,20.6800,49.5260,3.3700,19.9700,47.7900
500,3.1069,24.1880,53.6240,3.2044,22.6000,51.2000
600,2.9972,27.1000,57.2700,3.1137,24.7900,54.4300
700,2.8359,29.3000,60.5220,2.9711,26.6400,57.4500
800,2.7642,31.7060,62.7200,2.9221,29.1400,58.3700
900,2.6553,33.2900,64.8460,2.8350,30.5100,60.3400
1000,2.5852,34.9760,66.3320,2.7809,31.0900,61.5000
1100,2.4755,36.4840,68.5480,2.7013,32.9100,63.1500
1200,2.4021,38.4820,70.1560,2.6536,34.1600,64.2300
1300,2.3206,40.2160,71.4640,2.6000,35.0400,65.3400
1400,2.2469,41.8280,73.5020,2.5497,36.1000,66.9100
1500,2.1614,43.5600,74.8020,2.4967,37.4100,67.3900
1600,2.1253,44.3640,75.5560,2.4801,37.5500,67.9900
1700,2.0839,45.1920,76.2560,2.4722,37.9800,67.9400
1800,2.0443,45.8440,76.7100,2.4682,38.2400,67.9800
1900,2.0094,46.7560,77.5340,2.4388,38.3700,68.6600
2000,1.9109,48.8400,79.5860,2.3893,39.8400,69.7500
2100,1.8830,49.6740,80.0620,2.3770,39.9700,70.1600
2200,1.8546,50.3520,80.5780,2.3572,40.4100,70.2800
2300,1.8158,51.2160,81.2380,2.3587,40.4000,70.6600
2400,1.7722,52.4660,81.8820,2.3315,41.2900,70.4500
2500,1.7177,53.2700,82.7960,2.3311,40.7700,71.2200
2600,1.6767,53.8240,83.5000,2.3171,41.0700,71.5200
2700,1.6560,54.4940,83.7160,2.3225,41.8300,71.4700
2800,1.6387,55.2100,83.9920,2.3178,41.6800,71.2400
2900,1.5962,55.9800,84.7280,2.3198,41.7800,71.7800
3000,1.5779,56.5000,84.9900,2.3190,42.1900,71.6600
3100,1.5396,57.2340,85.7660,2.3054,42.5300,72.2600
3200,1.4982,58.3100,86.1380,2.2880,43.2200,72.7800
3300,1.4906,58.6160,86.3820,2.3001,42.4300,72.3400
3400,1.4764,58.9800,86.8440,2.2958,43.0000,72.2900
3500,1.4710,58.7060,86.8460,2.3233,42.7900,72.1400
3600,1.4234,60.1580,87.4960,2.3070,42.9300,72.3600
3700,1.4176,60.3380,87.6900,2.3321,42.6500,72.2500
3800,1.3896,60.6160,88.1220,2.3153,43.0600,72.6500
3900,1.3857,61.0180,87.9340,2.3137,43.6000,72.4000
4000,1.3486,61.6820,88.5520,2.3176,43.2000,72.7200
4100,1.3097,62.9140,89.3040,2.2899,44.1800,73.2600
4200,1.3200,62.6300,88.9380,2.3252,43.5700,72.4900
4300,1.2890,63.3460,89.4420,2.3160,43.6300,72.7400
4400,1.2901,63.4580,89.4260,2.3081,43.7700,72.6100
4500,1.2849,63.2140,89.5740,2.3340,43.4100,72.8700
4600,1.2622,63.9100,90.0900,2.3251,43.8400,72.9000
4700,1.2291,64.9420,90.3220,2.3076,43.8400,73.4000
4800,1.2073,65.1980,90.6440,2.3396,44.1700,73.6700
4900,1.2090,65.2860,90.7820,2.3219,44.3800,73.0300
5000,1.1965,65.9120,90.9500,2.3202,44.4900,73.3400
5100,1.1731,66.2840,91.1360,2.3306,44.3300,73.4900
5200,1.1781,65.9120,91.0700,2.3636,44.1000,72.8000
5300,1.1623,66.5460,91.3440,2.3624,44.3400,73.4400
5400,1.1594,66.6020,91.2720,2.3333,44.7700,73.4000
5500,1.1287,67.3120,91.6260,2.3505,44.7500,73.0300
5600,1.1288,67.4260,91.7760,2.3947,44.1000,73.1000
5700,1.1170,67.6480,91.6660,2.3860,44.5500,73.2400
5800,1.1079,67.5320,92.1080,2.3934,45.1000,72.9000
5900,1.0729,68.8860,92.2820,2.3900,45.2000,72.9500
6000,1.0716,68.9140,92.3320,2.4029,45.0400,73.0400
6100,1.1048,67.9660,91.9660,2.4337,44.1700,72.9700
6200,1.0857,68.1640,92.4000,2.4171,45.1000,73.0900
6300,1.0345,69.7040,92.8480,2.4091,44.6000,73.3800
6400,1.0322,69.8040,92.9900,2.4000,44.6600,73.2700
6500,1.0271,69.8940,92.9500,2.4118,45.3500,72.7800
6600,1.0299,69.6460,93.0480,2.4697,44.3800,72.7500
6700,1.0312,69.7780,92.9580,2.4375,44.8300,72.9200
6800,1.0100,70.2660,93.1460,2.4490,45.0500,72.9100
6900,0.9831,71.0560,93.4520,2.4382,44.6700,73.3100
7000,0.9812,71.0460,93.5140,2.4618,44.7200,73.0600
7100,0.9805,71.2960,93.5820,2.4228,45.3400,73.3100
7200,0.9810,71.0040,93.7120,2.4591,44.9300,72.9100
7300,0.9746,71.0980,93.6920,2.4558,44.7300,72.8100
7400,0.9662,71.3220,93.7060,2.4757,44.8500,72.9700
7500,0.9321,72.2780,94.1060,2.4834,45.2900,73.1800
7600,0.9253,72.5460,94.2320,2.4877,45.3600,73.3700
7700,0.9410,72.1080,93.9040,2.4797,44.7000,73.1400
7800,0.9308,72.4060,94.2360,2.4888,45.0100,73.4400
7900,0.9016,73.0560,94.4760,2.4685,45.1800,73.6300
8000,0.9003,73.1940,94.4120,2.4964,45.0900,73.2700
8100,0.9160,72.9600,94.3720,2.5063,45.2500,73.4100
8200,0.9224,72.7660,94.1780,2.5226,44.6300,72.7500
8300,0.8804,73.5920,94.7120,2.5587,45.2800,73.3400
8400,0.9001,73.1140,94.4440,2.5397,44.9300,72.8600
8500,0.8802,73.6900,94.6820,2.5117,45.1800,73.0400
8600,0.8718,73.9100,94.7320,2.5214,44.7900,73.4700
8700,0.8854,73.7420,94.7460,2.5053,44.7900,72.8100
8800,0.8587,74.4300,94.9500,2.5316,45.2200,73.6600
8900,0.8557,74.3920,95.0000,2.5497,45.6900,73.4600
9000,0.8646,74.0020,94.8360,2.5633,45.1800,73.2400
9100,0.8555,74.3200,94.9040,2.5253,44.9100,73.0400
9200,0.8453,74.5480,95.0460,2.5619,45.1600,73.1700
9300,0.8679,73.8420,94.8240,2.5716,44.9400,72.9200
9400,0.8260,75.1160,95.2760,2.5842,45.1200,73.1600
9500,0.8468,74.3840,95.1260,2.5955,45.3900,73.1700
9600,0.8279,75.0940,95.2880,2.5754,45.2400,73.0300
9700,0.8223,75.2080,95.4200,2.6356,44.8600,72.4800
9800,0.8232,75.2320,95.4200,2.5929,44.9900,72.7500
9900,0.8003,75.9380,95.6160,2.6033,45.1000,73.1400
10000,0.7964,75.9060,95.6740,2.6078,44.7400,73.1200
10100,0.7910,76.1320,95.7340,2.6011,45.2200,73.1200
10200,0.7852,75.9300,95.6560,2.6285,45.6200,73.4700
10300,0.7930,75.7680,95.6400,2.6053,44.7700,72.9100
10400,0.7858,76.2340,95.8180,2.6164,44.7500,72.8500
10500,0.7827,76.0860,95.8160,2.6268,45.0600,73.3500
10600,0.7820,76.3780,95.8960,2.6170,44.8300,72.8400
10700,0.7875,75.9080,95.6800,2.7064,45.1500,72.7100
10800,0.7626,76.6980,95.9060,2.6472,45.5100,72.7700
10900,0.7906,76.1640,95.7400,2.6213,44.5700,73.2700
11000,0.7586,76.7960,95.9600,2.6818,44.9200,73.0400
