round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.9681,1.0000,5.0000,4.9740,1.0000,5.0000
200,4.7833,1.0000,5.0000,4.7857,1.0000,5.0000
300,4.6905,1.0800,5.0000,4.6906,1.1200,5.0000
400,4.6473,1.0000,5.0000,4.6474,1.0000,5.0000
500,4.6444,1.0000,5.0000,4.6444,1.0000,5.0000
600,4.6507,1.1640,5.0000,4.6507,1.2600,5.0000
700,4.6471,1.0000,5.0000,4.6471,1.0000,5.0000
800,4.6431,1.0000,5.0200,4.6432,1.0000,5.0000
900,4.6334,1.0000,4.9980,4.6334,1.0000,5.0000
1000,4.6416,1.0000,5.0000,4.6416,1.0000,5.0000
1100,4.6586,1.0000,5.0000,4.6587,1.0000,5.0000
1200,4.6456,1.0000,5.0000,4.6455,1.0000,5.0000
1300,4.6546,1.0000,5.0000,4.6546,1.0000,5.0000
1400,4.6464,1.0000,5.0000,4.6464,1.0000,5.0000
1500,4.6438,1.0000,5.0000,4.6438,1.0000,5.0000
1600,4.6433,1.0000,5.0000,4.6433,1.0000,5.0000
1700,4.6450,1.0000,5.0000,4.6450,1.0000,5.0000
1800,4.6467,1.0000,5.0000,4.6467,1.0000,5.0000
1900,4.6430,1.0000,5.0000,4.6430,1.0000,5.0000
2000,4.6419,1.0000,5.0140,4.6419,1.0000,5.0200
2100,4.6478,1.0000,5.0000,4.6478,1.0000,5.0000
2200,4.6451,0.9840,5.0000,4.6451,1.0200,5.0000
2300,4.6488,1.0000,5.5760,4.6488,1.0000,5.5700
2400,4.6474,1.0000,5.0000,4.6474,1.0000,5.0000
2500,4.6364,1.0000,5.0000,4.6363,1.0000,5.0000
2600,4.6512,1.0000,5.0000,4.6512,1.0000,5.0000
2700,4.6429,1.0000,5.0000,4.6429,1.0000,5.0000
2800,4.6402,1.0000,5.0000,4.6402,1.0000,5.0000
2900,4.6400,1.0000,5.0660,4.6399,1.0000,5.1800
3000,4.6493,1.0000,5.0020,4.6492,1.0000,5.0000
3100,4.6422,1.0000,5.0000,4.6421,1.0000,5.0000
3200,4.6389,1.2180,5.0000,4.6388,1.2100,5.0000
3300,4.6302,1.4960,6.2860,4.6300,1.4700,6.4000
3400,4.5513,1.8560,8.1660,4.5534,1.8700,8.3500
3500,4.4857,1.9140,9.2100,4.4941,1.8700,9.1300
