round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,1.9117,31.2380,82.9980,1.9064,31.8500,82.8300
200,1.6388,41.9200,90.1440,1.6330,42.5700,90.2300
300,1.5253,44.9940,91.9620,1.5198,44.8100,91.9500
400,1.3934,50.1220,94.1780,1.3943,49.9800,94.0900
500,1.2822,54.9020,94.9960,1.2865,54.5900,95.0000
600,1.2597,55.2760,95.3020,1.2713,54.7500,95.1000
700,1.1672,58.9460,95.5580,1.1805,58.2100,95.5300
800,1.1193,60.5600,96.0880,1.1375,59.5500,96.0600
900,1.1359,59.6820,95.9860,1.1636,58.5700,95.8800
1000,1.0106,64.5120,96.9640,1.0489,62.9000,96.6400
1100,0.9896,65.4360,97.1460,1.0349,63.2100,96.5700
1200,0.9309,67.6640,97.4480,0.9777,65.6000,96.8800
1300,0.8865,69.3360,97.7040,0.9361,67.0000,97.1200
1400,0.8586,70.0660,97.8600,0.9172,68.4500,97.1700
1500,0.8380,70.6800,98.0220,0.9001,68.6000,97.3800
1600,0.8027,72.2280,98.2140,0.8725,69.8200,97.3400
1700,0.8218,71.2800,98.0080,0.9043,68.3800,97.1800
1800,0.7765,72.9460,98.2520,0.8521,70.5800,97.4700
1900,0.7475,73.8400,98.3660,0.8341,70.7700,97.6900
2000,0.7486,73.8640,98.3220,0.8355,71.1600,97.4200
2100,0.7071,75.3760,98.5780,0.8046,72.2000,97.7200
2200,0.6857,76.0000,98.6780,0.7873,72.2100,97.8500
2300,0.6790,76.2240,98.7120,0.7856,72.8000,97.6100
2400,0.6795,76.0780,98.6920,0.7979,72.8300,97.6300
2500,0.6769,75.9280,98.7540,0.7883,72.3800,97.9100
2600,0.6316,77.9440,98.8480,0.7588,73.7500,97.8600
2700,0.6228,77.9580,98.8760,0.7571,73.8500,97.9100
2800,0.6185,78.2600,98.9560,0.7601,74.1000,97.8800
2900,0.6037,78.6780,99.0320,0.7472,74.9800,97.9300
3000,0.6018,78.5740,99.0240,0.7538,74.1700,97.9300
3100,0.5888,79.2900,99.0220,0.7396,74.6500,98.0100
3200,0.5905,79.0200,99.0500,0.7471,75.0800,97.8300
3300,0.5806,79.4740,99.1280,0.7299,75.4100,98.1200
3400,0.5278,81.3140,99.2920,0.6982,75.9500,98.1800
3500,0.5344,81.2240,99.2820,0.7064,76.1400,98.0900
3600,0.5505,80.4340,99.2440,0.7225,75.7300,98.2400
3700,0.5208,81.6700,99.3000,0.6937,76.5900,98.3500
3800,0.5210,81.5060,99.3160,0.6999,76.2900,98.2200
3900,0.5590,80.3520,99.1640,0.7506,75.1900,97.8700
4000,0.4962,82.5120,99.3800,0.6835,77.2200,98.2500
4100,0.5048,82.2840,99.3140,0.7047,76.8300,98.2800
4200,0.5197,81.7960,99.2720,0.7203,75.8900,97.8700
4300,0.4952,82.4600,99.3920,0.7077,76.3300,98.2700
4400,0.4936,82.4240,99.4120,0.7007,76.8200,98.0400
4500,0.4818,82.7460,99.4200,0.7022,76.5200,98.1600
4600,0.4789,82.8220,99.4740,0.7047,76.9500,98.3500
4700,0.4713,83.0260,99.4900,0.6957,77.1700,98.3300
4800,0.4492,83.9220,99.5540,0.6728,77.5300,98.5600
4900,0.4496,83.8900,99.5420,0.6781,77.6300,98.2400
5000,0.4538,83.8800,99.5480,0.6758,77.6800,98.2500
5100,0.4364,84.5180,99.5480,0.6667,77.9300,98.2500
5200,0.4337,84.5320,99.5440,0.6790,78.1100,98.1600
5300,0.4457,84.0560,99.5580,0.7001,77.2400,98.1000
