round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.3773,10.0333,65.0822,2.3807,10.0367,65.0456
200,2.2836,17.7711,63.1078,2.2878,17.6333,62.9411
300,1.9909,20.3389,81.1656,1.9964,20.2478,80.7600
400,1.9545,22.4167,83.0467,1.9605,22.4367,82.6267
500,1.8824,28.8744,84.4356,1.8877,28.8811,84.1356
600,1.8126,31.5700,85.4678,1.8189,31.3578,85.1233
700,1.6989,36.6600,89.0778,1.7059,36.3833,88.8011
800,1.6403,39.6833,90.3367,1.6483,39.3200,90.1189
900,1.7412,36.3700,86.2178,1.7493,36.0667,85.8322
1000,1.5844,41.5156,91.2222,1.5947,41.0578,90.8967
1100,1.7363,34.3500,87.9089,1.7429,34.0778,87.4967
1200,1.5503,42.4967,90.8222,1.5614,42.0044,90.4722
1300,1.5160,45.1611,91.5978,1.5275,44.8267,91.3622
1400,1.5835,41.2022,90.8500,1.5961,40.5867,90.4656
1500,1.4595,46.0556,92.6100,1.4730,45.5733,92.3467
1600,1.4545,46.6344,92.7778,1.4697,45.7978,92.2000
1700,1.4570,46.3144,92.2500,1.4708,45.5489,91.8267
1800,1.4464,47.6356,92.7022,1.4621,47.1200,92.4000
1900,1.5635,42.8000,91.2822,1.5746,42.6522,90.9256
2000,1.3782,50.2144,93.2256,1.3983,49.2011,92.9033
2100,1.4386,48.0867,92.2189,1.4569,47.5567,91.7478
2200,1.4088,48.6344,93.3533,1.4322,47.7822,92.8556
2300,1.5658,43.9400,90.0756,1.5913,43.1667,89.6611
2400,1.4164,48.3178,92.5022,1.4350,47.6022,92.1289
2500,1.2957,53.2489,94.4544,1.3191,52.3178,94.0100
2600,1.3314,51.6789,93.3989,1.3561,50.8233,92.8844
2700,1.2787,53.8400,94.7722,1.3055,52.8289,94.2300
2800,1.2387,55.3711,94.7422,1.2694,54.3356,94.1822
2900,1.2494,54.9122,94.7933,1.2789,53.8856,94.2911
3000,1.3716,50.7689,92.6178,1.4028,49.7611,92.0700
3100,1.2372,55.8511,95.1089,1.2702,54.5733,94.4844
3200,1.2729,54.3333,94.2700,1.3064,52.9433,93.6822
3300,1.2694,53.6600,94.9489,1.3035,52.5844,94.4133
