round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,1.7507,35.9778,87.8200,1.7574,35.6811,87.4900
200,1.5979,41.1856,90.6867,1.6062,40.8333,90.2722
300,1.5328,44.8411,91.9244,1.5420,44.2522,91.6422
400,1.4494,48.7778,93.1711,1.4625,47.7900,92.7822
500,1.3695,51.3000,93.8911,1.3876,50.3744,93.4089
600,1.3061,53.3811,94.5444,1.3275,52.5133,94.0811
700,1.2744,54.7800,94.8344,1.2989,53.7100,94.3689
800,1.2211,56.5700,95.2433,1.2522,55.2822,94.6656
900,1.1853,57.6011,95.5233,1.2220,56.2011,94.8867
1000,1.1416,59.2167,95.8389,1.1850,57.6778,95.0756
1100,1.1112,59.9344,96.0933,1.1605,58.3389,95.2756
1200,1.0821,61.2856,96.2989,1.1333,59.3000,95.4667
1300,1.0667,62.0856,96.2800,1.1231,59.9222,95.4444
1400,1.0603,62.0867,96.3733,1.1209,59.7833,95.4644
1500,1.0321,63.1278,96.5267,1.0995,60.7178,95.6044
1600,0.9995,64.3889,96.8633,1.0725,61.6111,95.8256
1700,0.9951,64.6489,96.8233,1.0746,61.5344,95.8956
1800,0.9900,64.9922,96.8811,1.0686,62.0433,95.9111
1900,0.9624,65.5644,97.1011,1.0501,62.3511,96.0544
2000,0.9552,66.0311,97.1922,1.0508,62.5589,96.0056
2100,0.9415,66.3267,97.2011,1.0397,62.8067,96.0522
2200,0.9165,67.1500,97.3756,1.0232,63.5500,96.2022
2300,0.9249,66.8133,97.3833,1.0316,63.0178,96.1122
2400,0.9105,67.5667,97.4256,1.0248,63.5267,96.0822
2500,0.8966,68.1467,97.5867,1.0168,63.6233,96.1967
2600,0.8776,68.7367,97.6422,1.0025,64.4667,96.2722
2700,0.8789,68.5878,97.5689,1.0081,64.1322,96.1978
2800,0.8753,68.7244,97.7011,1.0086,63.9300,96.2656
2900,0.8474,69.6378,97.8522,0.9909,64.8067,96.4022
3000,0.8391,69.9878,97.9244,0.9857,64.9622,96.3467
3100,0.8384,70.1867,97.8822,0.9895,64.9467,96.3822
3200,0.8269,70.3056,97.9644,0.9830,65.1044,96.3344
3300,0.8244,70.6144,98.0256,0.9793,65.4022,96.3733
3400,0.8139,70.8444,98.0656,0.9793,65.3156,96.4789
3500,0.8091,71.0833,98.1000,0.9747,65.2600,96.3656
3600,0.8012,71.5211,98.1444,0.9713,65.5733,96.4678
3700,0.7953,71.5744,98.1733,0.9717,65.5878,96.3967
3800,0.7857,72.0367,98.2189,0.9668,65.7667,96.4622
3900,0.7828,72.1433,98.2989,0.9714,65.5611,96.4711
4000,0.7763,72.3256,98.3189,0.9684,65.7667,96.4711
4100,0.7694,72.2778,98.3522,0.9653,65.7867,96.5489
4200,0.7587,72.8044,98.4456,0.9619,65.9544,96.4044
4300,0.7544,73.1222,98.4111,0.9605,66.1222,96.3689
4400,0.7502,73.0856,98.4100,0.9636,66.0611,96.3756
4500,0.7394,73.4844,98.4600,0.9575,66.2067,96.5367
4600,0.7415,73.3922,98.4944,0.9570,66.0789,96.5067
4700,0.7366,73.8022,98.5178,0.9625,66.2444,96.4678
4800,0.7347,73.5667,98.5256,0.9636,66.0678,96.4600
4900,0.7291,73.9022,98.5656,0.9608,66.2644,96.5256
5000,0.7221,74.0867,98.5456,0.9570,66.5089,96.5333
5100,0.7190,74.2289,98.5900,0.9600,66.3722,96.5256
5200,0.7169,74.1144,98.5656,0.9600,66.3711,96.4600
5300,0.7079,74.5911,98.6511,0.9605,66.4756,96.5222
