round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.3846,18.5822,63.6667,2.3885,18.5933,63.6578
200,2.0790,19.1267,76.2478,2.0840,18.9600,75.9533
300,2.0320,19.9711,78.9978,2.0370,19.8544,78.6422
400,1.8898,27.0344,83.3122,1.8954,26.9089,82.7878
500,1.8514,29.4578,85.6244,1.8565,29.4600,85.1856
600,1.7962,31.5200,86.6967,1.8016,31.2200,86.2167
700,1.7267,33.9178,88.9167,1.7340,33.8544,88.6333
800,1.6991,35.1556,87.6600,1.7070,35.0100,87.2578
900,1.6299,40.6922,90.1411,1.6373,40.2489,89.6611
1000,1.6543,39.5078,90.3833,1.6616,39.1756,89.9967
1100,1.6061,39.2178,90.4589,1.6151,38.9511,90.2089
1200,1.5290,43.7656,91.7733,1.5401,43.1989,91.4556
1300,1.5691,42.7000,90.3300,1.5810,42.4744,90.0089
1400,1.5145,43.8989,91.7422,1.5251,43.2722,91.4989
1500,1.6528,41.7622,87.9667,1.6654,41.2956,87.5356
1600,1.4684,45.2667,92.2722,1.4799,44.9767,91.9844
1700,1.4737,45.8189,92.2622,1.4893,45.2622,91.9933
1800,1.4316,47.7600,93.2156,1.4462,47.1178,92.8922
1900,1.4384,47.2822,92.8833,1.4536,46.6611,92.4911
2000,1.3923,49.3456,93.3900,1.4081,48.6433,93.0600
2100,1.3887,49.3833,93.2111,1.4088,48.5956,92.8767
2200,1.4911,47.0489,90.7111,1.5128,46.1311,90.3200
2300,1.3674,50.4256,93.4278,1.3879,49.5744,93.0144
2400,1.3883,49.4011,93.4289,1.4085,48.9133,92.9722
2500,1.3643,50.5111,92.9778,1.3843,49.9000,92.5911
2600,1.3066,53.0867,94.4022,1.3309,52.0856,94.0611
2700,1.3677,49.8800,93.3689,1.3922,48.9133,93.1233
2800,1.2756,53.3889,94.4067,1.3047,52.2200,93.9900
2900,1.3032,53.1933,94.1333,1.3308,51.9244,93.6589
3000,1.2385,55.4478,94.9622,1.2696,54.0333,94.4611
3100,1.2697,54.6444,94.6522,1.2990,53.3767,94.1244
3200,1.2475,55.5567,94.7978,1.2774,54.0556,94.3100
3300,1.2346,55.4000,94.8689,1.2684,53.9767,94.3878
3400,1.2166,55.8700,95.1633,1.2499,54.5389,94.5956
3500,1.2474,55.6356,94.4322,1.2796,54.3500,93.9122
3600,1.1980,56.5844,95.3156,1.2339,55.0389,94.8189
3700,1.1975,56.7133,95.2244,1.2350,55.2178,94.7267
3800,1.2993,52.7556,93.6489,1.3370,51.3289,93.1044
3900,1.2591,54.5633,94.2589,1.2972,53.1522,93.7256
4000,1.2165,56.3422,94.9333,1.2562,54.8011,94.2644
4100,1.1477,58.4044,95.6867,1.1869,56.7511,95.2222
4200,1.1548,58.7867,95.6533,1.1958,57.2033,95.1389
4300,1.1713,57.4011,95.4833,1.2135,55.9122,94.8967
4400,1.1559,58.3711,95.6356,1.1995,56.6478,95.0000
4500,1.1450,58.8878,95.4122,1.1900,57.3422,94.8622
4600,1.1306,59.4300,95.8767,1.1798,57.7411,95.2456
4700,1.1181,59.7633,95.9400,1.1700,57.7144,95.2411
4800,1.1026,60.4411,96.0300,1.1505,58.4811,95.4311
4900,1.1094,60.1678,95.7489,1.1584,58.4711,95.1700
5000,1.2547,55.8000,93.7800,1.3085,53.7589,93.1356
5100,1.1017,60.7056,95.9378,1.1515,58.9767,95.2244
5200,1.0906,60.7222,96.1367,1.1441,58.6956,95.3833
5300,1.1143,59.7911,95.9622,1.1694,57.6211,95.3056
5400,1.1097,59.9667,95.8233,1.1612,58.0800,95.2178
5500,1.0777,61.4600,96.0933,1.1356,59.3011,95.3189
5600,1.1529,58.9156,95.0156,1.2141,56.7900,94.1700
5700,1.1131,59.9700,95.7644,1.1745,57.9589,94.8789
5800,1.0340,62.9811,96.6333,1.1002,60.6044,95.7211
5900,1.0658,61.9444,96.0789,1.1325,59.6056,95.2856
6000,1.0874,60.4289,96.2667,1.1489,58.1989,95.3856
6100,1.1399,59.3144,95.6656,1.2047,57.1189,94.8556
6200,1.0780,61.3044,95.8256,1.1407,59.2100,94.9889
6300,1.0089,63.6733,96.8544,1.0793,61.3367,95.9378
6400,1.0192,64.0222,96.6044,1.0856,61.3700,95.7278
6500,1.0484,62.8578,96.0078,1.1175,60.3300,95.1333
6600,1.0289,62.8089,96.5556,1.0995,60.4556,95.6822
6700,1.0124,63.4878,96.6600,1.0867,61.0300,95.7667
6800,1.0583,62.3456,96.0178,1.1330,59.7333,95.1044
6900,1.0006,64.2656,96.6822,1.0762,61.4300,95.7378
7000,1.0556,62.1200,96.4856,1.1310,59.4833,95.4178
7100,1.0025,64.1744,96.8711,1.0773,61.4244,95.9778
7200,1.0020,64.0278,96.8111,1.0821,61.3633,95.8089
7300,1.0274,62.7700,96.5633,1.1092,60.1556,95.6300
7400,1.0080,63.8933,96.6367,1.0865,61.2933,95.7156
7500,0.9697,65.1389,97.1422,1.0534,62.0756,96.0856
7600,0.9650,65.6256,96.8289,1.0470,62.8722,95.9256
7700,1.0350,63.4800,96.2111,1.1148,60.5489,95.1989
7800,0.9606,65.5378,97.0522,1.0465,62.4711,96.2011
7900,0.9535,66.1167,97.1322,1.0384,62.9267,96.0611
8000,0.9983,63.9044,96.9333,1.0836,60.8100,95.8733
8100,0.9697,65.2367,96.9700,1.0578,62.1778,96.0511
8200,0.9729,65.5867,96.9578,1.0589,62.4700,96.0033
8300,1.0375,62.8433,96.3978,1.1296,59.9822,95.3978
8400,0.9463,66.0756,97.0789,1.0353,63.1044,96.0822
8500,0.9430,66.7478,97.2378,1.0328,63.2967,96.0700
8600,0.9197,66.9244,97.4144,1.0143,63.8700,96.3522
8700,0.9363,66.3689,97.2856,1.0428,62.8011,96.2278
8800,0.9289,66.7078,97.1733,1.0253,63.3411,96.1133
8900,0.9582,66.0589,97.0233,1.0484,62.6400,95.9722
9000,0.9724,65.1100,97.0144,1.0693,61.5900,95.9322
9100,0.9675,65.6422,96.5689,1.0726,62.1956,95.5189
9200,0.8986,67.8267,97.5100,1.0030,64.2089,96.4256
9300,0.9164,67.0411,97.3678,1.0216,63.4456,96.2278
9400,0.9263,66.7011,97.4467,1.0397,63.1844,96.3144
9500,0.9325,66.6100,97.3333,1.0405,63.1411,96.1722
9600,0.9373,66.3678,97.2867,1.0480,62.7300,96.1711
9700,0.9696,65.3667,97.0778,1.0806,62.0422,96.0033
9800,0.9479,66.2133,97.0933,1.0535,62.6067,95.9522
9900,0.9092,67.2900,97.3222,1.0181,63.6789,96.2167
10000,0.9276,66.9989,97.2989,1.0367,63.4533,96.1967
10100,0.9254,66.9144,97.1144,1.0377,63.0533,95.8222
10200,0.8838,68.2211,97.5622,1.0070,64.3978,96.4278
10300,0.9185,67.0511,97.3311,1.0369,63.0844,96.0578
10400,0.8876,68.2678,97.5244,1.0035,64.3711,96.3356
10500,0.9683,65.5622,97.0867,1.0912,61.7256,95.9089
10600,0.9135,67.2222,97.6222,1.0351,63.1867,96.4056
10700,0.8874,68.2233,97.4811,1.0096,64.1589,96.2989
10800,0.8891,68.0256,97.5167,1.0069,64.0767,96.1989
10900,0.8836,68.6133,97.5578,1.0034,64.4522,96.3567
11000,0.8995,67.9656,97.2444,1.0199,64.0433,95.9544
11100,0.9203,66.9400,97.3856,1.0405,62.9589,96.0956
11200,0.8518,69.3900,97.7367,0.9843,65.1022,96.4011
11300,0.8576,69.3311,97.6656,0.9884,64.8178,96.4056
11400,0.8462,69.7567,97.7956,0.9721,65.4433,96.5833
11500,0.8655,68.9944,97.5322,0.9905,64.7444,96.3544
11600,0.9600,65.7500,96.8578,1.0851,61.9411,95.4067
11700,0.8879,67.8456,97.5822,1.0258,63.6289,96.3100
11800,0.8563,69.1600,97.7133,0.9933,64.6944,96.4622
11900,0.9142,67.1678,97.4056,1.0496,62.9078,96.2778
12000,0.8443,69.7778,97.8489,0.9756,65.2233,96.5689
12100,0.8461,69.5367,97.8211,0.9877,64.8389,96.5144
12200,0.8889,68.2833,97.1122,1.0291,63.6922,95.6767
12300,0.8317,70.0622,97.9744,0.9701,65.4211,96.5756
12400,0.8681,68.7478,97.6100,1.0112,64.3556,96.1833
12500,0.8306,70.3667,97.7144,0.9729,65.3911,96.4411
12600,0.8745,68.5144,97.4100,1.0216,63.9878,96.1556
12700,0.8418,69.8456,97.8467,0.9973,65.0656,96.5544
12800,0.8494,69.2111,97.8811,1.0035,64.2222,96.4800
12900,0.8582,69.0278,97.7700,1.0079,64.1956,96.3844
13000,0.8086,70.9133,98.0189,0.9601,65.8433,96.6156
13100,0.8363,70.0433,97.8678,0.9788,65.0944,96.5067
13200,0.8594,69.1167,97.6900,1.0027,64.3244,96.2489
13300,0.8351,70.1322,97.6633,0.9883,64.8889,96.2889
13400,0.8398,69.7978,97.8389,0.9926,65.0511,96.3756
13500,0.8058,71.2278,98.0922,0.9625,65.7667,96.6944
13600,0.8629,69.0211,97.7133,1.0207,63.9144,96.2678
13700,0.8128,70.6933,97.9822,0.9772,65.5956,96.4833
13800,0.8303,70.1722,97.6967,0.9845,64.8700,96.3089
13900,0.8786,68.3767,97.4778,1.0358,63.4367,96.1978
14000,0.8227,70.0689,97.9478,0.9845,64.9856,96.5856
14100,0.8460,69.6078,97.6689,1.0067,64.5789,96.1878
14200,0.8136,70.4211,98.0467,0.9774,65.6056,96.6733
14300,0.7953,71.1667,98.1722,0.9565,65.8667,96.7411
14400,0.7945,71.2478,98.0411,0.9571,66.0689,96.6333
14500,0.8271,70.2600,97.7111,0.9909,65.4033,96.2611
14600,0.8069,71.0411,97.9433,0.9681,65.7167,96.3911
14700,0.8174,70.2289,98.0411,0.9864,65.0489,96.5567
14800,0.8086,70.7700,97.9644,0.9792,65.4333,96.5133
14900,0.7692,72.1056,98.2522,0.9459,66.3967,96.7278
15000,0.7980,71.0889,98.0844,0.9691,65.4978,96.5578
15100,0.7910,71.5989,98.1178,0.9661,66.1078,96.5933
15200,0.8065,71.0144,97.9944,0.9728,65.3900,96.4611
15300,0.7751,72.0544,98.1678,0.9502,66.3922,96.7544
15400,0.8257,70.3700,97.7833,0.9929,65.0767,96.2989
15500,0.8205,70.5722,97.8744,0.9899,65.2911,96.2022
15600,0.8582,69.3944,97.4489,1.0353,64.3889,95.8611
15700,0.7785,72.0044,98.0178,0.9627,66.3278,96.4689
15800,0.8046,71.1089,98.0544,0.9887,65.2989,96.4778
15900,0.7813,71.6700,98.1044,0.9653,65.9267,96.6922
16000,0.8053,71.0422,97.9867,0.9915,65.5700,96.4278
16100,0.7582,72.5433,98.3678,0.9421,66.5722,96.8044
16200,0.8042,71.1433,97.9967,0.9759,65.7133,96.5033
16300,0.8367,70.0878,97.7389,1.0219,64.4889,96.0900
16400,0.8003,71.4567,97.8922,0.9919,65.8456,96.2533
16500,0.7710,72.4556,98.2589,0.9536,66.2467,96.6233
16600,0.7569,72.5144,98.4300,0.9461,66.3367,96.8011
16700,0.7877,71.6433,98.0511,0.9842,65.5233,96.4300
16800,0.7697,72.3511,98.1900,0.9691,66.2300,96.6167
16900,0.7779,71.9844,98.2367,0.9662,65.9400,96.4689
17000,0.7829,71.8233,98.1578,0.9710,65.8333,96.5022
17100,0.7365,73.5078,98.4467,0.9337,66.9267,96.7933
17200,0.7786,71.5856,98.2344,0.9785,65.6356,96.5844
17300,0.7387,73.2767,98.3811,0.9373,66.9900,96.7378
17400,0.7825,71.0944,98.2789,0.9803,65.1878,96.5678
17500,0.7469,73.1844,98.3711,0.9420,66.7656,96.6911
17600,0.8211,70.5089,97.8000,1.0199,64.9967,95.9967
17700,0.7596,72.5933,98.2811,0.9617,66.3044,96.5989
17800,0.7525,72.6378,98.4689,0.9496,66.1544,96.7878
17900,0.7600,72.2722,98.3878,0.9648,65.8489,96.6300
18000,0.7272,73.4522,98.5033,0.9371,67.0133,96.7900
18100,0.7537,72.9600,98.3622,0.9620,66.2200,96.5822
18200,0.7769,71.7611,98.3067,0.9840,65.4967,96.5233
18300,0.7609,72.3189,98.3633,0.9710,65.8722,96.6233
18400,0.7207,73.8044,98.5800,0.9330,67.1600,96.8667
18500,0.7215,73.6944,98.5933,0.9369,67.0200,96.8533
18600,0.7315,73.4944,98.4756,0.9401,66.9122,96.6711
18700,0.7268,73.5489,98.5167,0.9385,66.8844,96.8622
18800,0.7370,73.1600,98.4300,0.9522,66.4467,96.7256
18900,0.7380,73.1878,98.5567,0.9484,66.3622,96.8267
19000,0.7579,72.6456,98.3811,0.9769,66.2033,96.6389
19100,0.7362,73.1711,98.4356,0.9503,66.7300,96.6233
19200,0.7175,73.9033,98.5344,0.9389,67.5678,96.8122
19300,0.7016,74.4989,98.6400,0.9233,67.6678,96.8811
19400,0.7388,73.0967,98.4211,0.9513,66.5211,96.6389
19500,0.7187,73.7278,98.5811,0.9431,66.9322,96.7789
19600,0.7054,74.2889,98.5811,0.9286,67.5533,96.8656
19700,0.7165,73.9089,98.5567,0.9384,66.9456,96.7978
19800,0.7418,72.8378,98.5356,0.9811,66.1444,96.6511
19900,0.7239,74.0933,98.4989,0.9431,66.9389,96.6133
20000,0.7135,74.2522,98.5811,0.9381,67.0511,96.7333
