round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.7926,1.0000,4.9780,4.7941,1.0000,4.9700
200,4.7236,1.0000,5.1060,4.7247,1.0000,5.0800
300,4.6541,1.0000,5.0400,4.6547,1.0000,4.9800
400,4.6149,1.7080,5.7280,4.6149,1.6400,5.7500
500,4.5582,1.6840,8.6300,4.5612,1.6900,8.5300
600,4.3713,3.9400,14.4120,4.3776,3.9300,14.4300
700,4.3113,3.8040,15.2180,4.3169,3.8600,15.1300
800,4.3596,2.8140,13.0220,4.3684,2.6500,12.5200
900,4.2461,4.2140,16.3080,4.2564,3.7800,15.6500
1000,4.2225,4.9920,19.8360,4.2289,4.8900,19.5700
1100,4.1428,6.4420,22.4880,4.1494,6.2700,22.3200
1200,4.1304,5.7780,21.1580,4.1470,5.4800,20.6400
1300,4.0654,6.4080,24.0980,4.0765,6.3500,23.4400
1400,4.0058,7.8980,26.6780,4.0175,8.0400,26.1600
1500,4.0337,6.7000,25.7340,4.0454,6.2300,25.0700
1600,3.9531,8.3120,28.7540,3.9650,8.4500,28.7800
1700,3.8888,9.8420,31.3760,3.9007,9.8100,31.4400
1800,3.9599,7.6380,28.5700,3.9733,7.5700,27.8400
1900,3.8728,9.7640,32.0400,3.8826,9.7400,31.6700
2000,3.7991,11.7200,34.3640,3.8155,11.5300,33.9400
2100,3.7682,12.2620,34.7540,3.7844,11.7400,34.0000
2200,3.7907,11.2160,34.5940,3.8127,10.9300,33.7600
2300,3.7244,12.4720,36.9020,3.7467,11.9600,35.9500
2400,3.7055,13.0580,36.8060,3.7277,12.6600,36.0600
2500,3.6460,14.4440,38.3960,3.6720,13.7700,37.5800
2600,3.6050,14.9780,40.7320,3.6290,14.4600,40.1800
2700,3.5681,15.9460,41.6380,3.5972,15.1900,40.5900
2800,3.5665,15.3780,41.2120,3.5960,15.0500,40.2500
2900,3.4967,17.2400,43.4220,3.5291,16.6900,42.8100
3000,3.5289,15.9340,42.3580,3.5681,15.6100,41.0000
3100,3.4772,17.2500,43.0480,3.5151,16.7100,42.0800
3200,3.4823,16.9320,43.1980,3.5268,16.7100,42.1200
3300,3.4327,18.0840,44.8040,3.4714,17.8800,44.0000
3400,3.3752,19.0160,46.4200,3.4180,18.6100,44.8300
3500,3.3414,20.4100,47.6280,3.3794,20.2600,46.5800
3600,3.3162,20.1940,47.9900,3.3595,19.7900,47.1600
3700,3.2894,20.8540,48.6300,3.3324,20.4600,47.7100
3800,3.2329,22.1560,50.4640,3.2744,21.7800,49.2400
3900,3.2166,21.6680,50.6900,3.2628,21.3300,48.9400
4000,3.1991,23.0320,51.8820,3.2492,22.6400,50.6800
4100,3.1966,22.8580,51.6520,3.2431,22.2000,50.1400
4200,3.1946,21.7720,50.8740,3.2507,21.4300,49.1000
4300,3.1348,23.3120,52.2260,3.1902,22.8500,50.6900
4400,3.1424,23.3940,52.6620,3.2013,22.8300,51.0300
4500,3.1048,24.1240,53.3840,3.1642,23.1100,51.7400
4600,3.1137,23.7420,53.0400,3.1784,22.6800,51.5300
4700,3.1104,24.4760,53.2880,3.1695,23.8300,51.5900
4800,3.0346,25.7920,55.9060,3.0998,25.4400,53.9900
4900,3.0628,24.6480,54.4840,3.1231,24.4600,52.7700
5000,3.0796,24.6580,53.4760,3.1569,23.6000,52.0600
5100,3.0198,25.9420,55.4640,3.0891,25.6000,53.7200
5200,3.0012,26.0620,56.2280,3.0778,25.3700,54.2100
5300,2.9681,26.7700,56.3780,3.0444,26.0500,54.1900
5400,2.9226,27.4520,57.9540,3.0041,27.1200,55.6900
5500,2.8865,28.7880,59.1200,2.9667,27.8100,57.2800
