round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.6481,10.1980,51.7140,2.6521,10.2400,51.7700
200,2.2414,16.8320,68.3300,2.2358,16.7800,68.6000
300,2.1375,18.5620,71.4640,2.1372,19.1300,71.6800
400,2.0461,24.5780,74.4500,2.0420,24.8300,74.6300
500,2.1355,18.8400,73.2620,2.1328,18.8300,73.3700
600,1.8861,28.9000,82.2980,1.8792,29.2600,82.4100
700,1.8180,33.9400,84.0340,1.8098,34.3200,83.9800
800,1.9090,27.2060,83.5540,1.9038,28.0500,83.5000
900,1.7655,34.4780,86.7200,1.7589,34.7100,86.6300
1000,1.6610,38.1340,89.3440,1.6519,38.5800,89.3700
1100,1.6576,39.7880,89.3220,1.6459,40.4300,89.3300
1200,1.6427,39.6680,90.1580,1.6332,39.8000,90.1800
1300,1.6078,41.3600,90.4020,1.6026,41.5700,90.3400
1400,1.5836,41.7980,90.8140,1.5724,42.3400,91.1700
1500,1.5504,43.3640,90.5020,1.5382,44.0800,90.6000
1600,1.5201,43.4440,90.9160,1.5087,44.1400,90.8800
1700,1.5747,44.4840,89.6280,1.5668,45.1600,89.4400
1800,1.4987,44.9360,92.2020,1.4889,45.2300,92.2800
1900,1.5526,43.8540,90.4720,1.5464,43.7500,91.1000
2000,1.5993,41.7800,89.1400,1.5899,41.7500,89.5100
2100,1.5534,43.4740,90.7480,1.5505,43.6200,90.9800
2200,1.3618,50.7340,93.4200,1.3564,50.8100,93.4500
2300,1.4434,49.2880,91.6680,1.4443,49.1900,91.4100
2400,1.3377,51.0640,93.7080,1.3352,51.1700,93.8200
2500,1.4397,48.8000,92.0960,1.4384,48.8300,92.5900
2600,1.3440,52.5800,93.7740,1.3485,52.5200,93.9000
2700,1.2797,55.0380,94.3820,1.2840,55.1300,94.2400
2800,1.2980,53.9600,93.7300,1.3067,53.0200,93.9300
2900,1.2606,54.1720,94.6180,1.2648,54.2300,94.5100
3000,1.2276,56.5720,95.0860,1.2375,56.1900,95.0500
3100,1.2264,56.3360,94.9160,1.2372,56.0300,94.6800
3200,1.2468,54.8760,94.8560,1.2585,54.2700,94.7800
3300,1.1865,57.8200,95.6580,1.1972,57.1800,95.5000
3400,1.1949,57.6900,95.3180,1.2115,57.1500,95.2600
3500,1.1344,59.9480,95.5920,1.1522,60.0800,95.5100
3600,1.1449,60.7920,95.3900,1.1649,60.3300,95.2100
3700,1.1697,58.1520,95.8820,1.1892,57.3100,95.5100
3800,1.0630,62.5780,96.1780,1.0884,61.7400,95.9600
3900,1.1394,60.0840,95.3380,1.1613,58.9300,95.0600
4000,1.0216,64.7320,96.7520,1.0467,63.7300,96.4200
4100,1.0088,64.3860,96.7400,1.0339,63.0300,96.3800
4200,1.1392,59.8380,96.3400,1.1711,59.3500,95.9100
4300,0.9693,66.6400,97.1240,0.9978,65.8800,96.8700
4400,1.0451,63.5520,95.5360,1.0827,62.4800,95.2400
4500,0.9725,66.7980,96.8500,1.0102,65.4500,96.4000
4600,0.9523,66.7340,96.7040,0.9923,65.3100,96.2400
4700,1.0270,64.6020,95.7360,1.0686,63.3800,95.2500
4800,0.9766,66.1060,97.1600,1.0117,64.7600,96.7000
4900,0.9093,68.0040,97.5720,0.9525,66.7800,97.1400
5000,0.8865,69.0640,97.6200,0.9327,67.6600,97.2200
5100,0.8889,69.3540,97.5620,0.9354,67.9800,97.1600
5200,0.9254,68.6840,96.9560,0.9710,66.9400,96.6000
5300,0.8365,70.4120,97.7740,0.8890,69.2200,97.2900
5400,0.8053,72.3220,98.0400,0.8543,70.5400,97.5200
5500,0.8029,72.6540,98.0040,0.8576,70.6400,97.4800
5600,0.8152,72.3240,98.0740,0.8744,70.5700,97.5700
5700,0.8653,69.9760,97.1940,0.9182,68.1700,96.8700
5800,0.7581,73.9380,98.1200,0.8195,72.0800,97.7000
