round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.1194,19.2100,69.2640,2.1142,19.5200,69.2700
200,1.9956,24.5860,79.7740,1.9849,24.6800,80.3300
300,1.9682,24.8360,81.6900,1.9633,25.9700,81.4900
400,1.8394,30.2520,86.0020,1.8299,30.6500,86.0300
500,1.7629,35.5580,86.1980,1.7542,36.5700,86.7400
600,1.6818,38.3480,89.0260,1.6739,38.3800,89.2700
700,1.6261,40.7740,90.3100,1.6160,40.7600,90.3600
800,1.5825,41.3660,91.2700,1.5728,41.1900,91.5300
900,1.5880,41.6460,89.9980,1.5792,42.0100,90.2500
1000,1.5492,41.6740,91.4860,1.5456,41.5400,91.3200
1100,1.4733,47.3740,92.1460,1.4655,47.1800,92.0500
1200,1.4351,48.0380,92.7440,1.4300,47.5800,92.7400
1300,1.4205,47.5520,93.2780,1.4164,47.2100,93.1900
1400,1.4040,48.9540,92.7080,1.4028,48.8900,92.9000
1500,1.3817,50.0820,92.9520,1.3768,49.7400,92.9600
1600,1.3129,53.2580,94.1360,1.3146,52.5700,94.1600
1700,1.2655,54.1480,94.6900,1.2687,54.1300,94.4400
1800,1.2548,54.4200,94.7580,1.2658,54.1400,94.4800
1900,1.1961,57.6180,95.1020,1.2068,57.3000,94.9500
2000,1.1762,58.2600,95.7820,1.1905,57.0200,96.0300
2100,1.1625,58.5260,95.3940,1.1769,58.3300,95.1300
2200,1.1516,59.4160,95.6780,1.1696,58.7500,95.5700
2300,1.0764,62.7980,96.5760,1.0961,62.0200,96.3300
2400,1.0523,63.2040,96.9060,1.0778,62.3500,96.4100
2500,1.0173,64.4940,96.8920,1.0412,63.6000,96.7000
2600,1.0462,63.2100,96.4100,1.0664,62.5900,96.1300
2700,0.9686,66.7380,97.2160,0.9950,66.2600,96.9300
2800,0.9894,65.3700,96.6020,1.0209,64.4100,96.3100
2900,0.9074,68.1940,97.5800,0.9425,66.7700,97.3100
3000,0.9279,67.7760,97.3300,0.9642,66.5800,97.0400
3100,0.9210,66.8020,97.5840,0.9611,65.3900,97.1000
3200,0.9279,67.8100,97.1340,0.9703,66.4200,96.4800
3300,0.8608,69.6540,97.8080,0.9134,67.9800,97.2000
3400,0.8509,70.1740,97.8960,0.8990,68.7100,97.3900
3500,0.8256,71.3720,97.9860,0.8732,69.6400,97.4000
3600,0.8144,71.7680,98.0440,0.8602,70.2700,97.3800
3700,0.7707,73.2740,98.2040,0.8256,71.4100,97.8000
3800,0.7577,73.4980,98.3660,0.8127,71.8500,97.8600
3900,0.7707,72.8380,98.4100,0.8277,70.9500,97.8000
4000,0.7324,74.7360,98.4200,0.7925,72.8200,97.8900
4100,0.7366,74.5600,98.4860,0.8008,72.4900,97.8800
4200,0.7341,74.4820,98.2860,0.8049,72.4300,97.5900
4300,0.6972,75.6020,98.6620,0.7637,73.5900,98.0100
4400,0.7173,74.7180,98.5400,0.7783,73.0500,97.9900
4500,0.6869,76.3320,98.5500,0.7564,74.4700,97.7700
4600,0.6605,77.0320,98.7620,0.7341,74.9800,98.0700
4700,0.6515,77.7280,98.8100,0.7254,75.7000,98.1900
4800,0.6467,77.4740,98.8220,0.7283,75.1400,98.2800
4900,0.6713,76.9240,98.6040,0.7580,74.8300,97.9100
5000,0.6061,78.9820,98.9340,0.6932,76.5700,98.2900
5100,0.6113,78.9740,98.8100,0.6995,76.6100,98.1300
5200,0.5992,79.0100,98.9520,0.6979,76.7500,98.2400
5300,0.5779,80.0260,99.1160,0.6681,77.1400,98.5900
5400,0.5511,80.7300,99.2040,0.6503,77.7800,98.5000
5500,0.5431,81.3000,99.2520,0.6381,78.4300,98.5000
5600,0.5507,81.0400,99.1600,0.6572,78.2300,98.4600
5700,0.5235,81.5880,99.3120,0.6330,78.6400,98.7300
5800,0.5315,81.4620,99.2460,0.6365,78.6200,98.6100
5900,0.5406,81.0820,99.2280,0.6484,77.9400,98.5100
6000,0.5241,81.8300,99.2180,0.6454,78.3300,98.5500
6100,0.5251,81.7360,99.2300,0.6449,78.4600,98.5000
6200,0.4772,83.5100,99.4060,0.5987,79.9000,98.7500
6300,0.4846,83.2180,99.2980,0.6154,79.7500,98.7500
6400,0.4785,83.1920,99.4440,0.5992,79.7600,98.7500
6500,0.4774,83.6120,99.2840,0.6135,79.6600,98.5500
6600,0.4462,84.5400,99.4040,0.5830,80.3000,98.7900
6700,0.4551,84.1620,99.5100,0.5892,80.1000,98.8400
6800,0.4295,85.0540,99.5920,0.5602,81.1600,98.9000
6900,0.4441,84.5740,99.4700,0.5914,80.3700,98.8300
7000,0.4288,85.0560,99.5140,0.5746,81.2700,98.8200
7100,0.4154,85.5360,99.5560,0.5616,81.2600,98.9600
7200,0.3871,86.3720,99.5940,0.5529,81.9200,98.9100
7300,0.3960,86.0160,99.6100,0.5625,81.5700,98.8500
7400,0.3732,86.9360,99.6540,0.5335,82.0800,99.0400
7500,0.4082,85.4820,99.5820,0.5820,80.8800,98.8200
