round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.3828,14.1244,57.4344,2.3857,14.1933,57.4722
200,2.3171,15.8133,65.6511,2.3203,15.5878,65.4333
300,2.1980,14.9044,72.1389,2.2020,14.6656,71.8844
400,2.3329,13.7600,63.5211,2.3358,13.7578,63.3500
500,2.0202,24.1467,76.8000,2.0246,23.9467,76.4722
600,1.9539,26.3822,81.1889,1.9580,26.3667,80.9767
700,1.9090,28.9889,82.4989,1.9132,28.9256,82.2444
800,1.8628,30.1967,84.6800,1.8684,30.2033,84.2633
900,1.8533,29.6833,84.3856,1.8593,29.6478,84.0378
1000,1.8867,28.5678,82.3733,1.8914,28.7056,82.0278
1100,1.8826,30.0478,84.3667,1.8870,29.8844,83.9744
1200,1.8307,30.7833,85.3744,1.8375,30.6322,85.0456
1300,1.8420,31.4344,84.0122,1.8470,31.2589,83.6811
1400,1.7968,33.0522,85.2444,1.8031,32.8811,84.9100
1500,1.7531,34.9422,87.3644,1.7598,34.8089,86.9267
1600,1.7647,34.6911,88.0611,1.7713,34.4044,87.7289
1700,1.7037,36.7278,88.3989,1.7121,36.3578,88.0211
1800,1.7249,34.9833,86.7522,1.7329,34.6856,86.3900
1900,1.7075,35.6822,87.9756,1.7157,35.6267,87.6933
2000,1.6737,36.4200,88.4411,1.6823,36.1978,88.1467
2100,1.6660,37.1411,88.7722,1.6757,36.8222,88.5256
2200,1.6939,38.1167,86.7067,1.7026,37.8033,86.3044
2300,1.6428,38.6422,88.4833,1.6518,38.5444,88.2533
2400,1.6493,38.5889,88.6244,1.6587,38.4033,88.2767
2500,1.5863,40.6711,90.3167,1.5958,40.3533,90.0378
2600,1.6504,39.4311,88.1544,1.6594,39.0656,87.7922
2700,1.5659,42.7200,91.0522,1.5783,41.9867,90.7200
2800,1.5653,42.8533,90.5667,1.5767,42.4578,90.1689
2900,1.6063,40.9922,89.1333,1.6172,40.3656,88.8867
3000,1.6160,40.3256,89.5489,1.6276,40.0533,89.2344
3100,1.6559,40.7311,86.9578,1.6686,40.4267,86.5611
3200,1.5440,43.9578,91.0867,1.5580,43.2467,90.8167
3300,1.5087,43.6211,91.8433,1.5239,43.1922,91.6378
3400,1.5664,43.8689,89.3289,1.5805,43.1678,89.0656
3500,1.6838,39.5467,85.3089,1.6976,39.0856,85.0322
3600,1.4748,45.9744,92.3533,1.4891,45.6711,92.0456
3700,1.5290,43.3844,91.6944,1.5464,42.7922,91.3478
3800,1.4643,46.5878,92.1233,1.4803,45.8678,91.7278
3900,1.4420,47.4467,92.1367,1.4600,46.5911,91.8900
4000,1.4278,48.2611,93.0944,1.4444,47.2356,92.6567
4100,1.4404,48.2711,91.4911,1.4586,47.5800,91.1967
4200,1.4547,46.6644,92.5622,1.4758,46.1389,92.1678
4300,1.4138,49.5033,92.6033,1.4307,48.4878,92.2944
4400,1.3572,50.4856,93.6811,1.3761,49.6089,93.3411
4500,1.4504,48.7244,90.5489,1.4693,47.8089,90.3111
4600,1.3680,50.1144,93.8589,1.3856,49.3267,93.5400
4700,1.3697,49.8722,93.3733,1.3913,48.9733,93.0467
4800,1.4013,50.1778,92.4989,1.4210,49.3911,92.0144
4900,1.4234,49.1478,91.9478,1.4425,48.3733,91.6400
5000,1.3470,51.0278,93.8944,1.3724,50.1922,93.5300
5100,1.3546,51.4411,92.6367,1.3757,50.5433,92.3756
5200,1.2858,53.8711,94.1733,1.3103,53.2000,93.8189
5300,1.2698,54.2878,94.8722,1.2945,53.2133,94.4033
5400,1.2298,55.7256,95.1022,1.2541,54.6489,94.6733
5500,1.4380,47.8489,91.9522,1.4641,46.7378,91.6178
5600,1.2519,54.9811,94.6289,1.2778,54.0833,94.2844
5700,1.2859,54.0933,94.3289,1.3116,53.2689,93.8844
5800,1.2270,55.5956,95.2300,1.2553,54.4656,94.7622
5900,1.2229,55.8689,95.1611,1.2488,55.0500,94.7611
6000,1.3628,51.8900,93.5089,1.3908,51.0311,93.0356
6100,1.2544,54.2278,94.9044,1.2847,53.1867,94.5067
6200,1.1837,57.9089,95.5200,1.2126,56.7978,95.0389
6300,1.1917,56.8522,95.5978,1.2213,55.9267,95.1278
6400,1.2617,54.5811,94.8767,1.2956,53.5189,94.3522
6500,1.2117,56.7967,94.6233,1.2418,55.9789,94.2233
6600,1.1488,58.6378,95.8544,1.1843,57.5456,95.4089
6700,1.2237,56.8278,94.7744,1.2577,55.7144,94.1844
6800,1.2587,53.8767,95.2189,1.2944,52.6111,94.6400
6900,1.1433,58.3000,95.9578,1.1792,56.9078,95.5056
7000,1.1544,58.5822,95.8067,1.1867,57.2878,95.3189
7100,1.1513,58.3956,95.5633,1.1856,57.3633,95.1100
7200,1.1415,58.6022,95.8378,1.1805,57.1311,95.3589
7300,1.2667,53.5911,94.6811,1.3007,52.5933,94.1289
7400,1.1168,60.3967,95.9222,1.1544,58.9300,95.3667
7500,1.0961,60.5778,96.2311,1.1352,59.2911,95.6733
7600,1.1617,58.8911,94.9967,1.1996,57.5156,94.4711
7700,1.1368,59.0422,95.6756,1.1784,57.4333,95.0911
7800,1.2629,54.3778,95.2267,1.3043,53.0267,94.6389
7900,1.0929,60.2133,96.3911,1.1372,58.5478,95.9300
8000,1.0653,61.1067,96.5378,1.1099,59.5067,95.9633
8100,1.0830,61.0989,96.0533,1.1286,59.3911,95.4778
8200,1.1340,58.6467,95.9222,1.1748,57.1867,95.3456
8300,1.0598,61.7556,96.5144,1.1061,59.9822,95.9189
8400,1.0312,62.8800,96.7067,1.0812,61.1989,96.1222
8500,1.1132,59.6289,95.8400,1.1601,57.9111,95.2356
8600,1.0441,62.8789,96.6344,1.0927,60.9122,96.0456
8700,1.0978,60.2689,96.2189,1.1465,58.6656,95.7256
8800,1.0193,63.5411,96.5844,1.0715,61.7500,96.0489
8900,1.0153,63.4933,96.8111,1.0674,61.4633,96.2211
9000,1.0068,64.4922,96.6433,1.0623,62.3500,96.0078
9100,1.0497,62.8322,96.2211,1.1009,61.0100,95.4789
9200,1.0275,63.4289,96.5411,1.0817,61.4922,95.9767
9300,1.0341,62.6156,96.6011,1.0898,60.7378,95.9522
9400,1.0201,63.8478,96.6744,1.0753,61.7722,96.1000
9500,0.9886,64.6144,96.8367,1.0451,62.3400,96.2456
9600,0.9785,64.7656,97.2256,1.0362,62.7378,96.5144
9700,1.0405,62.7056,96.5778,1.0979,60.6678,95.8233
9800,1.0133,63.5689,96.7300,1.0744,61.5578,96.0300
9900,1.0775,62.1033,96.3211,1.1442,60.1611,95.6044
10000,0.9668,65.3611,97.0900,1.0322,63.1433,96.4556
10100,1.0250,63.3844,96.6933,1.0846,61.3367,96.0656
10200,0.9455,66.0211,97.2711,1.0142,63.5289,96.5833
10300,0.9923,64.7889,96.8489,1.0608,62.4400,96.2133
10400,0.9348,66.8333,97.3656,0.9989,64.4522,96.6400
10500,1.0068,64.4044,96.3811,1.0750,62.3189,95.7189
10600,0.9542,65.5633,97.2067,1.0175,63.2256,96.4789
