round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.4605,17.8700,57.8467,2.4627,17.7500,57.8867
200,2.3102,15.3822,65.6000,2.3125,15.3478,65.2544
300,2.1625,17.6578,73.6989,2.1670,17.6778,73.2922
400,2.1255,19.4844,74.6256,2.1297,19.3622,74.3178
500,2.0598,22.4111,73.9667,2.0639,22.3444,73.7800
600,2.0228,23.2022,79.7056,2.0262,23.3256,79.5156
700,1.9708,24.6989,79.8778,1.9745,24.5489,79.6033
800,1.8576,30.4556,84.4411,1.8627,30.3222,84.0578
900,1.8861,28.6844,84.2100,1.8919,28.4400,83.9011
1000,1.8859,29.8144,83.7911,1.8911,29.6922,83.6933
1100,1.8299,30.6389,85.7511,1.8369,30.4878,85.5678
1200,1.8037,31.3400,86.5678,1.8109,31.2233,86.3344
1300,1.8969,28.4433,83.3222,1.9034,28.2700,83.0456
1400,1.7944,32.3633,86.8622,1.8012,32.2733,86.6067
1500,1.8309,32.0144,82.9767,1.8370,31.8656,82.7022
1600,1.7756,32.7367,85.2144,1.7822,32.4467,84.9300
1700,1.6949,37.3667,88.4044,1.7034,37.1056,88.1078
1800,1.7836,34.0411,85.5778,1.7923,33.9222,85.2833
1900,1.7663,34.0578,86.7422,1.7747,33.3800,86.4178
2000,1.6918,36.3667,88.5289,1.7006,36.1967,88.2833
2100,1.7625,35.8256,87.1211,1.7723,35.5300,86.8311
2200,1.7703,32.6900,85.4267,1.7781,32.4422,85.0522
2300,1.6519,39.0722,89.7067,1.6625,38.5111,89.3367
2400,1.6135,39.7622,90.8211,1.6232,39.3122,90.6200
2500,1.5944,41.4844,90.2233,1.6037,41.4933,90.0378
2600,1.6038,40.1122,89.7722,1.6154,39.9356,89.4967
2700,1.5852,42.1511,90.8967,1.5952,41.6289,90.7211
2800,1.6129,39.3511,90.1956,1.6223,39.1011,89.9033
2900,1.5404,43.7133,91.5456,1.5520,43.0278,91.2978
3000,1.5884,41.5767,89.9111,1.6016,41.1456,89.6111
3100,1.5368,43.3467,91.2656,1.5496,42.8156,91.1000
3200,1.5577,42.6167,91.1856,1.5708,42.1056,90.9244
3300,1.5045,44.2433,92.2411,1.5188,43.6967,91.9756
3400,1.5643,44.3344,90.8578,1.5751,43.6889,90.5900
3500,1.4629,46.6533,92.6678,1.4756,46.0144,92.4667
3600,1.4938,44.6367,91.9967,1.5068,44.3233,91.8722
