round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.7716,1.0000,5.0000,4.7717,1.0000,5.0000
200,4.7186,1.0000,5.0000,4.7188,1.0000,5.0000
300,4.6509,1.0000,5.0000,4.6510,1.0000,5.0000
400,4.6326,1.0000,5.1820,4.6327,0.9900,5.2300
500,4.5415,2.0960,8.8140,4.5426,2.0700,8.6900
600,4.4160,2.7220,11.2300,4.4165,2.8300,11.4700
700,4.3394,2.5960,12.7920,4.3424,2.4500,12.4900
800,4.3350,3.0280,12.7260,4.3374,3.0300,12.9400
900,4.2476,3.5700,15.8060,4.2533,3.7200,15.7700
1000,4.1756,3.7220,17.0920,4.1821,3.5900,16.8200
1100,4.1689,4.5260,18.7480,4.1755,4.5100,18.6400
1200,4.0924,4.8340,19.8540,4.0981,4.5400,19.4300
1300,4.0637,5.2300,22.3040,4.0779,5.1800,21.9800
1400,3.9951,5.8320,23.6100,4.0064,5.7100,23.0500
1500,3.9808,5.6020,24.5300,3.9912,5.7600,24.4600
1600,3.9108,7.3000,27.6120,3.9193,7.2800,27.5400
1700,3.8976,8.0880,27.8860,3.9068,8.1700,27.5200
1800,3.8847,8.2620,29.2400,3.8944,8.2300,29.0600
1900,3.7854,9.6860,31.6100,3.7951,9.7500,31.7200
2000,3.7146,11.6980,36.3620,3.7296,11.9800,36.2000
2100,3.6744,11.8120,37.4960,3.6891,11.5900,37.3100
2200,3.6433,12.3380,37.9820,3.6594,11.7500,37.7200
2300,3.6066,12.9500,38.8740,3.6276,12.5600,38.2800
2400,3.6456,12.9480,38.0780,3.6595,13.2200,38.0100
2500,3.4734,15.2020,43.4320,3.4938,15.2400,42.9900
2600,3.4485,16.1520,43.9940,3.4722,16.5600,43.0400
2700,3.4251,16.2740,44.1040,3.4544,16.7000,43.1900
2800,3.3890,17.8920,46.0020,3.4168,17.6000,45.2600
2900,3.3012,20.2600,49.3040,3.3315,19.8900,48.0900
3000,3.2877,19.5720,49.2180,3.3235,19.1300,48.4800
3100,3.1638,22.0740,52.2880,3.2074,21.5600,50.8400
3200,3.3361,18.5300,47.1680,3.3783,18.2400,45.7900
3300,3.1367,22.9780,53.3400,3.1841,22.8400,52.0900
3400,3.1067,22.9480,52.8580,3.1544,22.5500,51.3800
3500,3.0162,24.5360,56.1420,3.0731,23.7700,54.5000
3600,3.0329,24.1020,54.8640,3.0844,23.3400,53.7800
3700,3.0271,24.4320,55.4260,3.0869,24.0600,53.7400
3800,2.9790,25.0720,56.1520,3.0446,23.8500,54.7900
3900,2.8851,26.8860,58.5220,2.9518,26.1800,57.0600
4000,2.8608,27.7900,59.7180,2.9322,26.2500,58.2200
4100,2.8304,28.1160,59.6740,2.9139,26.5300,58.0600
4200,2.7885,28.9740,60.9980,2.8591,27.7700,59.2000
4300,2.7731,29.2920,60.9940,2.8549,28.3100,59.1800
4400,2.7428,30.1420,62.2580,2.8243,29.3200,60.2600
4500,2.7318,30.2400,62.3520,2.8242,28.5800,60.0800
4600,2.7001,31.0080,63.0560,2.7955,29.1200,60.5200
4700,2.6646,31.7520,63.2660,2.7703,30.4300,60.8000
4800,2.6638,31.6380,63.7760,2.7733,29.4300,60.7500
4900,2.5996,32.9200,65.7760,2.7140,30.8500,62.8800
5000,2.5462,33.7100,66.7740,2.6573,31.6200,64.0700
5100,2.5813,34.0240,65.9200,2.6940,31.9000,63.2800
5200,2.5032,35.1480,68.0280,2.6264,33.2500,64.9200
5300,2.5272,34.7400,66.9960,2.6606,32.2100,63.7800
5400,2.4780,35.4780,68.2380,2.6126,32.8200,65.0500
5500,2.4369,36.3980,68.6240,2.5817,33.3700,65.7500
5600,2.4580,35.8980,68.0480,2.6016,33.3600,64.6300
5700,2.4131,36.6160,69.0540,2.5721,33.5300,65.4200
5800,2.3401,38.3540,70.6460,2.5041,35.4900,67.1100
5900,2.2946,39.5900,71.8520,2.4625,36.0600,68.5200
6000,2.4985,34.7380,67.2540,2.6631,32.4000,63.4400
6100,2.2868,40.3080,72.6600,2.4481,37.1200,68.6500
6200,2.3215,39.1100,71.7560,2.4981,35.5200,67.6500
6300,2.2940,39.1360,71.4720,2.4802,36.1500,67.0500
6400,2.2112,41.1820,73.3580,2.4056,37.8400,69.6200
6500,2.2059,41.7540,74.1160,2.3948,37.6900,69.8700
6600,2.2707,39.5560,71.7600,2.4710,35.8100,67.3800
6700,2.2026,40.9360,73.2520,2.4137,37.1500,68.8700
