round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.0667,20.2640,75.6240,2.0662,21.1600,75.4700
200,1.9512,24.5780,82.2720,1.9454,25.0400,82.3800
300,1.6914,35.9580,88.4520,1.6813,36.4600,88.2900
400,1.5995,37.6300,89.3060,1.5943,38.3900,89.4700
500,1.4841,43.4200,92.1720,1.4805,43.9500,92.3000
600,1.4391,45.5440,92.9480,1.4446,45.0300,92.6400
700,1.3778,48.4240,93.5360,1.3832,48.3700,93.3100
800,1.3620,50.1820,94.1580,1.3802,49.6200,93.8600
900,1.2188,55.6700,95.4500,1.2336,55.3300,95.0500
1000,1.1816,56.4640,95.5100,1.2054,55.3700,95.3600
1100,1.1458,58.2880,96.0820,1.1703,57.1800,95.7300
1200,1.0854,60.9960,96.4420,1.1173,59.8900,96.0000
1300,1.0353,62.6940,96.7880,1.0693,61.3000,96.2600
1400,1.0267,62.9840,96.7500,1.0657,61.8000,96.1400
1500,1.0050,63.6220,97.1280,1.0446,62.6000,96.3600
1600,0.9376,66.6060,97.3980,0.9869,65.2700,96.7500
1700,0.9297,67.1340,97.4480,0.9834,64.9400,96.8800
1800,0.9035,67.7500,97.5240,0.9596,66.4600,96.9400
1900,0.8411,70.1180,97.8480,0.9066,67.9700,97.2000
2000,0.8312,70.1140,98.0700,0.9026,68.0500,97.3000
2100,0.7885,71.8900,98.1760,0.8581,69.7600,97.4300
2200,0.7393,73.8500,98.4260,0.8177,71.4200,97.7100
2300,0.7312,74.1300,98.4660,0.8136,71.2200,97.7900
2400,0.7249,74.4760,98.4500,0.8153,71.8600,97.6000
2500,0.7006,74.9720,98.6600,0.7943,72.2900,97.9500
2600,0.6728,76.3480,98.7800,0.7595,73.3200,98.0800
2700,0.6728,76.3640,98.7460,0.7728,72.8600,97.9800
2800,0.6564,76.5400,98.8100,0.7591,73.5700,98.1300
2900,0.6359,77.3720,98.9380,0.7501,74.0200,98.2200
3000,0.7089,75.1300,98.5340,0.8259,72.2800,97.6300
3100,0.6213,77.9660,98.9120,0.7387,74.2700,98.1900
3200,0.5929,78.9380,98.9760,0.7224,75.2600,98.1600
3300,0.5611,80.2340,99.0840,0.6990,75.6900,98.3900
3400,0.5799,79.3740,99.1300,0.7128,75.1700,98.4500
3500,0.5553,80.3120,99.2100,0.7005,75.0600,98.4600
3600,0.5436,80.6060,99.2180,0.6985,76.2300,98.4800
3700,0.5630,79.6840,99.1960,0.7028,75.7100,98.3500
3800,0.5058,82.0380,99.3060,0.6599,76.8800,98.5000
3900,0.5053,82.1420,99.2740,0.6637,77.0400,98.4900
4000,0.4904,82.6940,99.3820,0.6529,77.7300,98.4500
4100,0.4782,82.9900,99.4440,0.6456,77.7400,98.5000
4200,0.4945,82.5060,99.3500,0.6740,76.9800,98.5100
4300,0.4702,83.5620,99.4400,0.6395,77.9100,98.4800
4400,0.4634,83.4300,99.4380,0.6413,78.0800,98.4700
4500,0.4761,83.0000,99.4460,0.6577,77.7500,98.4500
4600,0.4499,84.1220,99.5220,0.6325,78.5200,98.6000
4700,0.4518,84.0700,99.5040,0.6432,78.5300,98.7200
4800,0.4323,84.6220,99.5060,0.6395,79.1300,98.7800
4900,0.4335,84.5320,99.5640,0.6231,79.1100,98.6400
5000,0.4817,82.7000,99.4700,0.6910,77.1400,98.5600
5100,0.4190,84.9200,99.5920,0.6228,79.2000,98.5800
5200,0.4204,84.9220,99.5900,0.6330,78.4500,98.6600
5300,0.3996,85.5980,99.6420,0.6091,79.1800,98.8100
5400,0.3886,85.9240,99.6740,0.5981,79.6100,98.9200
5500,0.3910,85.9020,99.6420,0.6168,79.6600,98.7900
5600,0.3710,86.6920,99.7200,0.6086,80.0800,98.7600
5700,0.4165,84.8320,99.6480,0.6611,78.1500,98.7200
5800,0.3804,86.2920,99.6940,0.6174,79.5400,98.8500
5900,0.3666,86.9300,99.6960,0.6174,79.7400,98.8500
6000,0.3634,87.0220,99.7240,0.5993,80.1300,98.7600
6100,0.3514,87.3200,99.7180,0.5999,80.2300,98.9600
6200,0.3438,87.5760,99.7380,0.6073,80.4100,98.7900
6300,0.3506,87.4480,99.7160,0.6093,80.0900,98.9200
6400,0.3543,87.3560,99.6980,0.6229,80.0200,98.7200
6500,0.3681,86.7720,99.7240,0.6513,79.1600,98.7100
6600,0.3227,88.5360,99.7900,0.6061,81.0000,98.9200
6700,0.3644,87.0620,99.7060,0.6399,79.8200,98.7300
