round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.4630,10.0000,50.0256,2.4636,10.0000,50.0311
200,2.5312,13.1522,66.3944,2.5346,13.0600,66.0867
300,2.0940,17.3233,75.6822,2.0988,17.1156,75.4156
400,1.9943,20.7233,83.1567,2.0006,20.6844,82.6700
500,1.9222,25.5067,82.0211,1.9294,25.4156,81.4222
600,1.9210,27.0767,81.2278,1.9284,26.9456,80.8567
700,1.9072,24.2789,85.5678,1.9139,24.2022,85.2289
800,1.7214,34.3100,88.0322,1.7301,33.8489,87.6800
900,1.7478,33.4856,87.8822,1.7544,33.3900,87.5044
1000,1.7285,33.7233,88.3833,1.7339,33.7511,88.1889
1100,1.7458,34.4944,87.5122,1.7549,34.4389,87.0800
1200,1.7244,34.2911,89.0589,1.7339,34.1156,88.7167
1300,1.5400,41.3289,91.2933,1.5521,40.9400,91.1978
1400,1.6334,40.3867,88.4156,1.6460,39.5078,88.0256
1500,1.5210,43.6944,91.8933,1.5339,43.0922,91.6100
1600,1.5745,41.9011,91.2178,1.5879,41.3889,90.9578
1700,1.4656,45.6322,92.7711,1.4802,45.0322,92.5500
1800,1.4981,44.3422,91.3111,1.5135,43.7178,91.0333
1900,1.5822,41.2089,90.5989,1.5966,40.8222,90.0778
2000,1.5434,41.7978,90.8056,1.5573,41.1733,90.4978
2100,1.4528,45.3111,93.0711,1.4695,44.8056,92.7678
2200,1.6109,40.5911,89.3167,1.6284,40.3833,88.8789
2300,1.3825,48.2400,93.7767,1.4017,47.4133,93.4656
2400,1.3801,49.2667,93.2856,1.4023,48.4700,92.9378
2500,1.3811,49.4922,93.6422,1.4024,48.4511,93.1811
2600,1.3945,48.5100,93.2278,1.4208,47.6433,92.8400
2700,1.2676,52.6856,94.7044,1.2921,51.8856,94.4489
2800,1.2819,53.1233,94.7433,1.3043,52.1011,94.3033
2900,1.3081,52.9989,93.3022,1.3350,51.8711,92.8822
3000,1.2419,54.4244,94.9044,1.2705,53.4233,94.4656
3100,1.2645,53.8922,94.4333,1.2905,52.9067,94.0111
3200,1.2944,51.8022,94.5033,1.3193,50.9744,94.0411
3300,1.3138,52.3522,93.5211,1.3419,51.3489,92.9500
3400,1.3608,49.7589,94.0367,1.3882,49.0067,93.5322
3500,1.2040,55.6700,95.0756,1.2404,54.4878,94.6667
3600,1.1945,56.7189,95.0867,1.2258,55.5489,94.5633
3700,1.2133,55.2067,95.4389,1.2449,54.0778,95.0044
3800,1.1796,57.4744,95.2467,1.2138,56.1044,94.7322
3900,1.1278,58.6944,96.0222,1.1642,57.4156,95.5211
4000,1.2016,56.4978,95.3111,1.2380,55.2744,94.8078
4100,1.1599,58.0656,95.2222,1.1969,56.5178,94.7344
4200,1.1550,58.2467,95.8233,1.1915,56.9833,95.3967
4300,1.1623,57.8444,95.4200,1.2019,56.5522,94.8533
4400,1.2199,56.2044,94.5867,1.2626,54.9567,94.1844
4500,1.2066,55.7900,94.7533,1.2454,54.7989,94.2189
4600,1.1121,59.4922,95.6511,1.1553,58.0244,95.1133
4700,1.1143,59.2489,95.9933,1.1615,57.7889,95.5144
4800,1.0995,59.8444,96.1522,1.1427,58.5200,95.6044
4900,1.1065,60.3222,95.9156,1.1553,58.6867,95.2678
5000,1.0692,61.6000,96.0833,1.1133,59.9578,95.4667
5100,1.1003,60.5056,95.9422,1.1473,58.6367,95.4167
5200,1.0605,61.3522,96.3322,1.1098,59.5822,95.8067
5300,1.0775,61.3489,96.3144,1.1259,59.6967,95.7111
5400,1.0205,62.8278,96.6211,1.0709,61.1456,96.0500
5500,1.0645,61.5556,96.2967,1.1194,59.7933,95.7800
5600,1.0564,61.2111,96.3500,1.1125,59.3011,95.7711
5700,1.0199,63.2333,96.5056,1.0780,61.1933,95.8856
5800,1.0115,63.2089,96.6189,1.0725,61.1511,96.0633
5900,1.0300,62.9422,96.6167,1.0867,60.9589,95.9356
6000,1.0329,62.9544,96.4156,1.0925,60.7711,95.7600
6100,0.9754,64.7689,96.8467,1.0346,62.7578,96.2911
6200,1.0262,63.1322,96.1756,1.0857,61.2078,95.5044
6300,0.9818,64.6489,96.8856,1.0426,62.5133,96.1878
