round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.5167,10.3378,50.0011,2.5169,10.2944,50.0000
200,2.2200,16.3367,70.0600,2.2230,16.2711,69.8911
300,2.0992,18.3556,77.9811,2.1048,18.2100,77.6389
400,2.3877,18.1989,63.5767,2.3932,18.0778,63.2733
500,2.1472,22.6533,70.2078,2.1550,22.5233,69.9511
600,1.7844,32.2044,86.9867,1.7920,32.0533,86.6411
700,1.8210,30.9489,85.5256,1.8304,30.8011,85.1567
800,1.7463,33.9344,87.4167,1.7543,33.5644,87.1311
900,1.6715,36.7144,88.6944,1.6801,36.2689,88.4067
1000,1.6652,36.5233,89.3178,1.6721,36.5144,88.9022
1100,1.7750,34.7722,86.0389,1.7850,34.4000,85.6467
1200,1.6685,36.9922,88.0889,1.6780,36.8322,87.7700
1300,1.5823,41.3244,90.9711,1.5927,41.0044,90.8933
1400,1.6396,39.3411,88.2800,1.6502,38.8222,88.0289
1500,1.5342,42.4500,91.4889,1.5482,42.1167,91.1933
1600,1.5233,42.7611,91.3578,1.5343,42.6567,90.8700
1700,1.5505,42.5322,90.3533,1.5636,42.2156,89.9356
1800,1.5498,42.6300,90.9989,1.5680,41.9578,90.7044
1900,1.4810,43.8911,92.1122,1.4968,43.6744,91.6822
2000,1.4293,46.8667,93.0733,1.4434,46.5611,92.6733
2100,1.4727,45.4067,92.0500,1.4914,44.8778,91.5422
2200,1.4864,45.2367,91.2522,1.5034,44.4667,91.0067
2300,1.3592,49.9644,93.6956,1.3779,49.3211,93.3444
2400,1.3534,49.1956,93.7578,1.3742,48.5822,93.3522
2500,1.3336,50.4844,93.9789,1.3510,49.8244,93.5689
2600,1.3895,48.5267,93.1367,1.4091,48.0022,92.7478
2700,1.3476,49.9144,93.9778,1.3710,49.2744,93.5522
2800,1.3793,49.0600,93.3000,1.4019,48.3700,92.8622
2900,1.3166,51.6756,94.3978,1.3353,51.0889,94.0278
3000,1.3534,49.6144,93.8244,1.3745,48.9511,93.4967
3100,1.3194,51.6278,94.1889,1.3392,50.9644,93.8011
3200,1.2425,54.5033,95.0244,1.2692,53.2878,94.5211
3300,1.2582,53.4267,94.6567,1.2833,52.5689,94.1367
3400,1.2893,51.7644,94.6900,1.3128,51.2422,94.2689
3500,1.3372,50.3000,93.9422,1.3632,49.5867,93.4844
3600,1.2531,54.4111,94.3456,1.2835,53.4056,93.8778
3700,1.2914,52.3411,93.9989,1.3223,51.2133,93.4911
3800,1.1807,56.9911,95.4300,1.2085,55.9189,95.0122
3900,1.2474,55.0367,94.1811,1.2772,54.1522,93.6889
4000,1.1766,56.9133,95.6622,1.2123,55.8089,95.1767
4100,1.1431,58.2756,95.6167,1.1786,56.9533,95.2311
4200,1.1509,58.5733,95.7644,1.1823,57.3978,95.2556
4300,1.2928,53.9589,93.7267,1.3238,53.2244,93.2478
4400,1.1981,56.7211,95.3644,1.2339,55.3122,94.7344
4500,1.1450,58.3822,95.8356,1.1830,57.4556,95.3844
4600,1.0845,60.6200,96.1511,1.1272,59.1944,95.5456
4700,1.1324,58.7744,96.0256,1.1697,57.5078,95.5833
4800,1.1864,57.6633,94.9022,1.2285,56.4656,94.3078
4900,1.0949,59.8278,96.1100,1.1346,58.5578,95.5756
