round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.3609,11.7111,62.7556,2.3628,11.6544,62.5367
200,2.1548,20.1633,71.5867,2.1600,19.9867,71.3378
300,1.9819,24.4122,82.2811,1.9877,24.0600,81.7778
400,1.8779,27.6522,85.5644,1.8832,27.5522,85.2867
500,1.8718,28.8867,82.4067,1.8801,28.5344,82.1622
600,1.7586,31.2189,88.1300,1.7664,30.8600,87.7989
700,1.7402,33.1111,88.0978,1.7479,32.6722,87.6167
800,1.7289,34.5500,86.9244,1.7370,34.0567,86.4144
900,1.6811,39.0167,89.3222,1.6893,38.6456,88.9800
1000,1.6719,38.7333,88.7167,1.6805,38.2456,88.5400
1100,1.6615,39.2633,89.3211,1.6714,38.8778,88.9867
1200,1.5594,41.9878,91.0267,1.5687,41.7078,90.7511
1300,1.5454,43.1244,90.9067,1.5559,42.4744,90.6244
1400,1.5884,42.2189,90.8178,1.5981,41.8744,90.4111
1500,1.4706,45.9067,92.3033,1.4838,45.3256,92.0678
1600,1.4659,46.2111,92.8356,1.4793,45.6600,92.4433
1700,1.4457,47.4256,92.9356,1.4583,46.9300,92.5633
1800,1.4330,47.4467,92.7889,1.4474,46.9656,92.3944
1900,1.4136,48.6422,93.4200,1.4300,47.9422,93.0389
2000,1.4211,49.1089,92.5300,1.4386,48.4367,92.1333
2100,1.4280,46.7844,93.0311,1.4490,46.3067,92.6433
2200,1.3686,50.9478,93.7044,1.3867,50.1033,93.3189
2300,1.3733,49.8356,93.1633,1.3942,49.1367,92.6989
2400,1.3378,51.3967,94.0644,1.3597,50.8378,93.5756
2500,1.3598,51.3478,93.9067,1.3835,50.3300,93.3578
2600,1.3297,51.2889,94.3644,1.3545,50.4233,93.8022
2700,1.2694,54.0289,94.6711,1.2957,52.9800,94.2244
2800,1.3057,52.8022,94.3033,1.3284,52.0189,93.8400
2900,1.2960,52.8522,94.4811,1.3208,52.0356,93.9844
3000,1.2919,52.5089,94.7533,1.3223,51.6122,94.2256
3100,1.2441,54.7400,94.9944,1.2742,53.6722,94.3567
3200,1.2448,55.0389,94.8611,1.2773,53.8322,94.2567
3300,1.3055,52.3822,93.9856,1.3382,51.2411,93.3711
3400,1.2610,54.4311,94.6367,1.2933,53.3000,94.0589
3500,1.2421,54.4600,94.6522,1.2770,53.3778,94.1700
3600,1.3136,52.4167,93.5722,1.3476,51.1944,93.0622
3700,1.2891,54.4189,93.4078,1.3249,53.2089,92.8989
3800,1.1699,57.9533,95.3511,1.2099,56.6100,94.6444
3900,1.2652,54.5444,94.8878,1.3042,53.3600,94.1844
4000,1.1781,57.4100,95.6378,1.2188,55.8989,95.0744
4100,1.2032,56.2322,95.1722,1.2450,54.6300,94.6100
4200,1.1917,56.7300,95.5378,1.2368,54.9911,94.9389
4300,1.2042,57.1778,94.5989,1.2498,55.3667,94.0533
4400,1.1683,57.5333,95.7778,1.2105,56.0322,95.1011
4500,1.1835,57.4344,95.5900,1.2319,55.8322,94.8833
4600,1.1157,60.0489,96.0267,1.1671,58.1811,95.1378
4700,1.1261,59.5733,95.9700,1.1736,57.7644,95.2644
4800,1.0881,61.0833,96.1644,1.1437,58.9667,95.3789
4900,1.1062,60.1400,95.9378,1.1603,58.1922,95.2122
5000,1.1230,59.5856,95.6533,1.1835,57.4811,94.7733
5100,1.1417,59.6144,95.9622,1.1950,57.6667,95.1356
5200,1.1457,59.3456,95.2656,1.2038,57.4056,94.3200
5300,1.1489,58.8278,95.3533,1.2062,56.8133,94.6811
5400,1.0939,60.6644,96.1456,1.1545,58.5256,95.3033
5500,1.0727,61.3044,96.3078,1.1313,59.2578,95.5256
5600,1.1161,59.7211,96.0456,1.1775,57.8644,95.2667
5700,1.1180,59.1833,95.9244,1.1796,56.9411,95.0989
5800,1.1514,58.6444,95.6800,1.2147,56.6156,94.8733
5900,1.0559,61.7422,96.5722,1.1204,59.5089,95.7167
6000,1.0752,61.0844,96.3733,1.1433,58.7200,95.3978
6100,1.0664,61.4678,96.1367,1.1382,59.2211,95.2711
6200,1.0499,62.0333,96.4000,1.1223,59.6289,95.5622
6300,1.0500,62.4489,96.1533,1.1177,60.0644,95.3189
6400,1.0367,62.5067,96.5911,1.1097,60.0167,95.7444
6500,1.0267,63.1333,96.5778,1.1010,60.3633,95.6233
6600,1.0773,61.5478,95.9211,1.1484,59.3111,94.8667
6700,1.0261,62.8000,96.6456,1.1040,60.1611,95.7800
6800,1.0390,62.1778,96.5156,1.1148,59.7544,95.5833
6900,1.0392,62.9556,95.9633,1.1163,60.4667,95.1156
7000,1.0275,62.9300,96.5000,1.1089,60.2000,95.4700
7100,0.9922,64.8189,96.5311,1.0715,62.1622,95.6633
7200,0.9877,64.6011,96.7978,1.0716,61.7478,95.8667
7300,0.9941,64.1111,96.9367,1.0746,61.3033,95.9800
7400,1.0034,64.3011,96.4867,1.0905,61.3944,95.5778
7500,1.0371,63.0411,96.4233,1.1210,60.2811,95.3733
7600,1.1457,58.5633,95.4156,1.2290,56.1300,94.4556
7700,1.0212,62.8433,96.8033,1.1072,59.8467,95.9078
7800,0.9595,65.4989,96.8844,1.0494,62.4500,95.9944
7900,0.9831,64.6611,96.8889,1.0723,61.8933,95.9178
8000,1.0160,63.7256,96.3422,1.1055,60.6922,95.4556
8100,0.9554,65.7144,97.0633,1.0561,62.5589,96.0700
8200,1.0303,62.5567,96.5878,1.1213,59.6278,95.5433
8300,0.9640,65.4622,97.1689,1.0597,62.0511,96.0889
8400,0.9458,66.5044,97.1133,1.0394,63.0067,96.1411
8500,1.0027,64.0844,96.6222,1.0956,60.8733,95.5711
8600,0.9380,65.8367,97.2444,1.0411,62.4022,96.2633
8700,0.9593,65.6422,97.0533,1.0529,62.4578,95.9533
8800,0.9836,63.9033,97.0011,1.0877,60.8711,95.9344
8900,0.9499,65.6300,97.2144,1.0584,62.1189,96.0933
9000,0.9530,65.3544,97.1833,1.0580,62.1044,96.1867
9100,0.9404,66.1056,97.1944,1.0511,62.6556,96.1489
9200,0.9177,67.0756,97.3044,1.0210,63.5644,96.2578
9300,0.9278,66.3244,97.2322,1.0424,62.7622,96.1222
9400,0.9318,66.7033,97.1078,1.0446,63.0044,95.9678
9500,0.9227,66.7300,97.3489,1.0300,62.8489,96.2567
9600,0.9205,66.8267,97.4044,1.0349,63.0800,96.2422
9700,0.9097,67.2100,97.3433,1.0288,63.3800,96.2178
9800,0.9008,67.7156,97.3233,1.0164,63.7667,96.1322
9900,0.8986,67.6711,97.3389,1.0218,63.7056,96.1722
10000,0.8971,67.7511,97.4156,1.0129,63.7567,96.2589
10100,0.8936,68.2656,97.6400,1.0090,64.0600,96.4100
10200,0.9543,65.8633,97.1133,1.0731,62.1678,95.8767
10300,0.9125,67.4300,97.2744,1.0298,63.3567,96.1356
10400,0.8765,68.4389,97.5733,0.9990,64.5300,96.3811
10500,0.9540,65.5900,97.1578,1.0764,61.8044,95.9522
10600,0.9463,66.0189,97.0400,1.0705,62.3600,95.8422
10700,0.9368,66.1233,97.2567,1.0571,62.2822,95.9722
10800,0.8973,67.7467,97.4067,1.0268,63.8967,96.0222
10900,0.8510,69.3411,97.7544,0.9810,65.1156,96.5711
11000,0.8770,68.4633,97.6678,1.0096,64.1678,96.4044
11100,0.8718,68.8233,97.6589,0.9937,64.6756,96.3522
11200,0.8629,69.0144,97.6322,0.9994,64.7744,96.3333
11300,0.8723,68.4733,97.5833,1.0059,64.2722,96.3333
11400,0.8720,68.3033,97.6289,1.0098,64.1611,96.2544
11500,0.8688,68.6256,97.4911,1.0061,64.4744,96.2244
11600,0.8446,69.5178,97.8044,0.9829,65.1067,96.5144
11700,0.8428,69.5011,97.6578,0.9859,64.9056,96.5000
11800,0.8697,68.4078,97.7233,1.0073,63.6078,96.4733
11900,0.8557,69.1278,97.7667,0.9996,64.4322,96.4800
12000,0.8570,69.0022,97.7356,0.9938,64.4000,96.4478
12100,0.8462,69.5422,97.7678,0.9921,64.6144,96.4333
12200,0.9098,67.2589,97.2656,1.0524,63.0144,96.0022
12300,0.8584,69.1700,97.6367,1.0072,64.5444,96.2178
12400,0.8380,69.9700,97.7089,0.9829,65.1722,96.2956
12500,0.8746,68.7822,97.7444,1.0098,64.1033,96.4156
12600,0.8817,67.9800,97.4044,1.0351,63.4422,95.9433
12700,0.8686,68.9200,97.6711,1.0228,64.1956,96.1300
12800,0.8403,69.7933,97.8178,0.9897,64.8267,96.3911
12900,0.9135,67.6578,96.8544,1.0682,63.1689,95.4044
13000,0.8205,70.3844,97.9156,0.9724,65.5889,96.4711
13100,0.8279,70.2500,97.9500,0.9804,65.1233,96.4233
13200,0.8372,69.8300,97.8956,0.9903,64.7522,96.4989
13300,0.8808,68.1622,97.5967,1.0356,63.6089,96.1600
13400,0.8162,70.3922,97.8889,0.9780,65.2611,96.5178
13500,0.8776,68.4922,97.5267,1.0486,63.5144,96.0389
13600,0.8089,70.9022,97.9778,0.9683,65.9467,96.6144
13700,0.8070,71.0900,98.0656,0.9653,65.8533,96.5933
13800,0.8185,70.2856,98.0233,0.9914,65.3678,96.4544
13900,0.8009,70.9689,98.1411,0.9644,65.5756,96.5956
14000,0.8050,70.7967,98.0144,0.9833,65.4589,96.5256
14100,0.8212,70.3222,98.0422,0.9819,65.1322,96.5722
14200,0.7961,71.2567,98.0800,0.9649,65.8822,96.5289
14300,0.7986,70.7500,98.1133,0.9737,65.5544,96.5811
14400,0.8621,69.0944,97.4033,1.0279,64.0400,95.9000
14500,0.8197,70.5289,97.9222,0.9884,65.1944,96.4322
14600,0.8360,69.5500,97.7044,1.0056,64.6400,96.2167
14700,0.7871,71.5833,98.0789,0.9723,66.0767,96.5178
14800,0.8078,71.1056,97.7089,0.9905,65.3256,96.1867
14900,0.8136,70.8444,97.6911,0.9862,65.3056,96.1578
15000,0.8298,70.2011,97.7933,1.0036,64.8656,96.2300
15100,0.7882,71.6378,98.1744,0.9661,65.7622,96.6233
15200,0.7907,71.6244,98.0333,0.9755,65.9989,96.5311
15300,0.7900,71.4089,98.1467,0.9707,65.6056,96.5633
15400,0.7855,71.8644,98.1767,0.9619,65.7833,96.6400
15500,0.7705,72.0722,98.1989,0.9535,66.1956,96.7289
15600,0.7918,71.5222,98.1200,0.9762,65.4156,96.4644
15700,0.8312,70.3000,97.7133,1.0162,64.7511,96.1900
15800,0.7795,71.9822,98.1356,0.9652,65.9044,96.5767
15900,0.7883,71.3633,98.2322,0.9831,65.4078,96.5011
16000,0.7722,71.9478,98.2878,0.9563,66.2367,96.6644
16100,0.7818,71.6533,98.2889,0.9708,65.7700,96.6222
16200,0.7718,71.8422,98.4333,0.9633,65.7200,96.7500
16300,0.8230,70.3778,97.8478,1.0071,64.4911,96.1822
16400,0.7731,72.1211,98.3033,0.9668,65.8789,96.5967
16500,0.7564,72.8333,98.3500,0.9444,66.5400,96.6489
16600,0.7384,73.1911,98.4189,0.9325,67.0722,96.7756
16700,0.7703,71.9589,98.2733,0.9677,65.9267,96.5933
16800,0.7544,72.6367,98.3356,0.9538,66.2911,96.7133
16900,0.7832,71.7333,98.1433,0.9809,65.6444,96.4244
17000,0.7491,72.8533,98.2856,0.9496,66.2878,96.6167
17100,0.7809,71.6544,98.1844,0.9731,65.5233,96.6067
17200,0.7762,71.7900,98.1122,0.9848,65.7411,96.4556
