round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.0234,8.6260,28.5260,4.0256,8.7400,28.6700
200,3.7369,12.5300,37.0780,3.7531,12.7400,36.5200
300,3.5136,17.4400,44.4080,3.5523,16.9800,43.3500
400,3.3159,20.8100,49.3320,3.3752,20.0200,47.6200
500,3.1513,24.0800,53.3880,3.2300,22.5200,50.9700
600,2.9915,26.9600,57.1220,3.0966,24.9700,54.3800
700,2.8768,29.0720,59.7420,3.0023,26.8500,56.6900
800,2.7452,32.0060,62.5720,2.9026,29.6500,58.8200
900,2.6477,33.9480,65.0700,2.8238,30.3500,60.7200
1000,2.5357,36.0620,67.2040,2.7436,31.8200,62.1500
1100,2.4562,37.6160,69.0680,2.6870,33.4700,63.5800
1200,2.3825,38.6060,70.5100,2.6379,34.0400,64.6300
1300,2.3082,40.6120,72.3560,2.6033,34.9100,65.5400
1400,2.2240,42.3820,73.5820,2.5622,36.0000,66.2700
1500,2.1938,42.7660,74.1260,2.5545,35.4700,66.7100
1600,2.1265,44.5800,75.9940,2.5058,36.9400,67.6100
1700,2.0489,45.9580,76.8600,2.4697,38.1700,67.8900
1800,2.0072,47.0520,77.7440,2.4598,38.1300,68.5200
1900,1.9386,48.2940,79.2520,2.4136,39.4200,69.8000
2000,1.9117,48.9700,79.1700,2.4224,39.1700,69.3400
2100,1.8733,49.7720,80.3100,2.3887,39.9700,69.9400
2200,1.8227,50.9920,81.1940,2.3778,40.0500,70.2200
2300,1.8002,51.4920,81.6120,2.3857,39.6000,70.4500
2400,1.7748,52.2300,81.8680,2.3887,40.3400,70.1800
2500,1.7312,52.8820,82.4320,2.3823,41.0000,70.3500
2600,1.7041,53.5960,82.9720,2.3711,40.7900,70.6300
2700,1.6694,54.2760,83.7700,2.3711,40.8300,70.6900
2800,1.6338,55.2840,84.1160,2.3781,41.1900,70.7800
2900,1.6059,55.7480,84.5620,2.3497,41.7200,71.4500
3000,1.5657,56.6300,85.2520,2.3455,42.1000,71.1900
3100,1.5580,57.0100,85.5960,2.3602,41.9600,71.1500
3200,1.5269,57.5500,85.9140,2.3653,42.1000,71.3100
3300,1.5013,58.3120,86.2220,2.3567,41.8700,71.5400
3400,1.4629,59.0540,86.8860,2.3555,42.2700,71.8400
3500,1.4651,58.9240,86.9980,2.3699,41.8200,71.7700
3600,1.4316,59.8560,87.4160,2.3398,42.6000,72.4900
3700,1.4262,60.2140,87.5060,2.3643,42.1300,71.3600
3800,1.3919,60.7800,88.1160,2.3460,42.8500,72.0900
3900,1.3563,61.7680,88.5500,2.3535,42.7400,72.0200
4000,1.3282,62.4680,88.7660,2.3374,43.8400,72.0600
4100,1.3275,62.5300,88.8320,2.3495,43.1700,72.3900
4200,1.3194,62.6680,89.0120,2.3662,43.2000,72.4900
4300,1.2953,63.4700,89.3900,2.3537,43.2600,72.6000
4400,1.2605,64.0940,89.8320,2.3506,43.5000,72.8000
4500,1.2674,64.1040,89.7160,2.3454,43.5700,72.5200
4600,1.2540,64.4200,90.0460,2.3375,43.6100,72.7500
4700,1.2163,64.9320,90.3780,2.3612,43.8100,73.5300
4800,1.2037,65.4020,90.5540,2.3587,44.1100,73.1100
4900,1.1874,65.8840,90.6960,2.3498,44.3200,72.7100
5000,1.1989,65.4220,90.5820,2.4194,43.6700,72.4300
5100,1.1751,66.0500,91.0540,2.3901,44.2700,72.9600
5200,1.1525,66.4940,91.3680,2.4018,43.9200,72.7500
5300,1.1534,66.5200,91.3580,2.4024,43.7000,72.9600
5400,1.1336,67.0140,91.6100,2.4672,43.8100,72.6500
5500,1.1370,66.8980,91.5820,2.4055,43.9300,72.8400
5600,1.1210,67.6620,91.7680,2.4153,43.6900,72.3900
5700,1.1029,67.7140,92.0420,2.4259,43.7600,72.7800
5800,1.0980,67.8820,91.9860,2.4281,44.0700,72.8600
5900,1.0765,68.5460,92.3700,2.3962,44.9800,73.1200
6000,1.0683,68.7940,92.4820,2.4042,44.6100,72.9900
6100,1.0741,68.7200,92.2780,2.4407,44.1300,72.7600
6200,1.0593,69.0440,92.7400,2.4402,43.7100,72.5800
6300,1.0433,69.5340,92.7620,2.4120,44.1600,73.3800
6400,1.0558,69.2840,92.6060,2.4306,43.8500,72.3900
6500,1.0128,70.0140,93.1520,2.4891,44.1900,73.0900
6600,0.9946,70.8080,93.2660,2.4726,43.9500,73.0300
6700,1.0051,70.5060,93.2240,2.4420,43.7800,72.8100
6800,0.9940,70.7980,93.3560,2.4623,44.4800,73.0400
6900,0.9828,70.8460,93.4040,2.4788,44.5900,73.0300
7000,0.9739,71.0920,93.5760,2.5106,44.0100,72.8600
7100,0.9857,70.8440,93.4480,2.4966,44.4400,72.3000
7200,0.9668,71.4520,93.5800,2.4973,44.5700,72.6200
7300,0.9608,71.6700,93.6420,2.5192,44.4800,72.5800
