round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.8455,1.0000,5.0220,4.8479,1.0000,4.9700
200,4.8701,1.0000,4.8480,4.8746,1.0000,4.9000
300,4.7658,1.0000,4.9540,4.7670,1.0000,4.9600
400,4.7441,1.0000,5.7820,4.7444,1.0000,5.8900
500,4.6574,1.2500,8.0800,4.6558,1.1600,8.1200
600,4.5287,2.1220,9.9360,4.5308,2.0700,9.7800
700,4.5796,2.2320,11.8740,4.5884,2.3100,11.8600
800,4.4996,2.4900,11.3380,4.5082,2.4600,11.4500
900,4.6354,1.6680,8.4060,4.6381,1.6500,8.4300
1000,4.3815,2.1920,12.6520,4.3873,2.1300,12.4400
1100,4.3108,3.2320,12.9540,4.3202,3.1000,12.6700
1200,4.2756,4.1500,16.1940,4.2820,3.9900,16.0100
1300,4.1674,4.7520,19.9980,4.1816,4.6400,19.8500
1400,4.2695,3.6960,15.4140,4.2773,3.7700,15.7200
1500,4.0341,6.1840,24.0180,4.0401,5.8800,23.6500
1600,3.9685,6.9880,26.8600,3.9842,6.7200,26.3200
1700,3.9488,5.7580,26.5360,3.9583,5.4500,26.5500
1800,3.9709,7.1080,29.1260,3.9838,7.0300,28.5500
1900,3.7674,9.3300,33.3320,3.7836,9.2500,33.0400
2000,3.7587,10.4640,34.3540,3.7669,10.4500,34.7200
2100,3.6841,11.1800,36.0080,3.7043,11.1200,35.7300
2200,3.5258,14.0760,40.8480,3.5468,14.0600,40.5600
2300,3.5060,15.0360,41.8460,3.5297,14.6600,40.7800
2400,3.5127,14.5640,40.5260,3.5414,14.0000,40.0700
2500,3.4049,16.2260,43.7940,3.4357,16.1200,43.1000
2600,3.3442,17.7980,46.8160,3.3737,17.0500,45.8300
2700,3.3341,18.2020,47.6360,3.3691,17.7200,46.7600
2800,3.1855,21.4440,51.4160,3.2148,20.7200,50.7800
2900,3.2168,19.7980,49.8540,3.2554,19.7400,48.1200
3000,3.1748,20.4420,52.1320,3.2257,20.1200,51.1700
3100,3.2230,19.5220,51.6040,3.2666,18.8000,50.6000
3200,3.1000,22.6540,53.1260,3.1545,21.6100,51.7300
3300,3.0751,22.8260,53.8780,3.1200,21.8000,52.7200
3400,3.0112,23.7120,57.2680,3.0668,23.1700,55.4000
3500,3.0010,23.9120,56.4360,3.0579,23.1200,54.8500
3600,2.9193,25.9100,58.0120,2.9912,24.5300,55.7300
3700,2.9728,25.0220,56.5920,3.0464,23.6400,54.6100
3800,2.9788,25.2680,56.6240,3.0390,24.2900,55.1500
3900,2.8293,28.3340,60.6040,2.9077,26.9000,58.7800
4000,2.7342,29.6380,62.8680,2.8135,27.8500,60.6400
4100,2.7186,29.9620,62.8320,2.8113,28.6700,60.5800
4200,2.6906,31.2280,64.4000,2.7727,29.5300,62.5100
4300,2.7031,30.6700,63.9820,2.7935,29.0600,61.7900
4400,2.7880,29.6920,63.1580,2.8690,28.2500,61.2300
4500,2.8998,27.4540,58.7380,2.9959,25.7000,56.6900
4600,2.7498,28.6720,61.8880,2.8484,27.1100,59.9500
4700,2.6224,31.9740,65.0440,2.7353,30.0000,62.1800
