round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.6290,14.6620,57.2880,2.6362,14.7600,57.0400
200,2.1137,17.7340,73.1620,2.1138,17.6500,72.8900
300,2.0131,25.8080,76.4120,2.0179,25.3900,76.5000
400,1.9330,25.6120,80.1600,1.9274,26.4400,79.9300
500,1.7413,33.6340,89.3400,1.7416,33.6900,89.2800
600,2.1556,22.2860,72.7520,2.1508,22.6200,72.7800
700,1.6117,40.4520,91.2460,1.6150,40.1600,91.2700
800,1.5480,43.7720,91.1320,1.5415,44.0000,91.0200
900,1.7447,36.3040,85.9140,1.7399,36.3700,86.4200
1000,1.8953,33.1660,86.8060,1.9088,33.1500,86.7400
1100,1.4796,46.2820,91.1420,1.4822,45.5300,91.1200
1200,1.3522,51.2820,93.5260,1.3564,50.8800,93.3400
1300,1.3234,51.7440,94.9520,1.3186,52.5000,95.0100
1400,1.3818,48.0360,94.5580,1.3846,48.0700,94.5300
1500,1.3787,48.8920,94.9200,1.3868,48.6400,94.4900
1600,1.2406,56.0260,94.4360,1.2550,55.5200,94.1700
1700,1.1036,62.0380,96.5060,1.1234,60.9200,96.0500
1800,1.0905,60.8640,96.4320,1.1161,60.3800,96.0000
1900,1.1371,59.2020,96.0560,1.1589,58.0200,95.9200
2000,1.1644,58.3820,96.0360,1.1882,57.7200,95.9700
2100,1.2065,56.5980,95.0060,1.2279,56.4500,94.8500
2200,1.0759,61.7200,96.1560,1.1086,60.5000,95.9700
2300,1.0312,62.6460,96.9160,1.0669,61.1500,96.7800
2400,1.1121,59.9560,96.9420,1.1458,58.7200,96.5200
2500,0.9619,65.8020,97.4740,1.0015,64.9100,97.2700
2600,1.0108,63.9920,97.1440,1.0505,62.6000,96.6900
2700,0.8976,68.6820,97.5540,0.9374,67.3600,97.3700
2800,0.9689,65.8660,97.3120,1.0176,64.4200,96.9800
2900,0.8871,68.1020,97.7020,0.9396,66.8900,97.2500
3000,0.8535,70.3980,97.7860,0.9174,68.1000,97.3300
3100,1.0072,64.8220,97.5680,1.0612,63.8600,97.0700
3200,0.8924,68.2260,97.7760,0.9516,66.9400,97.3100
3300,0.7921,72.7460,98.1000,0.8610,70.8200,97.4700
3400,1.0568,62.8480,97.6400,1.1280,61.2300,97.0300
3500,0.9129,68.6900,96.6740,0.9821,66.4200,96.0200
3600,0.8418,69.9460,97.8880,0.9081,68.3000,97.3400
3700,0.9021,68.1040,97.9540,0.9708,66.8400,97.4600
3800,0.8616,69.2960,98.0000,0.9406,66.9700,97.2100
3900,0.8371,70.5060,98.1280,0.9059,68.5000,97.6900
4000,0.6979,75.5000,98.5520,0.7815,73.2800,97.9900
4100,0.8199,71.9900,97.7600,0.8923,69.5800,97.3300
4200,0.7283,74.1940,98.6080,0.8148,71.5800,98.0500
4300,0.8012,71.1440,98.4560,0.8931,68.3800,98.0000
4400,0.9001,68.3800,98.2480,0.9877,67.1400,97.5500
4500,0.7255,74.7540,98.2720,0.8159,72.2600,97.6700
4600,0.7718,72.4080,98.2500,0.8691,69.9400,97.7800
4700,0.6445,77.5900,98.6780,0.7409,74.6300,98.1400
4800,0.7723,72.6980,98.5340,0.8813,69.8700,98.0500
4900,0.6678,76.4820,98.9540,0.7796,72.5000,98.2200
5000,0.6461,77.3220,98.8780,0.7532,74.4800,98.1800
5100,0.6687,76.5460,98.8200,0.7827,73.1900,98.1600
5200,0.6404,77.4360,98.7580,0.7493,74.3000,98.2700
5300,0.6438,77.3140,98.8500,0.7528,74.3400,97.9900
5400,0.6106,78.8200,98.8780,0.7335,74.7300,98.1500
5500,0.6301,78.0120,98.8020,0.7547,74.2400,98.0800
5600,0.6223,78.3600,98.6720,0.7381,74.7100,98.0100
5700,0.6845,75.5460,98.9680,0.8102,71.9400,98.1500
5800,0.6673,75.9720,99.0300,0.7976,71.9500,98.1800
5900,0.5790,79.4600,99.0820,0.7027,75.8700,98.3500
6000,0.6114,78.2600,99.0160,0.7451,74.8600,98.3100
6100,0.5303,81.1340,99.1960,0.6712,76.6600,98.3500
6200,0.6059,78.8940,98.8880,0.7413,74.8600,98.0700
6300,0.5718,79.8660,99.2640,0.7187,75.8100,98.4000
6400,0.8326,71.6160,98.7840,0.9756,68.3600,97.8800
6500,0.5423,81.1160,99.2640,0.6939,76.5700,98.4800
6600,0.5991,78.4540,98.9400,0.7581,73.8200,98.0100
6700,0.5354,80.8120,99.3500,0.6933,76.0700,98.5100
6800,0.5201,81.5880,99.2740,0.6833,76.9900,98.4700
6900,0.5308,81.3900,99.3100,0.6926,76.6800,98.4000
