round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,0.4855,87.5833,99.1167,0.4672,88.3100,99.0800
200,0.4067,88.7167,99.2583,0.3903,89.4700,99.1500
300,0.3857,89.0733,99.3933,0.3740,89.7000,99.3100
400,0.3517,90.2833,99.4167,0.3424,90.5100,99.3300
500,0.3422,90.3167,99.4267,0.3287,91.0100,99.4000
600,0.3272,90.9050,99.4783,0.3211,90.9200,99.4000
700,0.3349,90.2350,99.4300,0.3272,90.7000,99.3500
800,0.3204,90.9617,99.4783,0.3112,91.4700,99.4000
900,0.3139,91.0500,99.4850,0.3073,91.3300,99.3900
1000,0.3167,90.9817,99.5000,0.3096,91.3200,99.5000
1100,0.3095,91.2283,99.5167,0.3077,91.2000,99.4900
1200,0.3091,90.9400,99.5083,0.3049,91.2700,99.4900
1300,0.2996,91.5750,99.5300,0.3003,91.2900,99.4300
1400,0.3029,91.4883,99.5300,0.3002,91.5800,99.5400
1500,0.3027,91.3283,99.5233,0.3032,91.5300,99.4900
1600,0.2914,91.8383,99.5500,0.2914,91.6600,99.5500
1700,0.2951,91.5483,99.5400,0.2962,91.5100,99.5200
1800,0.2948,91.5017,99.5267,0.2952,91.5200,99.5200
1900,0.2838,92.0800,99.5533,0.2858,91.9500,99.5200
2000,0.2960,91.5967,99.5783,0.2997,91.3900,99.5800
2100,0.3004,91.4533,99.5733,0.3044,91.3200,99.5600
2200,0.2894,91.7250,99.5783,0.2928,91.5300,99.5700
2300,0.2835,92.2000,99.5650,0.2878,91.8400,99.5500
2400,0.2818,92.0733,99.5983,0.2849,92.0300,99.6000
2500,0.2930,91.5800,99.5950,0.2992,91.3800,99.6000
2600,0.2780,92.2683,99.5983,0.2827,91.9700,99.6000
2700,0.2804,92.1550,99.5833,0.2859,91.5900,99.5700
2800,0.2790,92.2517,99.5800,0.2849,92.0500,99.5600
2900,0.2849,91.9867,99.5983,0.2941,91.3600,99.5600
3000,0.2786,92.0700,99.5933,0.2861,91.6700,99.6000
3100,0.2805,92.0917,99.6067,0.2884,91.7800,99.5600
3200,0.2787,92.1817,99.6100,0.2860,91.8100,99.5500
3300,0.2850,91.5967,99.5900,0.2904,91.5800,99.5600
3400,0.2879,91.7167,99.5950,0.2984,91.4400,99.6200
3500,0.2789,92.1233,99.6083,0.2864,91.8300,99.5900
3600,0.2883,91.4883,99.5933,0.2968,91.1900,99.5800
3700,0.2712,92.3550,99.5983,0.2806,92.0300,99.6000
3800,0.2731,92.3667,99.6133,0.2821,91.6700,99.5600
3900,0.2785,92.0000,99.6133,0.2869,91.7000,99.5800
4000,0.2738,92.4450,99.6067,0.2841,92.1800,99.5600
4100,0.2723,92.4000,99.6117,0.2807,91.9100,99.5700
4200,0.2667,92.6067,99.6183,0.2769,92.0800,99.5700
4300,0.2734,92.3833,99.6267,0.2832,91.8600,99.6000
4400,0.2785,92.1550,99.6017,0.2934,91.4900,99.5700
4500,0.2802,91.8033,99.5917,0.2928,91.3200,99.5200
4600,0.2747,92.2133,99.6050,0.2893,91.8900,99.5500
4700,0.2726,92.3700,99.6317,0.2818,91.8900,99.5700
4800,0.2858,91.4950,99.6050,0.3001,91.1400,99.5200
4900,0.2711,92.2700,99.6167,0.2824,91.8600,99.5900
5000,0.2718,92.2700,99.6400,0.2814,92.1000,99.6200
5100,0.2685,92.3883,99.6367,0.2797,92.0600,99.5600
5200,0.2653,92.6233,99.6300,0.2789,92.2000,99.6000
5300,0.2641,92.6567,99.6350,0.2777,92.1000,99.6000
5400,0.2649,92.5717,99.6433,0.2763,92.2200,99.5800
5500,0.2693,92.2583,99.6333,0.2831,91.6800,99.5800
5600,0.2656,92.5150,99.6267,0.2774,92.2900,99.5800
5700,0.2648,92.5483,99.6483,0.2772,92.0100,99.5800
5800,0.2652,92.4700,99.6600,0.2786,91.9000,99.5900
5900,0.2732,92.0133,99.6183,0.2869,91.5200,99.5300
6000,0.2632,92.6067,99.6383,0.2755,92.1400,99.6300
6100,0.2606,92.8067,99.6533,0.2741,92.2700,99.5700
6200,0.2685,92.5150,99.6583,0.2822,91.7500,99.5700
6300,0.2725,92.0617,99.6417,0.2856,91.6200,99.5900
6400,0.2648,92.5833,99.6283,0.2807,92.1500,99.5700
6500,0.2657,92.5683,99.6650,0.2807,91.8500,99.6000
6600,0.2595,92.7183,99.6583,0.2737,92.2000,99.5900
6700,0.2619,92.6017,99.6467,0.2762,92.0100,99.6000
