round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.0864,7.6540,25.4680,4.0931,7.3900,24.8100
200,3.7728,12.5980,36.7520,3.7901,12.6700,36.7400
300,3.5232,16.6320,42.5720,3.5525,16.4100,42.1900
400,3.3410,19.9580,48.0640,3.3952,19.0100,46.8200
500,3.1819,23.0300,52.2760,3.2524,21.7500,50.8500
600,3.0467,25.9680,55.7340,3.1375,24.1700,53.1700
700,2.9027,28.7420,59.2140,3.0100,26.5700,56.3100
800,2.8075,30.0260,60.8440,2.9475,27.2500,57.5000
900,2.7454,31.5920,62.8460,2.9028,28.8900,58.5500
1000,2.6066,34.6720,65.7480,2.7873,30.9500,60.8200
1100,2.5355,36.2980,67.4280,2.7403,31.9600,62.2000
1200,2.4435,37.3740,68.8880,2.6809,33.2600,62.9800
1300,2.3713,39.1900,70.7380,2.6345,33.9700,64.5100
1400,2.2796,40.8580,72.3140,2.5738,34.8600,65.8300
1500,2.2176,42.3700,73.7540,2.5446,35.8600,66.0700
1600,2.1669,43.4760,74.5440,2.5156,36.5500,67.2000
1700,2.1332,43.8180,75.3080,2.5212,36.6800,66.6500
1800,2.0612,45.8900,76.5480,2.4762,37.8100,67.6400
1900,1.9964,46.9560,78.0360,2.4484,38.4100,68.4000
2000,1.9437,48.0860,78.7540,2.4359,38.2800,68.4900
2100,1.9537,47.9040,78.6040,2.4404,38.2100,68.4300
2200,1.8834,49.4980,79.9600,2.4174,39.3200,69.0500
2300,1.8213,50.8540,81.0000,2.3934,39.7800,69.7500
2400,1.8421,50.2840,80.7640,2.4055,39.6700,69.6200
2500,1.7691,52.2360,81.9940,2.3612,40.8000,70.2100
2600,1.7360,52.8560,82.4780,2.3878,40.3400,70.5400
2700,1.7051,53.6840,83.2060,2.3462,40.6700,70.9200
2800,1.6746,54.2840,83.5480,2.3568,40.8200,70.6200
2900,1.6418,55.2180,83.9800,2.3478,41.3100,70.6500
3000,1.6177,55.4280,84.4260,2.3439,41.8000,70.7500
3100,1.6010,55.9920,84.8480,2.3436,41.5400,71.1800
3200,1.5460,57.1800,85.5220,2.3477,42.1200,71.6800
3300,1.5232,57.4780,85.9380,2.3435,42.2500,72.0100
3400,1.4975,58.5560,86.3300,2.3292,42.0500,71.6200
3500,1.4541,59.2060,87.0060,2.3334,43.0300,72.1100
3600,1.4780,58.7800,86.7920,2.3195,42.2100,72.2200
3700,1.4267,60.1260,87.3960,2.3271,43.2200,72.1500
3800,1.4177,60.1940,87.5880,2.3398,42.8800,71.8700
3900,1.3871,60.8940,88.0680,2.3389,43.1200,72.2400
4000,1.3900,60.9240,88.0180,2.3455,42.8600,71.7900
4100,1.3455,61.7520,88.5640,2.3331,43.7900,72.1400
4200,1.3519,61.6260,88.4740,2.3567,42.7900,72.5700
4300,1.3373,62.3720,88.7700,2.3572,43.4300,72.1300
4400,1.3079,62.8300,89.1260,2.3589,43.1900,72.0200
4500,1.2827,63.4980,89.4760,2.3614,43.4200,72.2900
4600,1.2784,63.7500,89.5880,2.3712,43.0000,72.5000
4700,1.2565,64.2280,89.8840,2.3716,43.5700,72.4100
4800,1.2349,64.7140,90.3100,2.3800,43.6700,72.4200
4900,1.2378,64.4560,90.1880,2.3983,43.3900,72.6200
5000,1.2182,65.2240,90.4320,2.3828,43.5200,72.4200
5100,1.2056,65.4000,90.6760,2.3715,43.7100,72.5700
5200,1.1742,66.2740,91.0380,2.3808,43.8100,73.0100
5300,1.1895,65.7420,90.8780,2.4125,43.9300,72.4200
5400,1.1633,66.4920,91.2280,2.3851,43.5100,72.2600
5500,1.1477,66.7280,91.5260,2.3958,43.8100,72.7800
5600,1.1236,67.3780,91.6900,2.4057,43.8300,72.5500
5700,1.1342,66.9220,91.6660,2.4239,43.4500,72.4900
5800,1.1634,66.2300,91.2240,2.4555,43.5400,72.2400
5900,1.1024,67.9360,91.9440,2.4096,44.0200,72.5900
6000,1.0927,68.1900,92.2080,2.4201,43.5700,72.5800
6100,1.0808,68.3240,92.1940,2.4147,44.4600,73.0300
6200,1.0868,68.2420,92.2680,2.4239,44.2800,73.0400
6300,1.0634,68.9700,92.3260,2.4303,44.2700,73.2700
6400,1.0552,69.1860,92.5940,2.4369,44.3200,73.0900
6500,1.0577,68.9640,92.6160,2.4609,43.7600,72.6500
6600,1.0275,69.8900,93.0220,2.4206,44.2800,73.6100
6700,1.0334,69.4980,93.0300,2.4493,44.3400,72.7200
6800,1.0267,69.4940,92.9620,2.4840,44.4300,72.5600
6900,0.9936,70.6100,93.2900,2.4694,44.7400,73.1500
7000,1.0199,70.1300,93.0020,2.5111,43.8600,72.7000
7100,0.9983,70.4880,93.4140,2.5062,44.2700,72.9900
7200,0.9820,70.8720,93.4960,2.5250,44.4000,73.1100
7300,0.9657,71.2060,93.6200,2.5081,44.3200,72.7000
7400,0.9571,71.7200,93.7900,2.4696,44.5800,73.2100
7500,0.9622,71.4340,93.8020,2.5139,44.7600,72.9700
7600,0.9592,71.6240,93.8560,2.4776,44.7300,73.1100
7700,0.9646,71.4400,93.6840,2.5153,44.5700,72.7400
7800,0.9365,72.2160,93.9600,2.4843,44.8100,73.0800
7900,0.9508,71.6600,93.8900,2.5303,44.0700,72.9600
8000,0.9162,72.7540,94.3820,2.5337,44.7300,72.9800
