round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,1.9117,31.2380,82.9980,1.9064,31.8500,82.8300
200,1.7576,33.8080,87.0600,1.7500,33.6100,87.2400
300,1.5842,43.3320,89.1860,1.5806,43.6600,89.1000
400,1.4771,46.1180,92.0300,1.4716,45.8200,91.8500
500,1.3491,50.1460,94.1900,1.3497,49.4700,94.4900
600,1.2485,55.4420,95.2380,1.2579,54.6500,95.0700
700,1.3238,52.6960,93.7780,1.3289,52.1600,93.5200
800,1.2095,56.6760,95.2480,1.2316,56.3200,95.0100
900,1.1273,60.1640,96.0300,1.1437,59.5900,95.8400
1000,1.0610,62.4480,96.8100,1.0868,61.1500,96.3700
1100,1.1428,57.5440,96.6000,1.1930,55.6800,95.8000
1200,1.0702,62.0480,96.9400,1.1087,61.4400,96.2200
1300,0.9576,65.6580,97.4220,1.0030,64.7400,96.9100
1400,0.9531,65.9420,97.4680,1.0160,64.2000,96.5400
1500,0.9282,66.9520,97.5300,0.9894,65.4700,96.5800
1600,0.9262,66.7460,97.8520,0.9874,65.1600,97.1600
1700,0.8588,69.6440,97.7680,0.9374,67.4200,96.9200
1800,0.8425,70.2140,98.0680,0.9051,68.3400,97.3700
1900,0.7663,72.8920,98.4240,0.8414,70.5200,97.7100
2000,0.7815,72.8220,98.2580,0.8667,70.1200,97.4900
2100,0.7513,73.4680,98.4100,0.8452,70.5200,97.5600
2200,0.7310,74.4860,98.5440,0.8236,71.3500,97.7000
2300,0.8096,71.4160,98.1500,0.9068,68.8200,97.1000
2400,0.7422,73.8040,98.5600,0.8531,70.0200,97.6500
2500,0.8585,69.1180,98.2460,0.9691,66.8200,97.2100
2600,0.7472,73.7700,98.4820,0.8640,70.0800,97.5900
2700,0.8306,70.4760,98.2700,0.9478,67.3100,97.1800
2800,0.7785,72.3760,98.4100,0.9077,68.8900,97.4300
2900,0.6599,76.2420,98.9680,0.7869,72.7700,98.2200
3000,0.7187,74.1740,98.9280,0.8505,70.3900,98.0800
3100,0.6333,77.0760,99.0580,0.7830,72.5900,98.1200
3200,0.5956,78.7540,99.1600,0.7473,74.3100,98.3100
3300,0.6059,78.3660,99.1340,0.7488,73.6700,98.2500
3400,0.5811,79.2400,99.1480,0.7341,75.0100,98.2800
3500,0.6018,78.7480,99.1020,0.7665,74.0200,97.9100
3600,0.5571,80.3380,99.1900,0.7168,75.4800,98.1700
3700,0.5852,79.1400,99.1920,0.7531,74.2800,97.9000
3800,0.5998,78.4520,99.1840,0.7799,73.3400,98.1400
3900,0.5293,81.1940,99.3560,0.7123,75.8700,98.2200
4000,0.5168,81.5980,99.3420,0.7079,75.7800,98.3400
4100,0.5514,80.3160,99.3920,0.7371,74.5200,98.4000
4200,0.5259,81.2840,99.3720,0.7195,75.7400,98.2900
4300,0.6131,77.9600,99.2500,0.8207,72.5400,98.1300
4400,0.5483,80.4320,99.2080,0.7585,74.1600,98.0700
4500,0.5356,80.5400,99.3880,0.7494,74.5900,98.1100
4600,0.5105,81.9720,99.3800,0.7226,75.3000,98.3500
4700,0.5023,81.7600,99.4040,0.7221,75.7800,98.2100
4800,0.5239,81.2440,99.3540,0.7524,74.8600,98.2600
4900,0.4936,82.2920,99.3960,0.7347,75.7300,98.1300
5000,0.4654,83.3520,99.4940,0.6871,77.0300,98.3000
5100,0.4862,82.7000,99.4400,0.7173,76.0500,98.1200
5200,0.4544,83.6280,99.5240,0.6932,76.8500,98.3900
5300,0.4638,83.4460,99.5340,0.7007,76.2600,98.4000
5400,0.5202,81.2440,99.5280,0.7664,74.5200,98.2500
5500,0.4903,82.2940,99.4960,0.7301,75.6000,98.2400
5600,0.4667,83.1260,99.5400,0.7111,76.3000,98.3500
5700,0.4191,84.9860,99.6400,0.6742,77.9900,98.2900
5800,0.4261,84.6520,99.5800,0.6868,77.4300,98.2500
5900,0.4350,84.0900,99.6900,0.6850,77.2700,98.4700
6000,0.4618,83.4240,99.6260,0.7324,76.5900,98.2300
6100,0.4358,84.4440,99.5940,0.7109,76.9300,98.1700
6200,0.4374,84.1500,99.6360,0.7124,76.1600,98.5200
6300,0.4869,82.2620,99.6020,0.7596,74.9800,98.4600
6400,0.4537,83.5300,99.6700,0.7237,76.4800,98.3800
6500,0.4024,85.6100,99.7480,0.6773,78.1400,98.4200
6600,0.4315,84.3160,99.6820,0.7284,76.4200,98.5000
6700,0.4141,85.1080,99.6920,0.7143,77.6200,98.4400
6800,0.3818,86.1500,99.7520,0.6715,78.0500,98.4000
6900,0.3908,85.9300,99.7460,0.6781,77.4300,98.5700
7000,0.3721,86.4420,99.7740,0.6704,78.4800,98.5700
7100,0.3858,85.9020,99.7940,0.6962,77.8700,98.4300
7200,0.4024,85.3360,99.6960,0.7086,77.4600,98.2600
