round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.3773,10.0333,65.0822,2.3807,10.0367,65.0456
200,2.9973,13.1600,65.7767,3.0075,13.1489,65.3522
300,2.1301,17.8222,76.5389,2.1344,17.6478,76.3033
400,2.0917,18.0300,79.8133,2.0959,18.1478,79.3778
500,2.1249,21.0867,81.0822,2.1314,20.8244,80.7889
600,2.0116,18.9133,83.1500,2.0184,18.6633,82.9411
700,1.9351,24.2933,87.0167,1.9398,24.2722,86.6756
800,1.9573,26.7556,83.5333,1.9625,26.6333,83.2922
900,1.8287,31.5267,87.9344,1.8370,31.3244,87.5811
1000,1.7700,33.1467,86.2867,1.7768,32.8922,86.0656
1100,1.7551,31.0778,90.1556,1.7650,30.9578,89.8611
1200,1.7167,36.4256,88.3700,1.7257,35.9911,88.0556
1300,1.6016,39.0789,90.8533,1.6090,38.9211,90.7089
1400,1.8439,32.3567,85.3700,1.8572,32.0922,85.1233
1500,1.7430,33.7844,89.2033,1.7521,33.4656,88.8578
1600,1.6442,37.1400,90.1444,1.6561,36.8911,89.6533
1700,1.7232,35.5722,86.7667,1.7339,35.2411,86.2856
1800,1.6407,39.2122,90.3189,1.6540,38.8822,90.1222
1900,1.5998,40.1300,90.0367,1.6120,39.8411,89.7233
2000,1.6746,35.9056,91.5867,1.6866,35.7256,91.3500
2100,1.5340,43.0278,90.3089,1.5491,42.6400,89.7611
2200,1.5905,42.1500,91.5556,1.6086,41.7722,91.0744
2300,1.4667,46.1444,93.1911,1.4842,45.4267,92.7178
2400,1.3962,47.6833,93.5978,1.4140,47.4011,93.2811
2500,1.6459,42.1422,88.8978,1.6658,41.6956,88.4311
2600,1.4352,47.3622,92.3833,1.4599,46.5156,91.8689
2700,1.3622,49.7478,93.8689,1.3839,48.9778,93.4500
2800,1.3866,47.2100,93.9411,1.4106,46.7200,93.4867
2900,1.4479,48.3856,91.0722,1.4744,47.8422,90.4844
3000,1.4607,47.7078,91.1300,1.4812,46.9711,90.6322
3100,1.3293,51.4044,94.1322,1.3579,50.1000,93.5356
3200,1.3753,48.2111,94.4811,1.4048,47.3944,93.9200
3300,1.4169,49.3200,92.6911,1.4476,48.3611,92.1878
3400,1.5714,42.6100,92.5533,1.6054,41.6722,91.8389
3500,1.5214,46.2311,93.2278,1.5549,45.1956,92.6311
3600,1.2628,53.5078,94.9567,1.2957,52.2711,94.3900
3700,1.2598,54.6256,94.8322,1.2987,53.2700,94.0878
3800,1.2723,52.2311,95.2967,1.3069,51.3444,94.5867
3900,1.2322,54.9900,94.8056,1.2712,53.8833,94.1522
4000,1.2640,53.3422,94.5478,1.3030,52.3922,93.8922
4100,1.2221,55.5289,95.3500,1.2607,54.2156,94.6778
4200,1.3952,48.1000,94.7556,1.4332,47.2056,94.2211
4300,1.2790,53.4644,94.6033,1.3237,52.0211,93.8367
4400,1.2522,54.5789,94.9167,1.2964,53.1389,94.3133
4500,1.5761,42.3944,93.4233,1.6243,41.6367,92.8711
4600,1.2038,56.2800,95.3922,1.2501,54.7700,94.7544
4700,1.2144,55.8744,95.3467,1.2616,54.3144,94.6533
4800,1.1223,59.0033,96.2222,1.1718,57.1300,95.5122
4900,1.2181,54.3944,95.7089,1.2734,52.8756,94.9789
5000,1.2262,54.2811,95.6733,1.2742,53.0256,94.8622
5100,1.2063,55.0611,95.2144,1.2572,53.4300,94.3889
5200,1.4251,47.1600,95.3244,1.4778,46.0178,94.4778
5300,1.2438,54.7156,94.8600,1.2945,53.5733,94.0556
5400,1.2567,53.7244,95.0100,1.3102,52.4011,94.1089
5500,1.1478,58.9256,95.2556,1.2069,56.9878,94.4278
5600,1.1427,57.6878,96.0267,1.1993,55.9011,95.2311
5700,1.1736,56.0222,95.8956,1.2331,54.2633,95.0856
5800,1.0707,60.4300,96.4678,1.1358,58.4011,95.6556
5900,1.1699,56.3633,96.0456,1.2365,54.5822,95.0878
6000,1.1651,57.1756,96.3489,1.2295,55.1733,95.3933
6100,1.1360,58.8400,95.8344,1.1975,57.0078,95.0100
6200,1.2067,55.6333,95.9044,1.2738,53.6322,94.9911
6300,1.0855,60.9444,96.1933,1.1483,58.7567,95.2667
6400,1.4919,50.7922,93.5789,1.5635,49.5900,92.6389
6500,1.1918,57.1944,95.7122,1.2657,55.0011,94.8167
6600,1.1998,56.9322,95.5389,1.2732,55.1433,94.5567
6700,1.1132,59.2289,96.3178,1.1834,57.1444,95.3933
6800,1.0854,59.7567,96.4367,1.1575,57.4389,95.5567
6900,1.2512,54.3356,95.4978,1.3263,52.3711,94.5244
7000,1.0896,60.3756,96.5733,1.1629,58.1856,95.5289
7100,1.1036,59.7922,96.1511,1.1840,57.4922,95.3200
7200,1.1255,57.8589,96.4100,1.2068,55.7233,95.2967
7300,1.0109,63.1978,97.0833,1.0902,60.7122,96.0989
7400,1.1094,59.2733,96.3400,1.1937,57.1344,95.2256
7500,1.0836,60.2911,96.4033,1.1701,57.7589,95.3267
7600,1.0754,60.5844,96.5022,1.1634,57.9356,95.4244
7700,1.0605,61.1767,96.9189,1.1522,58.7311,95.7322
7800,1.0599,60.5067,96.7422,1.1429,58.2933,95.7311
7900,0.9833,64.0878,97.0578,1.0739,61.3878,95.9444
8000,1.0398,62.0900,96.7700,1.1350,59.4822,95.6278
8100,1.0814,59.6844,96.3967,1.1739,56.9611,95.2956
8200,0.9940,63.9711,97.1300,1.0828,61.0411,96.0422
8300,1.0741,60.2956,96.6544,1.1709,57.5656,95.4556
8400,0.9998,63.8400,96.9222,1.0984,60.7578,95.7989
8500,1.2352,56.6289,96.6444,1.3473,53.9567,95.5622
8600,1.2468,56.5511,95.5433,1.3471,54.1911,94.4867
8700,0.9421,66.1067,97.1256,1.0425,62.8078,95.9344
8800,0.9209,67.0800,97.4233,1.0222,63.4122,96.1511
8900,0.9310,66.2789,97.3011,1.0363,62.9267,96.1044
9000,1.2470,56.4056,95.8533,1.3564,54.0522,94.6633
9100,0.9219,66.5822,97.4256,1.0323,63.0300,96.1856
9200,0.9298,65.9967,97.3467,1.0378,62.4256,96.0367
9300,0.9173,66.3811,97.6200,1.0259,62.9000,96.4022
9400,0.9189,66.8089,97.5444,1.0246,63.3244,96.2022
9500,0.9834,64.1500,97.0078,1.0994,60.7611,95.6411
9600,0.9296,66.6200,97.4167,1.0427,62.8478,96.0744
9700,0.9589,64.8533,97.3267,1.0724,61.6911,96.2456
9800,1.1671,58.2289,95.9100,1.2840,55.5933,94.6367
9900,0.9653,64.3800,97.4122,1.0847,60.6856,96.0900
10000,0.9453,65.3344,97.4156,1.0676,61.7289,96.1389
10100,0.9648,65.2333,97.0767,1.0902,61.3267,95.7956
10200,0.9599,65.2000,97.2056,1.0846,61.4244,95.8444
10300,0.9561,65.1789,97.3311,1.0802,61.5433,96.0133
10400,1.0169,62.8789,97.2178,1.1458,59.5667,95.7167
10500,0.9152,66.8489,97.4867,1.0383,62.9267,96.1322
10600,0.9642,65.1333,97.4644,1.0858,61.4422,96.1522
10700,0.9688,64.3256,97.4789,1.0920,60.8033,96.1244
10800,0.8807,68.0556,97.6500,1.0113,64.0800,96.3489
10900,1.0728,61.9244,96.3644,1.2076,58.5211,94.9400
11000,1.0584,61.5622,97.3244,1.1903,58.0067,95.8211
11100,0.9232,66.0644,97.6244,1.0572,62.1611,96.1156
11200,0.9629,65.0956,97.4844,1.0940,61.4467,96.1156
11300,1.0687,61.1833,97.0478,1.2123,57.3378,95.4300
11400,0.8490,69.3733,97.7344,0.9881,64.9367,96.3689
11500,0.9186,66.6678,97.6433,1.0557,62.7744,96.2122
11600,0.9966,63.6144,97.3644,1.1384,59.8011,95.9067
11700,0.8572,68.5856,97.8978,1.0018,64.2267,96.4689
11800,0.8446,69.8622,97.9433,0.9849,65.2111,96.4000
11900,0.9970,63.8833,97.1989,1.1504,59.8778,95.7233
12000,0.9677,65.1989,97.4778,1.1098,61.0233,95.8656
12100,0.8726,68.0589,97.8500,1.0163,63.6800,96.3022
12200,0.8455,68.9922,97.9544,0.9923,64.3500,96.3956
12300,0.8581,68.5822,97.9778,1.0073,64.0622,96.4800
12400,0.9530,64.5144,97.5333,1.0968,60.5956,96.0989
12500,0.8686,67.8300,98.0544,1.0198,63.2900,96.5678
12600,0.8476,69.0000,98.0611,0.9989,64.0944,96.5378
12700,0.9170,66.3200,97.8322,1.0733,62.0500,96.4333
12800,0.9508,65.1256,97.8067,1.1086,60.9911,96.3644
12900,0.8790,67.9167,97.8544,1.0410,63.0767,96.3000
13000,0.8652,67.9300,98.0911,1.0224,63.3344,96.5867
13100,0.8862,67.6311,97.9000,1.0508,62.9356,96.3867
13200,0.8612,68.3089,98.1378,1.0237,63.4667,96.5522
13300,0.9076,66.2456,98.0378,1.0733,61.9267,96.3911
13400,0.8414,69.3589,98.0056,1.0098,64.3911,96.3389
13500,0.8881,67.4867,97.6133,1.0498,62.6456,96.0622
13600,0.9990,63.8856,97.7367,1.1736,59.4533,96.0944
13700,0.7820,71.9222,98.3522,0.9508,66.2633,96.6489
13800,0.8981,66.3400,97.9467,1.0714,61.5633,96.3400
13900,0.8153,69.9278,98.2933,0.9888,64.7389,96.6611
14000,0.8784,67.8456,97.7967,1.0563,63.0578,96.0233
14100,0.8306,69.4089,98.0600,1.0026,64.3278,96.4800
14200,0.8025,70.4256,98.2511,0.9760,65.2333,96.5911
14300,0.9055,67.5889,97.5556,1.0907,62.6189,95.9633
14400,0.7817,71.3500,98.3678,0.9592,65.8967,96.6678
14500,0.8514,69.1589,98.1000,1.0340,64.1467,96.4689
14600,1.1708,59.6522,97.6822,1.3555,55.7944,95.9644
14700,0.8874,67.6100,97.9433,1.0674,62.6333,96.2378
14800,0.8655,68.4356,97.8244,1.0600,63.0800,95.9311
14900,0.9520,65.8544,97.8744,1.1479,60.9922,96.2011
15000,0.7894,71.1433,98.3700,0.9741,65.3667,96.6600
15100,0.8617,67.6967,98.1800,1.0533,62.5767,96.4767
15200,1.2140,59.3367,96.8011,1.4080,55.0878,94.9822
15300,0.8451,69.3278,98.1478,1.0361,63.7989,96.4367
15400,0.8418,69.2422,98.2189,1.0396,63.6444,96.5156
15500,0.8241,70.6256,97.7833,1.0078,64.9244,95.9067
15600,0.7566,72.4811,98.4322,0.9504,66.2878,96.6744
15700,0.7903,70.9467,98.2422,0.9889,65.0744,96.5233
15800,0.9808,64.7111,97.7278,1.1873,59.7322,95.8067
15900,0.7935,70.7233,98.2956,0.9904,64.7511,96.5011
16000,0.8501,69.3344,97.9789,1.0561,63.5756,96.2722
16100,1.0858,62.1333,98.0911,1.2906,57.7567,96.2911
16200,0.8536,69.6100,97.7856,1.0526,64.0556,95.9578
16300,0.9648,65.9411,97.8322,1.1802,60.7400,96.0633
16400,0.8421,68.5011,98.3833,1.0499,63.0389,96.6267
16500,0.9004,65.6344,98.3811,1.1066,60.4367,96.5978
16600,0.7696,71.8822,98.5289,0.9789,65.4633,96.6811
16700,0.7948,70.7622,98.2078,1.0020,64.7144,96.3244
16800,0.7572,72.5478,98.5022,0.9616,66.2022,96.7000
16900,0.7396,72.9089,98.6000,0.9514,66.1578,96.7656
17000,0.7682,72.0189,98.4589,0.9856,65.2689,96.5656
17100,0.7463,72.9089,98.4411,0.9586,66.3533,96.5400
17200,0.7798,71.0900,98.3722,1.0034,65.0356,96.5000
17300,0.8104,70.2700,98.4522,1.0334,64.1733,96.6256
17400,0.7155,73.8267,98.7067,0.9315,67.2267,96.8700
17500,0.8078,70.1022,98.3856,1.0302,64.0956,96.3989
17600,0.7744,71.6689,98.5233,0.9960,65.1978,96.7411
17700,0.7881,70.5922,98.3889,1.0057,64.0722,96.5978
17800,0.7902,71.0444,98.4611,1.0198,64.9378,96.4967
17900,0.9508,66.2833,98.2311,1.1717,60.8767,96.1878
18000,0.7276,73.3133,98.6544,0.9520,66.4211,96.7033
18100,0.7816,71.2978,98.4000,1.0089,64.5456,96.4744
18200,0.7327,73.1311,98.5689,0.9530,66.2800,96.6667
18300,0.7547,72.5944,98.5256,0.9815,65.8422,96.6056
18400,0.7691,72.0144,98.4989,0.9948,65.2856,96.5756
18500,0.7982,70.7700,98.5189,1.0321,64.6633,96.5489
18600,0.7583,71.8844,98.4933,0.9861,65.3278,96.5600
18700,0.7584,71.9989,98.4833,0.9752,65.3678,96.6789
18800,0.8541,68.8244,98.0622,1.0787,62.7778,96.0378
18900,0.7639,72.2478,98.4589,0.9916,65.3144,96.5011
19000,0.7505,72.5011,98.6256,0.9947,65.7589,96.6511
19100,0.7867,71.0878,98.5778,1.0263,64.4900,96.6189
19200,0.8340,69.4622,98.3511,1.0662,63.1056,96.3856
19300,0.7822,71.0678,98.4500,1.0234,64.6244,96.4778
19400,0.7439,72.5344,98.5389,0.9811,65.6100,96.5889
19500,0.6902,74.7144,98.8144,0.9336,67.1756,96.8300
19600,0.8747,68.4600,97.9811,1.1176,62.4633,95.7722
19700,0.7225,73.2244,98.7256,0.9571,65.9800,96.8278
19800,0.8664,68.5944,98.2744,1.1299,62.4289,96.2944
19900,0.7534,71.7389,98.7156,1.0022,65.0922,96.8422
20000,0.7284,72.8856,98.7411,0.9798,65.9467,96.8144
