round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.0364,25.8511,76.8478,2.0418,25.6389,76.3911
200,1.8903,30.0311,83.1889,1.8974,29.8844,82.7956
300,1.7786,34.1411,86.8289,1.7876,33.8333,86.4478
400,1.7037,36.4222,88.6589,1.7136,36.2444,88.3644
500,1.6588,38.3600,89.5033,1.6693,38.2067,89.2422
600,1.6267,39.0667,90.1411,1.6375,38.8356,89.7200
700,1.5794,41.7056,91.0300,1.5907,41.3133,90.6533
800,1.5442,43.0778,91.7322,1.5553,42.6633,91.3878
900,1.5107,44.2822,92.1433,1.5235,43.6978,91.7878
1000,1.4775,45.9478,92.6389,1.4902,45.5022,92.2667
1100,1.4435,47.1056,92.9367,1.4568,46.7600,92.5556
1200,1.4280,47.7489,93.0367,1.4418,47.2844,92.7800
1300,1.3981,49.4189,93.4222,1.4120,48.7567,93.1344
1400,1.3765,49.8600,93.5800,1.3913,49.3289,93.2878
1500,1.3563,50.3900,93.8022,1.3722,49.8778,93.5044
1600,1.3408,51.6222,94.0378,1.3572,50.9000,93.7022
1700,1.3162,52.2856,94.1756,1.3332,51.5067,93.9322
1800,1.3044,52.8311,94.3189,1.3219,52.1567,93.9433
1900,1.2842,53.6067,94.5556,1.3024,52.9200,94.2367
2000,1.2735,54.1578,94.6844,1.2925,53.3822,94.3733
2100,1.2603,54.1422,94.7600,1.2799,53.4422,94.4600
2200,1.2463,54.9278,94.9044,1.2672,54.1933,94.6278
2300,1.2324,55.4556,94.9811,1.2533,54.7300,94.6822
2400,1.2163,55.9589,95.1033,1.2387,55.2467,94.7811
2500,1.2021,56.9022,95.1700,1.2257,55.9122,94.8600
2600,1.1941,57.2556,95.3544,1.2179,56.3867,94.9733
2700,1.1815,57.6967,95.3289,1.2067,56.6033,95.0411
2800,1.1668,58.2811,95.5189,1.1928,57.1044,95.1422
2900,1.1606,58.5222,95.5989,1.1885,57.3489,95.2167
3000,1.1486,58.7322,95.7022,1.1772,57.6244,95.2944
3100,1.1507,58.9600,95.7011,1.1793,57.6722,95.2567
3200,1.1385,59.4633,95.8022,1.1694,58.1578,95.3467
3300,1.1215,59.8922,95.9000,1.1542,58.5967,95.4278
3400,1.1172,60.1500,95.9911,1.1509,58.7589,95.4611
3500,1.1089,60.4533,96.1144,1.1442,58.9411,95.5733
3600,1.0927,61.2578,96.1989,1.1294,59.5956,95.6556
