round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.5991,10.0000,50.0000,2.5991,10.0000,50.0000
200,2.5420,10.0000,50.0000,2.5420,10.0000,50.0000
300,2.5696,10.0000,50.0000,2.5696,10.0000,50.0000
400,2.6035,10.0000,50.0000,2.6035,10.0000,50.0000
500,2.4284,10.0000,50.0000,2.4284,10.0000,50.0000
600,2.4431,10.0000,50.0000,2.4431,10.0000,50.0000
700,2.7008,10.0000,50.0000,2.7008,10.0000,50.0000
800,2.4432,10.0000,50.0000,2.4432,10.0000,50.0000
900,2.6720,10.0000,50.0000,2.6720,10.0000,50.0000
1000,2.5120,10.0000,50.0000,2.5120,10.0000,50.0000
1100,2.5237,10.0000,50.0000,2.5237,10.0000,50.0000
1200,2.5922,10.0000,50.0000,2.5922,10.0000,50.0000
1300,2.6166,10.0000,50.0000,2.6166,10.0000,50.0000
1400,2.5641,10.0000,50.0000,2.5641,10.0000,50.0000
1500,2.7371,10.0000,50.0000,2.7371,10.0000,50.0000
1600,2.9210,10.0000,50.0000,2.9210,10.0000,50.0000
1700,2.7682,10.0000,50.0000,2.7682,10.0000,50.0000
1800,2.4784,10.0000,50.0000,2.4784,10.0000,50.0000
1900,2.5022,10.0000,50.0000,2.5022,10.0000,50.0000
2000,2.3417,10.0000,50.0000,2.3417,10.0000,50.0000
2100,2.4537,10.0000,50.0000,2.4537,10.0000,50.0000
2200,2.5732,10.0000,50.0000,2.5732,10.0000,50.0000
2300,2.4826,10.0000,50.0000,2.4826,10.0000,50.0000
2400,2.6404,10.0000,50.0000,2.6404,10.0000,50.0000
2500,2.4833,10.0000,50.0000,2.4833,10.0000,50.0000
2600,2.4373,10.0000,50.0000,2.4373,10.0000,50.0000
2700,2.6470,10.0000,50.0000,2.6470,10.0000,50.0000
2800,2.7622,10.0000,50.0000,2.7622,10.0000,50.0000
2900,2.5569,10.0000,50.0000,2.5569,10.0000,50.0000
3000,2.4564,10.0000,50.0000,2.4564,10.0000,50.0000
3100,2.5213,10.0000,50.0000,2.5213,10.0000,50.0000
3200,2.4938,10.0000,50.0000,2.4938,10.0000,50.0000
3300,2.6173,10.0000,50.0000,2.6173,10.0000,50.0000
3400,2.5506,10.0000,50.0000,2.5506,10.0000,50.0000
3500,2.8615,10.0000,50.0000,2.8615,10.0000,50.0000
3600,2.5458,10.0000,50.0000,2.5458,10.0000,50.0000
3700,2.6077,10.0000,50.0000,2.6077,10.0000,50.0000
3800,2.4504,10.0000,50.0000,2.4504,10.0000,50.0000
3900,2.6924,10.0000,50.0000,2.6924,10.0000,50.0000
4000,2.6956,10.0000,50.0000,2.6956,10.0000,50.0000
4100,2.4663,10.0000,50.0000,2.4663,10.0000,50.0000
4200,2.4674,10.0000,50.0000,2.4674,10.0000,50.0000
4300,2.5346,10.0000,50.0000,2.5346,10.0000,50.0000
4400,2.4764,10.0000,50.0000,2.4764,10.0000,50.0000
4500,2.6458,10.0000,50.0000,2.6458,10.0000,50.0000
4600,2.5731,10.0000,50.0000,2.5731,10.0000,50.0000
4700,2.5612,10.0000,50.0000,2.5612,10.0000,50.0000
4800,2.7966,10.0000,50.0000,2.7966,10.0000,50.0000
4900,2.8512,10.0000,50.0000,2.8512,10.0000,50.0000
5000,2.6573,10.0000,50.0000,2.6573,10.0000,50.0000
5100,2.4065,10.0000,50.0000,2.4065,10.0000,50.0000
5200,2.5952,10.0000,50.0000,2.5952,10.0000,50.0000
5300,2.7208,10.0000,50.0000,2.7208,10.0000,50.0000
5400,2.5130,10.0000,50.0000,2.5130,10.0000,50.0000
5500,2.5304,10.0000,50.0000,2.5304,10.0000,50.0000
5600,2.5329,10.0000,50.0000,2.5329,10.0000,50.0000
5700,2.7646,10.0000,50.0000,2.7646,10.0000,50.0000
5800,2.4638,10.0000,50.0000,2.4638,10.0000,50.0000
5900,2.6756,10.0000,50.0000,2.6756,10.0000,50.0000
6000,2.5204,10.0000,50.0000,2.5204,10.0000,50.0000
6100,2.4739,10.0000,50.0000,2.4739,10.0000,50.0000
6200,2.4963,10.0000,50.0000,2.4963,10.0000,50.0000
6300,2.5998,10.0000,50.0000,2.5998,10.0000,50.0000
6400,2.3870,10.0000,50.0000,2.3870,10.0000,50.0000
6500,3.0176,10.0000,50.0000,3.0176,10.0000,50.0000
6600,2.5715,10.0000,50.0000,2.5715,10.0000,50.0000
6700,2.4345,10.0000,50.0000,2.4345,10.0000,50.0000
6800,2.4721,10.0000,50.0000,2.4721,10.0000,50.0000
6900,2.6280,10.0000,50.0000,2.6280,10.0000,50.0000
7000,2.3881,10.0000,50.0000,2.3881,10.0000,50.0000
7100,2.7212,10.0000,50.0000,2.7212,10.0000,50.0000
7200,2.5405,10.0000,50.0000,2.5405,10.0000,50.0000
7300,2.4576,10.0000,50.0000,2.4576,10.0000,50.0000
7400,2.5055,10.0000,50.0000,2.5055,10.0000,50.0000
7500,2.9097,10.0000,50.0000,2.9097,10.0000,50.0000
7600,2.7074,10.0000,50.0000,2.7074,10.0000,50.0000
7700,2.5539,10.0000,50.0000,2.5539,10.0000,50.0000
7800,2.5929,10.0000,50.0000,2.5929,10.0000,50.0000
7900,2.6058,10.0000,50.0000,2.6058,10.0000,50.0000
8000,2.6650,10.0000,50.0000,2.6650,10.0000,50.0000
8100,2.5429,10.0000,50.0000,2.5429,10.0000,50.0000
8200,2.8291,10.0000,50.0000,2.8291,10.0000,50.0000
8300,2.4783,10.0000,50.0000,2.4783,10.0000,50.0000
8400,2.4417,10.0000,50.0000,2.4417,10.0000,50.0000
8500,2.6531,10.0000,50.0000,2.6531,10.0000,50.0000
8600,2.4006,10.0000,50.0000,2.4006,10.0000,50.0000
8700,2.6919,10.0000,50.0000,2.6919,10.0000,50.0000
8800,2.5239,10.0000,50.0000,2.5239,10.0000,50.0000
8900,2.5107,10.0000,50.0000,2.5107,10.0000,50.0000
9000,2.4819,10.0000,50.0000,2.4819,10.0000,50.0000
9100,2.4519,10.0000,50.0000,2.4519,10.0000,50.0000
9200,2.4160,10.0000,50.0000,2.4160,10.0000,50.0000
9300,2.8481,10.0000,50.0000,2.8481,10.0000,50.0000
9400,2.8110,10.0000,50.0000,2.8110,10.0000,50.0000
9500,2.4697,10.0000,50.0000,2.4697,10.0000,50.0000
9600,2.5802,10.0000,50.0000,2.5802,10.0000,50.0000
9700,2.4189,10.0000,50.0000,2.4189,10.0000,50.0000
9800,2.5472,10.0000,50.0000,2.5472,10.0000,50.0000
9900,2.5286,10.0000,50.0000,2.5286,10.0000,50.0000
10000,2.4280,10.0000,50.0000,2.4280,10.0000,50.0000
10100,2.4304,10.0000,50.0000,2.4304,10.0000,50.0000
10200,2.6491,10.0000,50.0000,2.6491,10.0000,50.0000
10300,2.4639,10.0000,50.0000,2.4639,10.0000,50.0000
10400,2.6864,10.0000,50.0000,2.6864,10.0000,50.0000
10500,2.6390,10.0000,50.0000,2.6390,10.0000,50.0000
10600,2.5066,10.0000,50.0000,2.5066,10.0000,50.0000
10700,2.4117,10.0000,50.0000,2.4117,10.0000,50.0000
10800,2.6528,10.0000,50.0000,2.6528,10.0000,50.0000
10900,2.3992,10.0000,50.0000,2.3992,10.0000,50.0000
11000,2.4211,10.0000,50.0000,2.4211,10.0000,50.0000
11100,2.4546,10.0000,50.0000,2.4546,10.0000,50.0000
11200,2.5143,10.0000,50.0000,2.5143,10.0000,50.0000
11300,2.4284,10.0000,50.0000,2.4284,10.0000,50.0000
11400,2.6926,10.0000,50.0000,2.6926,10.0000,50.0000
11500,2.4931,10.0000,50.0000,2.4931,10.0000,50.0000
11600,2.7007,10.0000,50.0000,2.7007,10.0000,50.0000
11700,2.5786,10.0000,50.0000,2.5786,10.0000,50.0000
11800,2.4888,10.0000,50.0000,2.4888,10.0000,50.0000
11900,2.6140,10.0000,50.0000,2.6140,10.0000,50.0000
12000,2.5837,10.0000,50.0000,2.5837,10.0000,50.0000
12100,2.4223,10.0000,50.0000,2.4223,10.0000,50.0000
12200,2.4259,10.0000,50.0000,2.4259,10.0000,50.0000
12300,2.6369,10.0000,50.0000,2.6369,10.0000,50.0000
12400,2.6113,10.0000,50.0000,2.6113,10.0000,50.0000
12500,2.5173,10.0000,50.0000,2.5173,10.0000,50.0000
12600,2.6018,10.0000,50.0000,2.6018,10.0000,50.0000
12700,2.7215,10.0000,50.0000,2.7215,10.0000,50.0000
12800,2.5664,10.0000,50.0000,2.5664,10.0000,50.0000
12900,2.5889,10.0000,50.0000,2.5889,10.0000,50.0000
13000,2.4025,10.0000,50.0000,2.4025,10.0000,50.0000
13100,2.4116,10.0000,50.0000,2.4116,10.0000,50.0000
13200,2.4606,10.0000,50.0000,2.4606,10.0000,50.0000
13300,2.6541,10.0000,50.0000,2.6541,10.0000,50.0000
13400,2.8119,10.0000,50.0000,2.8119,10.0000,50.0000
13500,2.7347,10.0000,50.0000,2.7347,10.0000,50.0000
13600,2.9488,10.0000,50.0000,2.9488,10.0000,50.0000
13700,2.8128,10.0000,50.0000,2.8128,10.0000,50.0000
13800,2.6832,10.0000,50.0000,2.6832,10.0000,50.0000
13900,3.1524,10.0000,50.0000,3.1524,10.0000,50.0000
14000,2.9890,10.0000,50.0000,2.9890,10.0000,50.0000
14100,2.8489,10.0000,50.0000,2.8489,10.0000,50.0000
14200,2.5969,10.0000,50.0000,2.5969,10.0000,50.0000
14300,2.6084,10.0000,50.0000,2.6084,10.0000,50.0000
14400,2.5157,10.0000,50.0000,2.5157,10.0000,50.0000
14500,2.5477,10.0000,50.0000,2.5477,10.0000,50.0000
14600,2.4026,10.0000,50.0000,2.4026,10.0000,50.0000
14700,2.7252,10.0000,50.0000,2.7252,10.0000,50.0000
14800,2.4901,10.0000,50.0000,2.4901,10.0000,50.0000
14900,2.5714,10.0000,50.0000,2.5714,10.0000,50.0000
15000,2.3920,10.0000,50.0000,2.3920,10.0000,50.0000
15100,2.5804,10.0000,50.0000,2.5804,10.0000,50.0000
15200,2.5070,10.0000,50.0000,2.5070,10.0000,50.0000
15300,2.3798,10.0000,50.0000,2.3798,10.0000,50.0000
15400,2.4619,10.0000,50.0000,2.4619,10.0000,50.0000
15500,2.6073,10.0000,50.0000,2.6073,10.0000,50.0000
15600,2.9027,10.0000,50.0000,2.9027,10.0000,50.0000
15700,2.6999,10.0000,50.0000,2.6999,10.0000,50.0000
15800,2.5997,10.0000,50.0000,2.5997,10.0000,50.0000
15900,2.4923,10.0000,50.0000,2.4923,10.0000,50.0000
16000,2.6027,10.0000,50.0000,2.6027,10.0000,50.0000
16100,2.6812,10.0000,50.0000,2.6812,10.0000,50.0000
16200,2.6189,10.0000,50.0000,2.6189,10.0000,50.0000
16300,2.5705,10.0000,50.0000,2.5705,10.0000,50.0000
16400,2.4951,10.0000,50.0000,2.4951,10.0000,50.0000
16500,2.5509,10.0000,50.0000,2.5509,10.0000,50.0000
16600,2.4108,10.0000,50.0000,2.4108,10.0000,50.0000
16700,2.7332,10.0000,50.0000,2.7332,10.0000,50.0000
16800,2.5337,10.0000,50.0000,2.5337,10.0000,50.0000
16900,2.5451,10.0000,50.0000,2.5451,10.0000,50.0000
17000,2.3834,10.0000,50.0000,2.3834,10.0000,50.0000
17100,2.4825,10.0000,50.0000,2.4825,10.0000,50.0000
17200,2.4614,10.0000,50.0000,2.4614,10.0000,50.0000
17300,2.5543,10.0000,50.0000,2.5543,10.0000,50.0000
17400,2.4182,10.0000,50.0000,2.4182,10.0000,50.0000
17500,2.6517,10.0000,50.0000,2.6517,10.0000,50.0000
17600,2.9758,10.0000,50.0000,2.9758,10.0000,50.0000
17700,2.9456,10.0000,50.0000,2.9456,10.0000,50.0000
17800,2.3859,10.0000,50.0000,2.3859,10.0000,50.0000
17900,2.5484,10.0000,50.0000,2.5484,10.0000,50.0000
18000,2.4822,10.0000,50.0000,2.4822,10.0000,50.0000
18100,2.6350,10.0000,50.0000,2.6350,10.0000,50.0000
18200,2.5551,10.0000,50.0000,2.5551,10.0000,50.0000
18300,2.9054,10.0000,50.0000,2.9054,10.0000,50.0000
18400,2.5754,10.0000,50.0000,2.5754,10.0000,50.0000
18500,2.4585,10.0000,50.0000,2.4585,10.0000,50.0000
18600,2.4600,10.0000,50.0000,2.4600,10.0000,50.0000
18700,2.5657,10.0000,50.0000,2.5657,10.0000,50.0000
18800,2.5286,10.0000,50.0000,2.5286,10.0000,50.0000
18900,2.7086,10.0000,50.0000,2.7086,10.0000,50.0000
19000,2.4262,10.0000,50.0000,2.4262,10.0000,50.0000
19100,2.5161,10.0000,50.0000,2.5161,10.0000,50.0000
19200,2.7017,10.0000,50.0000,2.7017,10.0000,50.0000
19300,2.8061,10.0000,50.0000,2.8061,10.0000,50.0000
19400,2.6662,10.0000,50.0000,2.6662,10.0000,50.0000
19500,2.3919,10.0000,50.0000,2.3919,10.0000,50.0000
19600,2.9319,10.0000,50.0000,2.9319,10.0000,50.0000
19700,2.5540,10.0000,50.0000,2.5540,10.0000,50.0000
19800,2.5279,10.0000,50.0000,2.5279,10.0000,50.0000
19900,2.5953,10.0000,50.0000,2.5953,10.0000,50.0000
20000,2.5255,10.0000,50.0000,2.5255,10.0000,50.0000
