round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.8165,1.0160,5.0000,4.8190,1.0100,5.0000
200,4.7396,1.0000,5.3720,4.7394,1.0000,5.3700
300,4.7487,1.0000,5.1560,4.7485,1.0000,5.1700
400,4.7508,1.0000,5.0120,4.7504,1.0000,5.0100
500,4.6880,1.5200,6.0840,4.6895,1.4900,6.0300
600,4.5297,2.2100,10.0400,4.5298,2.3000,10.0600
700,4.5536,1.7740,10.8780,4.5611,1.8500,10.7300
800,4.5041,2.9460,12.0280,4.5135,2.9600,12.0900
900,4.3714,2.6120,13.0340,4.3762,2.6600,13.0400
1000,4.4034,3.8460,13.8980,4.4126,3.7700,14.0200
1100,4.2819,3.7020,16.4240,4.2860,3.7600,16.7800
1200,4.3396,2.5280,16.5160,4.3564,2.4000,16.4600
1300,4.3012,4.0160,17.3500,4.3134,3.8000,17.1200
1400,4.0894,6.0720,22.6040,4.0968,5.9600,22.5900
1500,4.1051,5.9340,22.4780,4.1131,5.7300,21.9900
1600,4.1433,4.6980,22.3640,4.1513,4.6100,22.3500
1700,4.0783,6.5080,23.6240,4.0883,6.5700,23.3400
1800,4.0077,6.7740,25.2160,4.0177,6.3900,24.5100
1900,4.0212,5.9200,26.2540,4.0349,5.5600,25.8400
2000,4.0158,7.9800,25.6480,4.0271,7.9300,24.6700
2100,3.9306,8.0100,28.9520,3.9408,8.0400,28.7400
2200,4.1636,5.0440,23.9080,4.1879,4.7500,23.4300
2300,3.9655,7.5300,27.9440,3.9843,7.3600,27.2200
2400,3.8255,9.3780,32.8420,3.8399,9.3400,32.1000
2500,3.7878,10.7100,33.5400,3.8050,10.2600,32.6700
2600,4.0035,7.1340,29.0840,4.0164,6.5400,28.9900
2700,3.7974,10.2120,34.8780,3.8132,10.4100,34.6000
2800,3.7252,12.2500,35.1620,3.7463,11.7000,34.7900
2900,3.7190,11.1720,35.8680,3.7394,10.9400,35.3600
3000,3.7136,11.9160,35.6100,3.7381,11.8000,35.1600
3100,3.6360,13.1880,37.9860,3.6601,12.7200,36.7900
3200,3.8201,10.5640,33.3640,3.8472,9.9600,32.6400
3300,3.6051,14.2820,38.6860,3.6345,13.6500,38.0900
3400,3.6909,11.7720,36.9720,3.7200,11.6900,36.1100
3500,3.5841,14.0360,40.0960,3.6097,13.9500,39.2600
3600,4.0533,7.7180,31.1160,4.0969,7.8900,30.4100
3700,3.6662,13.0780,38.0100,3.7047,13.0900,37.1800
3800,3.4059,17.6920,45.0940,3.4482,17.5600,44.2300
3900,3.5047,15.8420,42.3500,3.5462,15.0400,41.3500
4000,3.4655,15.0820,44.3180,3.5120,15.1700,43.0000
4100,3.5221,14.9680,42.9720,3.5777,14.1700,41.3700
4200,3.4448,16.6600,44.0120,3.4942,15.7900,42.6000
4300,3.3967,17.5100,45.9700,3.4546,17.0300,44.9700
4400,3.2980,19.8880,48.3680,3.3517,19.2900,46.9100
4500,3.3093,19.1100,47.3940,3.3682,18.2300,46.0700
4600,3.2652,20.0960,48.3640,3.3298,19.8300,46.7600
4700,3.4826,16.8420,45.4180,3.5386,16.4300,44.3200
4800,3.1815,21.7380,50.8720,3.2458,20.9200,49.4100
4900,3.2329,21.1520,49.9880,3.3019,19.7600,47.9400
5000,3.2402,20.7740,49.3260,3.3064,20.2300,47.8400
5100,3.1489,22.5040,51.8540,3.2177,21.9600,50.0000
5200,3.1644,21.6040,51.7720,3.2390,20.6800,49.6400
5300,3.1514,22.4140,51.2680,3.2272,21.8900,49.4400
5400,3.1862,21.7040,51.4040,3.2704,20.8100,49.0400
5500,3.0445,24.7800,55.0400,3.1186,23.9900,53.2100
5600,3.0525,24.5220,54.7220,3.1279,23.8500,52.8600
5700,3.0832,23.8480,54.0480,3.1727,22.7900,51.3400
5800,3.0229,25.0600,54.9100,3.1077,24.2700,53.0800
5900,3.2094,21.9340,52.0840,3.3245,20.2500,49.9000
6000,2.9281,27.0680,57.6600,3.0155,26.4500,55.3200
6100,3.0699,24.6320,54.0740,3.1714,23.7500,52.1000
6200,2.9097,26.7160,58.1300,3.0051,25.2400,56.4500
6300,2.9779,26.0620,57.1540,3.0689,25.1200,55.1600
6400,2.8990,27.6360,58.8840,2.9989,26.5700,56.3800
6500,2.8093,29.5860,60.7880,2.9187,27.8700,57.8300
6600,2.8403,27.9840,60.6160,2.9421,26.8400,57.8400
6700,2.8334,29.2140,60.4080,2.9351,27.8000,58.2200
6800,2.8250,29.4840,60.6340,2.9381,27.2800,58.1400
6900,2.8337,28.1780,59.8540,2.9434,27.2600,57.4400
7000,2.8052,29.3080,60.3560,2.9260,27.6600,57.9000
7100,2.8751,28.4060,59.7860,3.0151,26.2800,56.9600
7200,2.6876,32.5380,63.8080,2.7949,30.7700,61.2300
7300,2.7218,30.4500,62.9680,2.8435,28.1200,60.1600
7400,2.7955,28.7020,61.2840,2.9385,26.9900,58.5300
7500,2.7063,31.5000,62.5180,2.8361,30.4200,59.5600
7600,2.7893,29.5020,61.3260,2.9124,27.8100,58.9200
7700,2.8670,28.0420,60.1100,3.0105,25.9200,57.0800
