round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.6059,0.8600,5.7420,4.6059,0.8200,5.6300
200,4.6057,0.8800,5.8480,4.6057,0.8300,5.7700
300,4.6055,0.9140,5.9080,4.6055,0.8400,5.7500
400,4.6053,0.9300,5.9460,4.6053,0.9000,5.8500
500,4.6051,1.0020,5.8880,4.6051,1.0000,5.8400
600,4.6049,1.2540,5.9160,4.6049,1.2800,5.9100
700,4.6047,1.6060,5.8740,4.6047,1.6500,5.9200
800,4.6044,1.8380,5.8620,4.6045,1.9600,5.8800
900,4.6042,1.9880,5.8520,4.6042,2.0000,5.8100
1000,4.6039,2.0560,5.8460,4.6040,2.0400,5.7800
1100,4.6036,2.1100,5.7920,4.6037,2.1100,5.7100
1200,4.6033,2.0940,5.7780,4.6034,2.1700,5.6800
1300,4.6030,2.1500,5.7280,4.6031,2.1900,5.8000
1400,4.6026,2.1560,5.7640,4.6027,2.2100,5.8300
1500,4.6022,2.1360,5.8820,4.6023,2.1800,5.9200
1600,4.6017,2.1600,6.0660,4.6018,2.1600,6.0900
1700,4.6012,2.1480,6.3100,4.6013,2.1800,6.3600
1800,4.6005,2.1620,6.6880,4.6007,2.2000,6.7700
1900,4.5998,2.1600,7.0060,4.5999,2.1800,7.0700
2000,4.5988,2.1280,7.3020,4.5990,2.1500,7.3300
2100,4.5976,2.1220,7.4440,4.5978,2.1500,7.4500
2200,4.5960,2.0720,7.2700,4.5962,2.1000,7.2900
2300,4.5935,2.1040,6.8360,4.5938,2.1600,6.9500
2400,4.5936,2.1780,7.0040,4.5943,2.3500,6.8900
2500,4.6274,1.3520,5.6040,4.6296,1.3200,5.5700
2600,4.7775,1.0460,5.3060,4.7809,1.0200,5.3500
2700,4.8982,1.0580,5.2240,4.8983,0.9600,5.2600
2800,4.9574,1.0000,5.2000,4.9624,1.0000,5.1700
2900,4.9893,1.0700,5.4280,4.9929,0.9500,5.2500
3000,5.6120,1.0000,5.0100,5.6167,1.0000,4.9900
3100,5.1468,1.0960,5.4980,5.1576,1.0800,5.2900
3200,5.0291,0.9360,4.8560,5.0355,0.9100,4.8100
3300,5.1950,1.0940,5.1480,5.1969,1.1300,5.0800
3400,5.0547,0.9680,5.4120,5.0585,1.0100,5.3300
3500,5.5356,0.9380,5.3180,5.5383,0.9900,5.1100
