round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.3020,10.3040,50.4520,2.3021,10.3800,50.3300
200,2.3012,12.1940,53.5460,2.3012,12.1100,53.5900
300,2.3003,12.7940,57.6480,2.3003,12.6900,57.1000
400,2.2994,12.5180,57.5160,2.2994,12.3600,57.0900
500,2.2983,11.7740,55.3140,2.2982,11.6800,54.9000
600,2.2970,10.9700,56.6960,2.2969,10.9100,56.6600
700,2.2954,10.6920,55.7080,2.2953,10.8300,55.5000
800,2.2934,10.6700,53.5220,2.2933,10.7700,53.3600
900,2.2908,10.8720,52.1120,2.2905,11.0000,51.6800
1000,2.2873,10.9080,51.8520,2.2869,11.0600,51.5700
1100,2.2822,10.8800,51.9660,2.2816,11.0500,51.6900
1200,2.2748,11.0000,52.2720,2.2740,11.1700,52.0000
1300,2.2646,11.4440,53.5420,2.2634,11.6900,53.3100
1400,2.2512,12.2060,54.9920,2.2496,12.3900,55.1600
1500,2.2322,15.1900,59.8520,2.2297,15.2500,59.9000
1600,2.2109,16.8900,61.2440,2.2084,17.0300,61.3200
1700,2.1571,19.8680,68.7660,2.1519,19.8900,69.4900
1800,2.1855,18.1360,65.5340,2.1809,18.4100,65.5600
1900,2.1470,17.5300,70.2540,2.1393,17.5500,70.4100
2000,2.2945,17.2260,64.0300,2.2957,18.0400,64.5000
2100,2.3093,17.4180,65.7720,2.3018,17.6600,65.7400
2200,2.2461,15.6220,68.8720,2.2355,16.1500,69.2200
2300,2.3888,14.0920,66.5620,2.3814,13.9400,66.8900
2400,2.5325,15.7540,61.4740,2.5325,16.0900,61.6300
2500,2.5956,14.6020,64.8700,2.5889,14.4200,65.0500
2600,2.4143,17.6680,62.0120,2.4035,17.4700,62.1200
2700,3.1550,10.6300,64.9840,3.1587,10.6500,65.5600
2800,2.4574,16.8380,64.2060,2.4464,16.8900,64.5900
2900,2.3757,15.6200,67.9780,2.3663,15.5400,68.1000
3000,2.6889,12.6260,68.7260,2.6741,12.7800,69.1200
3100,2.2070,19.0320,68.8440,2.2013,19.3500,68.7200
3200,2.3641,14.5780,67.5980,2.3512,14.8600,67.7200
3300,2.6966,13.7440,64.7780,2.7012,13.7600,65.3100
3400,2.2558,15.2920,68.5360,2.2408,15.0500,68.8000
3500,2.2860,16.5880,69.6720,2.2720,16.6300,70.1800
3600,2.2241,20.6520,67.4760,2.2173,20.9000,67.6800
3700,2.1632,20.6860,71.4900,2.1514,21.0100,72.0600
3800,2.6139,14.2120,67.6560,2.6027,13.9700,67.4800
3900,2.3637,16.6880,67.4360,2.3544,16.4900,67.9800
4000,2.1273,21.0980,71.2180,2.1160,21.4100,71.5600
4100,2.1521,20.0660,71.3840,2.1422,20.2500,71.7300
4200,2.6360,15.7700,68.2940,2.6418,15.6600,68.7900
4300,2.3896,17.3580,65.7320,2.3820,17.5500,65.6100
4400,2.2745,20.0960,67.7160,2.2657,20.5600,67.9200
4500,2.3520,19.7640,67.3260,2.3477,19.6300,67.8900
4600,2.4555,16.7400,66.9340,2.4537,16.6800,67.6700
4700,2.4588,14.7880,67.8880,2.4433,15.2600,68.0000
4800,2.3768,16.1060,71.8600,2.3636,16.1300,72.2600
4900,2.6435,16.3680,66.6180,2.6474,16.2800,66.8900
5000,2.3792,16.4400,68.8200,2.3735,16.8900,69.1300
5100,2.2029,21.3320,70.7340,2.1854,22.4200,70.5200
5200,2.2684,18.3560,68.5640,2.2585,18.0200,68.8900
5300,2.2506,18.0140,71.2340,2.2452,18.2700,71.1900
5400,2.4745,16.7840,68.4660,2.4673,16.6300,68.8300
5500,2.3671,16.7960,66.7480,2.3584,17.0800,67.1300
5600,2.2699,17.3240,69.9680,2.2570,18.1200,69.8100
5700,2.3518,16.9240,65.9340,2.3518,16.3200,66.6300
5800,2.2110,19.6060,69.5440,2.2013,19.8800,69.6900
5900,2.3575,18.2420,71.3520,2.3373,18.6300,71.4300
6000,2.5362,15.6420,67.7220,2.5286,15.6700,67.9800
6100,2.6101,14.2840,63.2820,2.6133,14.2700,63.0500
6200,2.4838,13.0620,72.3560,2.4693,12.7200,72.4100
6300,2.9700,12.7700,67.1280,2.9540,12.9900,67.1400
6400,2.2244,17.1260,72.4560,2.2109,17.1400,72.2200
6500,2.3119,17.1540,70.4460,2.2990,17.3300,70.9100
6600,2.3621,15.8580,69.4260,2.3599,16.1800,69.0900
6700,2.2353,20.7260,68.6740,2.2287,20.7000,68.9900
6800,2.2400,19.2720,69.5520,2.2316,19.8600,69.3800
6900,2.2993,17.9440,72.0120,2.2922,18.4500,72.0300
7000,2.5347,16.1040,70.9820,2.5342,15.9700,71.2600
7100,2.3149,18.1940,68.7120,2.3116,18.3000,69.1100
7200,2.3586,18.6600,70.3840,2.3536,18.4100,70.3800
7300,2.2470,20.3060,70.3540,2.2409,20.5600,70.1400
7400,2.2168,18.6100,72.2720,2.2074,18.6400,72.8400
7500,2.4455,15.3040,70.5540,2.4330,15.4400,70.4200
7600,2.4976,15.4240,72.8300,2.4878,15.6400,73.3100
7700,2.4262,18.7440,67.2460,2.4161,18.7000,67.8100
7800,2.2271,22.0360,71.7940,2.2168,22.2200,71.6300
7900,2.1498,21.1880,73.4880,2.1379,21.7600,73.6600
8000,2.5771,17.7760,70.8240,2.5777,17.5100,71.2400
8100,2.5119,17.6660,64.6500,2.5048,17.6400,64.5900
8200,2.2470,17.3920,70.5960,2.2375,17.1900,70.5300
8300,2.1788,22.7540,71.7640,2.1660,22.9900,71.8000
8400,2.3408,17.2480,72.9260,2.3357,17.2300,73.3200
8500,2.2952,15.3340,73.9160,2.2819,15.6300,74.0900
8600,2.2780,21.4580,69.7480,2.2667,21.6400,69.7100
8700,2.3323,15.6440,71.9000,2.3216,15.4700,72.1300
8800,2.2689,17.1400,72.3320,2.2576,17.0800,72.5100
8900,2.3969,14.8340,72.4200,2.3835,14.7700,72.7700
9000,2.5035,19.6520,66.5700,2.4966,19.7600,66.7700
9100,2.3095,18.6980,70.0140,2.2987,18.7400,70.1500
9200,2.1774,17.7100,75.8040,2.1680,17.3600,76.0600
9300,2.0883,22.5540,75.1460,2.0780,23.3600,75.8800
