round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.3828,14.1244,57.4344,2.3857,14.1933,57.4722
200,2.6129,13.0022,59.1422,2.6183,12.7878,58.9911
300,2.2236,15.0978,73.1378,2.2287,14.9244,73.1500
400,2.1646,15.4989,70.9922,2.1690,15.4122,70.8456
500,2.2491,18.7156,73.6822,2.2523,18.5689,73.4622
600,2.1246,17.7678,78.9344,2.1288,17.9167,78.6844
700,2.1816,17.5922,77.1000,2.1852,17.6400,76.9856
800,2.2237,16.3856,78.1756,2.2254,16.3933,77.9489
900,2.1273,23.6444,79.2111,2.1326,23.5422,78.9222
1000,2.0549,21.7011,76.1278,2.0609,21.5433,75.8678
1100,1.9699,23.1144,84.3000,1.9743,23.0767,84.0344
1200,1.9193,27.3433,83.5244,1.9250,27.3778,83.3167
1300,1.8353,29.0367,85.3711,1.8414,28.9900,84.9900
1400,2.0890,23.7222,77.4456,2.0950,23.3433,77.2367
1500,2.0944,22.7711,82.1289,2.0996,22.6678,81.7478
1600,1.9507,24.7978,83.5389,1.9574,24.6733,82.9922
1700,1.9405,27.0756,82.5111,1.9469,26.9722,82.3600
1800,1.8754,30.2100,84.2900,1.8816,29.9578,84.2011
1900,1.8776,29.6011,83.1400,1.8859,29.6100,82.9111
2000,1.9026,25.8722,87.2722,1.9123,25.7756,86.8267
2100,1.8772,29.8522,82.2822,1.8832,29.7111,81.8033
2200,1.9108,30.8056,83.9689,1.9168,30.8089,83.7222
2300,1.6975,36.7144,87.9022,1.7055,36.2389,87.6378
2400,1.7123,36.0300,88.0156,1.7209,35.9467,87.6100
2500,1.9679,27.4333,80.2544,1.9774,27.3811,80.1333
2600,1.7430,35.2478,87.6756,1.7534,35.0878,87.2344
2700,1.6850,35.9833,89.1322,1.6939,36.0256,88.7611
2800,1.8735,31.7156,85.2089,1.8846,31.5144,84.6933
2900,1.7756,35.6411,84.9833,1.7863,35.5933,84.5111
3000,1.8069,34.7744,85.1311,1.8130,34.6878,84.8433
3100,1.6478,38.4678,89.6400,1.6567,38.3044,89.3044
3200,1.8046,34.7956,89.5867,1.8182,34.5267,89.2600
3300,1.6588,38.2922,89.7822,1.6722,37.5922,89.3789
3400,2.0497,29.3000,83.6444,2.0593,29.1167,83.5289
3500,1.7568,36.2944,88.6033,1.7696,36.0644,88.3411
3600,1.5643,41.1656,91.1189,1.5749,40.9889,90.9000
3700,1.5924,40.1200,89.7400,1.6030,39.7067,89.3967
3800,1.6010,39.4433,90.6667,1.6113,39.2156,90.4378
3900,1.4998,44.0789,92.5200,1.5111,43.5167,92.2978
4000,1.5291,42.3222,92.2567,1.5442,41.8189,91.8478
4100,1.5320,43.4811,91.2300,1.5424,42.8411,91.0522
4200,1.6295,39.9222,91.4144,1.6437,39.4633,91.2822
4300,1.4918,43.9800,92.1800,1.5046,43.4811,91.7700
4400,1.5669,41.9189,91.6544,1.5806,41.3933,91.4556
4500,2.1391,30.9144,89.0178,2.1624,30.7556,88.7011
4600,1.4617,45.3500,93.3078,1.4759,44.8889,92.9278
4700,1.5147,43.9367,92.0844,1.5309,43.4833,91.9156
4800,1.4258,46.8167,93.5611,1.4420,46.2644,93.2167
4900,1.5138,42.5056,92.9400,1.5336,41.9411,92.6778
5000,1.4774,45.4622,93.0389,1.4972,44.7800,92.7489
5100,1.4657,45.5056,91.9756,1.4815,44.8944,91.5267
5200,1.5681,40.2022,93.6289,1.5852,39.5156,93.3400
5300,1.5417,44.0156,90.7556,1.5584,43.7556,90.4200
5400,1.7222,39.9533,88.6700,1.7375,39.9178,88.3844
5500,1.3883,48.4067,93.7478,1.4096,47.6856,93.3678
5600,1.3733,49.2556,94.2556,1.3923,48.5678,93.8211
5700,1.4151,47.0000,93.0522,1.4349,46.6489,92.6700
5800,1.3115,52.0756,94.6511,1.3301,51.4300,94.2544
5900,1.5125,44.4856,92.7733,1.5343,44.0056,92.3622
6000,1.4495,46.6822,93.7867,1.4724,46.1344,93.4833
6100,1.3426,49.4933,94.5344,1.3616,48.7011,94.2144
6200,1.5080,43.1189,93.0633,1.5281,42.8156,92.6656
6300,1.4182,48.2889,92.5456,1.4386,47.5944,92.1933
6400,2.0365,37.2211,88.5600,2.0620,36.8633,88.2800
6500,1.5661,42.5767,93.6556,1.5892,42.1378,93.2378
6600,1.5827,43.7011,92.3978,1.6046,43.2322,91.9800
6700,1.4236,48.4367,93.8444,1.4459,47.7700,93.5289
6800,1.2966,51.8233,94.3967,1.3200,51.0500,94.0489
6900,1.5291,44.1800,92.0533,1.5512,43.7222,91.7100
7000,1.5133,46.6422,92.0989,1.5370,46.1978,91.7356
7100,1.3043,52.7600,94.5956,1.3334,51.7689,94.3033
7200,1.4381,49.1967,93.2944,1.4701,48.5589,92.7722
7300,1.2231,55.2078,95.5533,1.2511,54.1689,95.1811
7400,1.3425,51.1589,93.3133,1.3730,50.4289,92.6967
7500,1.2509,53.5322,95.0467,1.2814,52.5422,94.6333
7600,1.2685,53.4067,94.6611,1.2995,52.3044,94.2256
7700,1.2291,55.2089,95.3956,1.2588,54.2356,94.8667
7800,1.2058,54.8144,95.6244,1.2357,53.9311,95.2711
7900,1.2917,52.1189,94.5878,1.3212,51.4011,94.1800
8000,1.2451,54.7500,95.2722,1.2774,53.4000,94.7322
8100,1.2282,54.4467,95.8800,1.2560,53.3000,95.4489
8200,1.2042,56.2856,94.9944,1.2341,55.1022,94.4722
8300,1.2862,52.8956,93.9300,1.3199,51.7422,93.5900
8400,1.2342,55.0078,95.5267,1.2655,53.6778,95.1522
8500,1.3556,51.1067,94.1278,1.3922,50.2422,93.7078
8600,1.3640,51.7122,94.4522,1.3993,50.4856,94.0922
8700,1.1188,59.9044,96.2089,1.1515,58.6878,95.7400
8800,1.1187,60.2178,96.0711,1.1537,58.8789,95.6344
8900,1.0830,61.0756,96.4967,1.1175,59.6244,96.0511
9000,1.5034,47.3578,93.9567,1.5455,46.5111,93.5911
9100,1.0837,60.7711,96.5956,1.1229,59.2878,96.1944
9200,1.0717,61.5267,96.4289,1.1103,59.9511,95.9033
9300,1.0954,59.7300,96.4111,1.1356,58.1767,95.9422
9400,1.1490,58.7400,96.0222,1.1906,57.4356,95.4756
9500,1.1963,56.6211,94.8533,1.2402,55.3822,94.3667
9600,1.1022,59.5667,96.3300,1.1415,57.9322,95.7811
9700,1.1421,58.3956,95.9033,1.1823,57.0656,95.3933
9800,1.3873,50.5033,94.4211,1.4331,49.3378,93.9544
9900,1.1518,58.5433,96.3233,1.1946,57.3300,95.8233
