round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.4605,17.8700,57.8467,2.4627,17.7500,57.8867
200,2.2146,15.6322,69.2344,2.2177,15.6633,68.9778
300,2.2203,16.7478,71.9022,2.2246,16.7267,71.6822
400,2.2003,20.4911,71.9300,2.2033,20.4000,71.9156
500,2.0642,21.6289,73.8467,2.0685,21.3600,73.6544
600,1.9822,23.6556,80.5356,1.9857,23.4267,80.3333
700,1.9905,23.5878,78.0878,1.9945,23.5011,77.8011
800,2.6029,14.1789,79.4011,2.6082,14.1800,79.0944
900,2.1953,18.1578,74.7300,2.1986,18.1667,74.5311
1000,2.0457,23.6167,80.9511,2.0493,23.6056,80.7178
1100,2.0258,23.4111,78.5267,2.0313,23.3156,78.3411
1200,1.8799,27.1856,83.3756,1.8841,27.0578,83.0344
1300,1.8785,27.3044,81.9411,1.8833,27.2444,81.5789
1400,1.8609,30.9933,83.6811,1.8656,30.7722,83.5000
1500,1.7845,31.4467,87.4178,1.7914,31.1889,87.0011
1600,2.1171,20.1011,80.7433,2.1260,20.1278,80.5233
1700,2.4747,22.9533,80.0633,2.4845,22.8133,79.8611
1800,1.7656,33.3589,86.4622,1.7736,33.0933,86.1678
1900,1.8025,31.0167,87.1311,1.8099,30.8556,86.8478
2000,1.8206,31.8367,84.5300,1.8281,31.6044,84.2500
2100,1.8810,26.3900,85.7700,1.8885,26.2189,85.4611
2200,1.8481,34.1700,81.2644,1.8550,33.9078,81.0367
2300,1.8984,32.2522,83.0378,1.9094,32.0144,82.7867
2400,1.7507,35.3256,84.5467,1.7588,35.1344,84.1433
2500,1.7605,32.8500,88.7867,1.7701,32.4889,88.6800
2600,1.6918,35.2378,89.3400,1.7016,35.2856,88.8733
2700,1.7460,35.3811,88.2733,1.7541,35.1200,88.0978
2800,1.6497,38.3522,90.2789,1.6585,38.0144,90.0389
2900,1.7046,35.9933,89.0289,1.7102,35.7589,88.7022
3000,1.8237,34.4878,85.9489,1.8351,34.3167,85.6489
3100,1.7288,35.8444,87.1011,1.7372,35.6044,86.7933
3200,1.5994,41.0744,89.9356,1.6104,40.8689,89.6033
3300,1.5903,40.6667,90.8022,1.6026,40.2433,90.7644
3400,1.5798,41.4467,91.1622,1.5924,41.1178,90.8267
3500,2.0551,30.8122,80.8489,2.0609,30.5778,80.6678
3600,1.6349,38.0333,91.1211,1.6440,37.5500,90.8422
3700,1.6996,34.5444,89.7367,1.7148,34.3800,89.4322
3800,1.5603,41.1778,91.2178,1.5734,40.6422,90.9800
3900,1.4992,44.4567,91.7367,1.5115,43.9411,91.5367
4000,1.6288,41.4189,88.6256,1.6443,40.7911,88.3222
4100,1.5073,42.3300,92.2189,1.5199,41.9044,92.0900
4200,1.7202,35.8200,88.9822,1.7361,35.4989,88.6378
4300,1.6340,41.4667,89.8367,1.6498,41.1000,89.6156
4400,1.5333,42.5756,92.0122,1.5517,41.8767,91.7422
4500,1.6053,40.5444,92.7989,1.6220,39.9556,92.5189
4600,1.4686,44.8744,92.9356,1.4822,44.3767,92.7978
4700,1.5455,43.7033,91.0800,1.5630,43.1878,90.7767
4800,1.6930,39.6167,88.2556,1.7099,39.2167,87.9011
4900,1.4930,46.5244,90.8144,1.5068,45.8678,90.5178
5000,1.5358,43.1622,89.9989,1.5497,42.9267,89.5933
5100,1.4587,47.3756,91.6333,1.4763,46.7444,91.2411
5200,1.3909,49.9111,93.3844,1.4091,49.1589,93.1422
5300,1.5203,45.4144,90.7578,1.5390,44.9922,90.4000
5400,1.4290,45.8311,93.9356,1.4449,45.4122,93.5056
5500,1.3710,49.7667,92.9589,1.3906,49.0922,92.6133
5600,1.5884,40.7944,93.4300,1.6092,40.2256,93.1511
5700,1.4067,48.3667,93.3356,1.4253,47.6589,92.9744
5800,1.4162,46.9589,92.9544,1.4362,46.3033,92.6700
5900,1.7126,41.8633,84.5644,1.7284,41.5578,84.2522
6000,1.3549,48.8622,94.0722,1.3759,48.2456,93.7756
6100,1.3718,49.5800,94.1189,1.3935,49.0189,93.6644
6200,1.3814,49.3456,93.3289,1.4022,48.6167,92.9878
6300,1.6895,40.7811,89.4233,1.7161,40.4078,89.1100
6400,1.2359,54.8322,95.3744,1.2600,54.1378,94.9811
6500,1.3545,50.5489,93.0100,1.3771,50.0011,92.5289
6600,1.6393,42.3144,93.5222,1.6651,41.9833,93.2400
6700,1.2764,53.5022,94.8400,1.3020,52.5933,94.3344
6800,1.3472,49.9978,94.8400,1.3710,49.1467,94.5322
6900,1.2836,53.4844,95.0078,1.3092,52.3444,94.5389
7000,1.2878,52.5744,94.3189,1.3134,51.6556,93.7844
7100,1.2927,52.8200,95.1856,1.3197,52.0467,94.7567
7200,1.2743,53.0311,94.4522,1.3014,52.1433,94.0000
7300,1.2998,51.7678,95.0556,1.3307,50.7967,94.7422
7400,1.2247,55.9756,95.2067,1.2533,55.1222,94.8278
7500,1.2967,52.5300,95.2767,1.3258,51.4600,94.7489
7600,1.3423,52.4222,92.6644,1.3729,51.6489,92.2722
7700,1.2194,55.8378,95.6289,1.2519,54.4622,95.2489
7800,1.3485,52.6867,92.5167,1.3806,51.5189,91.9867
7900,1.3712,49.8778,94.0289,1.3995,49.1422,93.5411
8000,1.2322,54.3133,95.5178,1.2643,53.4156,95.0378
8100,1.4730,44.8444,93.3078,1.5030,44.3944,92.8989
8200,1.1996,57.2656,95.3267,1.2283,56.3389,94.9167
8300,1.2061,56.1933,95.4589,1.2396,54.8978,94.9644
8400,1.2016,55.4267,95.8822,1.2325,54.2322,95.4956
8500,1.1710,57.2933,95.9544,1.2044,55.9333,95.4767
8600,1.1847,56.9911,95.7433,1.2178,55.6444,95.2478
8700,1.1711,57.4056,95.6944,1.2067,56.0200,95.2378
8800,1.1962,56.3867,95.6156,1.2338,55.2867,95.0711
8900,1.2414,55.8011,94.0167,1.2813,54.7189,93.3944
9000,1.1803,57.5056,95.4900,1.2164,56.3144,94.9889
9100,1.1533,58.7100,95.9722,1.1960,57.3889,95.4344
9200,1.2588,53.6956,95.3311,1.3006,52.7656,94.7844
9300,1.1353,59.5578,95.5578,1.1699,58.5033,95.1244
9400,1.1681,56.4944,96.2589,1.2044,55.4778,95.6989
9500,1.1050,59.8700,96.3933,1.1437,58.4700,95.8367
9600,1.1287,60.1167,96.0367,1.1680,58.7844,95.5633
9700,1.1014,59.3156,96.5967,1.1416,57.9300,96.0489
9800,1.1632,57.5856,96.2578,1.2077,56.1778,95.6567
9900,1.2017,55.8456,95.4589,1.2442,54.7100,94.8344
10000,1.1593,57.6611,95.7567,1.1967,56.2811,95.2011
10100,1.0581,62.1156,96.5967,1.1004,60.3467,96.0278
10200,1.2372,54.8589,95.7256,1.2803,53.5911,95.2211
10300,1.2111,56.2700,95.3467,1.2592,55.0311,94.8400
10400,1.1278,59.1333,96.5811,1.1732,57.5600,96.0989
10500,1.2225,54.6856,96.3900,1.2709,53.6322,95.8100
10600,1.1139,59.5433,96.5833,1.1555,58.1489,96.0078
10700,1.2057,56.0811,95.6922,1.2515,54.8744,95.1356
10800,1.1510,60.0967,94.7400,1.2018,58.7133,94.1678
10900,1.0224,63.1311,96.8944,1.0704,61.4211,96.2844
11000,1.0349,62.5933,96.9300,1.0800,61.0678,96.3944
11100,1.0575,61.1178,96.9211,1.1065,59.7678,96.3322
11200,1.1188,59.4889,96.2544,1.1664,57.9522,95.6189
11300,1.0953,60.1811,96.4900,1.1449,58.6844,95.9389
11400,1.2689,56.6489,95.7356,1.3193,55.2489,95.1411
11500,1.0388,61.9644,97.2022,1.0919,60.2400,96.6889
11600,1.0375,61.7378,96.9467,1.0876,59.9389,96.2767
11700,1.0954,60.9267,96.4078,1.1509,59.3722,95.8211
11800,1.0355,63.3211,96.6333,1.0857,61.6344,95.9633
11900,1.0917,61.7078,96.0322,1.1451,60.0367,95.3867
12000,1.0763,61.6833,96.2444,1.1328,60.4511,95.6578
12100,1.0776,61.0600,95.7411,1.1350,59.5233,95.1100
12200,1.1787,58.2056,94.6722,1.2355,56.7289,94.1667
12300,1.0467,61.7922,96.9533,1.1008,60.1167,96.4200
12400,0.9309,66.7489,97.4667,0.9851,65.0344,96.9256
12500,1.0915,60.6622,96.7367,1.1444,58.9367,96.1144
12600,1.0575,61.6644,96.8322,1.1201,60.0756,96.2211
12700,1.0816,60.7411,96.7767,1.1366,59.3578,96.1178
12800,1.1767,56.9567,96.6122,1.2366,55.4367,95.9722
12900,0.9945,63.5922,97.3811,1.0588,61.7067,96.6711
13000,0.9617,65.9667,97.3900,1.0213,64.0267,96.8778
13100,0.9695,64.5067,97.3689,1.0326,62.5222,96.7578
13200,1.0004,62.8478,97.2878,1.0668,61.0400,96.6233
13300,0.9679,65.2911,97.0956,1.0343,63.4944,96.4989
13400,0.9146,67.3989,97.4833,0.9819,65.3456,96.8689
13500,0.8888,67.8467,97.8133,0.9497,65.7389,97.2244
13600,0.9264,67.0200,97.2300,0.9925,64.5244,96.5622
13700,0.9474,66.0622,97.3378,1.0120,64.1389,96.7111
13800,0.9804,65.3200,97.2322,1.0548,63.4456,96.6378
13900,0.9092,66.6600,97.7456,0.9765,64.4122,97.1578
14000,0.9617,65.1600,97.3856,1.0308,63.0089,96.7689
14100,0.9112,67.2489,97.5700,0.9862,65.1989,96.8778
14200,0.9336,65.8689,97.6367,1.0031,63.9389,96.9900
14300,0.9974,64.2956,97.0333,1.0718,62.3722,96.3533
14400,0.8994,67.8089,97.5900,0.9801,65.4678,96.9322
14500,0.8506,69.8611,97.6133,0.9260,67.4033,96.9922
14600,0.9557,66.0544,97.3778,1.0329,64.0011,96.7278
14700,0.9063,67.6556,97.5467,0.9835,65.3733,96.8267
14800,0.8690,68.7289,97.8478,0.9446,66.1489,97.1767
14900,0.9308,66.4822,97.7867,1.0147,64.1744,97.0433
15000,0.8992,67.7656,97.7278,0.9768,65.3178,97.0278
15100,0.9518,65.4356,97.4367,1.0324,63.0422,96.7556
15200,0.9345,65.8667,97.6956,1.0123,63.7211,96.9878
15300,0.8721,68.5056,97.8322,0.9547,65.9900,97.0878
15400,0.8767,68.3078,97.7889,0.9620,65.5811,97.0600
15500,0.9507,65.8122,97.0911,1.0325,63.7233,96.3044
15600,0.8480,69.5978,98.0100,0.9359,66.6733,97.3867
15700,0.8751,68.4633,97.7189,0.9651,65.8844,96.9767
15800,0.8457,69.8367,97.9056,0.9342,67.2678,97.2267
15900,0.9180,67.1089,97.7422,1.0152,64.3133,97.0011
16000,0.8149,70.7400,98.1589,0.9005,67.8111,97.4722
16100,0.8664,68.6411,97.7678,0.9550,66.0567,97.0444
16200,0.8393,70.0767,97.8078,0.9326,67.2878,96.9811
16300,1.0531,63.3544,97.0511,1.1482,61.4133,96.2744
16400,0.7937,71.5422,97.9833,0.8891,68.6089,97.3100
16500,0.8279,70.5089,97.9644,0.9281,67.6500,97.2400
16600,0.9013,67.2889,97.9556,1.0005,64.8489,97.2278
16700,0.8662,69.7100,97.5478,0.9657,66.9811,96.7789
16800,0.7737,72.3911,98.3400,0.8673,69.2067,97.6456
16900,0.8744,68.4589,97.9500,0.9693,65.5711,97.2011
17000,0.9368,67.1322,97.8856,1.0317,64.4433,97.1456
17100,0.9536,67.0589,98.0067,1.0578,64.0111,97.2000
17200,0.8446,68.7344,98.2033,0.9543,66.0378,97.4600
17300,0.8322,69.5022,98.2356,0.9332,66.8211,97.4300
17400,0.8273,69.3689,98.2967,0.9365,66.3033,97.5522
17500,0.8090,71.0356,97.9389,0.9154,67.9333,97.1622
17600,0.9092,66.2556,98.0044,1.0202,63.2644,97.2344
17700,0.9143,67.3256,98.0211,1.0225,64.5333,97.2000
17800,0.8741,68.4100,98.1100,0.9782,65.6500,97.3178
17900,0.7526,73.0133,98.4244,0.8592,69.6478,97.6733
18000,0.7877,71.3944,98.2856,0.9089,67.8356,97.5322
18100,0.7672,72.3733,98.3411,0.8732,69.3867,97.5867
18200,0.7956,71.4989,98.0800,0.9049,68.1111,97.2889
18300,0.9355,66.8556,97.6300,1.0544,64.1333,96.7878
18400,0.9250,67.4489,97.9544,1.0476,64.5944,97.0689
18500,0.8324,70.4378,97.7656,0.9489,67.3556,96.9000
18600,0.8019,71.7344,97.9833,0.9098,68.6111,97.0656
18700,0.8032,70.8111,98.2789,0.9224,67.4000,97.3589
18800,0.7448,72.8400,98.5656,0.8623,69.2011,97.7256
18900,0.7997,71.3522,98.1922,0.9255,67.8400,97.3467
19000,0.8698,69.3633,97.8400,0.9935,66.3856,96.9056
19100,0.7597,72.3856,98.4556,0.8765,68.7133,97.6567
19200,0.7161,74.3111,98.5289,0.8364,70.4756,97.7144
19300,0.7845,71.9811,98.0378,0.9043,68.3111,97.1833
19400,0.7811,72.1378,98.4544,0.9132,68.4967,97.6056
19500,0.8498,69.2078,98.5378,0.9872,65.7511,97.6744
19600,0.8653,69.1700,98.1200,0.9983,66.0422,97.1900
19700,0.7710,72.2844,98.3311,0.8888,68.5822,97.3900
19800,0.7293,74.0456,98.5833,0.8646,70.1189,97.7233
19900,0.7973,71.4022,98.0367,0.9323,67.4722,97.0556
20000,0.7308,73.3856,98.5267,0.8625,69.2800,97.6556
