round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,4.7845,1.0000,4.9980,4.7848,1.0000,5.0000
200,4.7459,1.0000,5.0000,4.7459,1.0000,5.0000
300,4.7778,1.0000,5.0000,4.7778,1.0000,5.0000
400,4.8048,1.0000,5.0000,4.8049,1.0000,5.0000
500,4.7718,1.0000,5.0000,4.7719,1.0000,5.0000
600,4.7922,1.0000,5.2060,4.7923,1.0000,5.2500
700,4.7928,1.0040,6.5840,4.7934,1.0000,6.6900
800,4.6219,2.0620,7.6260,4.6216,2.0600,7.8500
900,4.5953,1.6980,8.7660,4.5972,1.8200,8.8200
1000,4.5581,2.3260,9.2780,4.5608,2.1500,9.3600
1100,4.4242,2.4080,12.0100,4.4289,2.6700,12.1000
1200,4.4276,2.6940,12.0780,4.4338,2.7500,12.0800
1300,4.4157,2.9600,12.3940,4.4275,3.0700,12.4600
1400,4.2642,3.4060,15.9840,4.2698,3.4800,15.9300
1500,4.2535,3.3840,16.0600,4.2583,3.4800,16.2500
1600,4.2015,4.6200,17.6340,4.2073,4.6300,17.5300
1700,4.1888,4.6320,18.4620,4.1969,4.4100,18.4300
1800,4.0537,4.9100,21.8100,4.0609,4.9000,21.1500
1900,4.0634,4.5060,21.9720,4.0782,4.0300,21.5600
2000,3.9864,6.9140,24.4380,3.9949,6.9100,24.1900
2100,3.9820,7.0960,24.5940,3.9879,6.7200,24.5000
2200,4.1018,5.0580,21.8940,4.1253,4.9200,21.1800
2300,3.8937,7.8880,29.1340,3.9108,8.2600,28.5700
2400,3.9384,7.1200,28.3480,3.9527,6.6400,28.0400
2500,3.8459,8.1300,29.8880,3.8669,8.0500,29.2100
2600,3.8689,7.0560,29.9580,3.8891,6.9100,29.4200
2700,3.7714,9.0600,33.1500,3.7919,9.0900,32.9800
2800,3.6885,11.7260,35.3240,3.7118,11.2100,34.8500
2900,3.6050,11.9060,37.4000,3.6314,11.6600,37.2100
3000,3.5704,12.9280,38.8860,3.6011,12.9700,38.1100
3100,3.5153,13.5180,40.7640,3.5437,13.1700,39.7900
3200,3.7017,11.3600,35.9100,3.7320,11.2600,35.9500
3300,3.5031,14.0760,41.1120,3.5387,14.3600,40.5100
3400,3.5509,13.2180,40.5700,3.5847,12.8000,40.1900
3500,3.4267,15.7460,43.9260,3.4632,15.8300,42.8900
3600,4.2093,7.1640,29.9220,4.2642,6.9300,29.5900
3700,3.2979,18.1080,48.0680,3.3439,18.0600,46.8900
3800,3.3088,17.5360,47.0880,3.3417,17.2000,46.4400
3900,3.4465,15.6540,42.8000,3.4895,14.9900,41.4400
4000,3.1595,20.1960,52.1880,3.2093,19.9000,51.2200
4100,3.3366,17.5380,47.4020,3.3936,16.8200,46.2100
4200,3.1480,20.4560,51.4040,3.1996,19.6800,50.3000
4300,3.2083,20.2340,50.2260,3.2664,19.6900,48.8400
4400,3.1954,20.3560,50.9120,3.2539,19.9600,49.0200
4500,3.0171,23.1780,54.8860,3.0853,22.3800,53.1900
4600,3.0994,22.8200,52.5920,3.1703,22.2700,51.1000
4700,3.1604,20.7420,53.3200,3.2418,19.9400,51.5800
4800,2.9566,24.0660,56.7240,3.0319,23.5700,54.8400
4900,3.1108,22.8000,52.2900,3.2012,21.0800,50.7400
5000,2.8749,25.6820,58.4040,2.9628,24.7900,56.4800
5100,2.8057,27.7540,59.9740,2.8909,26.1800,57.7300
5200,2.7844,27.6120,60.6260,2.8903,25.9600,58.3100
5300,2.9183,25.7740,57.1280,3.0173,24.4800,55.3900
5400,2.8478,26.5540,59.2600,2.9593,24.7600,56.2900
5500,2.8666,26.6400,58.4520,2.9599,25.8500,56.3000
5600,2.6756,30.0380,63.9060,2.7904,28.9500,61.4100
5700,2.6611,30.7860,64.1360,2.7856,28.8700,61.1300
5800,2.6710,30.3300,63.3700,2.7936,29.0500,60.4700
5900,2.9037,26.6040,59.7220,3.0456,24.8900,57.1000
6000,2.5983,32.6120,65.0640,2.7206,30.1700,61.9800
6100,2.8102,28.2900,59.9880,2.9461,26.6400,57.4600
6200,2.5421,32.8740,66.5640,2.6828,31.0100,63.9100
6300,2.4485,34.4720,69.0280,2.5966,31.9500,65.5400
6400,2.4849,34.2700,67.5580,2.6395,32.3200,64.2200
6500,2.4597,34.9320,68.4220,2.6251,32.5800,64.4600
6600,2.5306,33.5340,67.6280,2.6860,31.3200,63.7600
6700,2.5747,33.2400,65.5180,2.7427,30.5900,61.4700
6800,2.4118,36.3200,69.6760,2.5762,33.6800,65.8100
6900,2.3574,36.8460,70.8680,2.5307,33.7700,66.5100
7000,2.3784,36.4120,69.7160,2.5659,33.2500,65.7200
7100,2.4271,36.2260,70.0760,2.6298,32.8900,65.6000
7200,2.2454,39.7100,73.1480,2.4278,36.3600,68.8300
7300,2.2338,39.2440,73.2060,2.4370,35.3000,68.7400
7400,2.3343,37.5880,71.3860,2.5411,34.0400,66.8400
7500,2.2639,39.3080,72.6620,2.4693,35.7600,68.2900
7600,2.2802,39.0480,72.6660,2.4747,35.7200,68.3700
7700,2.4176,35.7600,70.1960,2.6433,32.9300,65.9100
