round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.3301,15.9740,50.0900,2.3288,16.3900,50.0600
200,2.2873,15.6720,63.2600,2.2781,15.7600,63.5600
300,2.1386,24.3980,69.1960,2.1367,24.8200,69.5000
400,2.0533,26.8720,77.4940,2.0435,27.7600,77.9400
500,1.9061,30.9100,81.7680,1.8968,31.1000,82.0700
600,1.9519,24.4740,83.7360,1.9444,24.4800,84.3600
700,1.9132,31.6380,83.1800,1.9043,32.0200,83.3700
800,1.7599,31.1920,88.2340,1.7519,31.7700,88.6500
900,1.7157,34.6960,87.6360,1.7041,35.3000,87.2900
1000,1.7113,31.9020,89.4220,1.7023,32.2100,89.5500
1100,1.8044,31.9660,89.1640,1.7956,33.0400,89.3900
1200,1.6358,37.6960,90.3840,1.6304,37.8400,90.6700
1300,1.6009,39.2000,90.8360,1.5944,39.0700,91.0500
1400,1.6211,39.4540,91.0680,1.6138,39.1600,91.4600
1500,1.5767,41.9320,90.9720,1.5763,41.7100,91.0700
1600,1.5461,41.1980,92.2880,1.5410,41.4300,92.5700
1700,1.5791,41.5380,91.1360,1.5717,41.6900,91.3800
1800,1.5605,41.8660,91.9180,1.5556,41.8400,91.7800
1900,1.3856,49.1700,93.5000,1.3800,49.6700,93.7200
2000,1.3998,48.4960,93.6280,1.3998,48.9400,93.8200
2100,1.4345,46.5720,93.1320,1.4290,46.6700,93.0700
2200,1.3952,48.9480,93.5900,1.3943,48.8700,93.4200
2300,1.5673,43.3240,91.1720,1.5645,43.4500,91.2300
2400,1.5124,44.8660,93.3620,1.5213,44.6700,93.2400
2500,1.5105,44.7620,93.1500,1.5152,44.5700,93.4500
2600,1.4138,48.5460,94.2160,1.4175,48.6400,94.2500
2700,1.5308,45.2140,93.4900,1.5292,44.4800,93.5500
2800,1.4964,45.2960,93.3940,1.5008,45.7100,93.5500
2900,1.2695,53.0860,94.9360,1.2760,52.9100,94.7400
3000,1.4421,47.9520,94.8300,1.4518,47.6100,94.7700
3100,1.2288,54.9560,95.6300,1.2369,54.5800,95.8700
3200,1.2218,55.7320,95.3060,1.2348,54.9600,95.2400
3300,1.2524,54.4680,95.2840,1.2717,53.7900,95.2600
3400,1.1450,58.0020,96.1600,1.1602,57.5100,95.9500
3500,1.2645,54.3640,95.4600,1.2751,54.1800,95.3300
3600,1.1580,57.9580,95.9220,1.1750,57.5600,95.9500
3700,1.1533,58.4640,95.5740,1.1653,57.8700,95.4300
3800,1.2399,54.2880,96.0700,1.2496,53.9900,95.9800
3900,1.2155,57.5540,95.2060,1.2291,57.4400,95.1000
4000,1.1034,60.5380,96.1020,1.1241,60.0300,95.7200
4100,1.1210,59.4460,96.5660,1.1400,58.9700,96.2500
4200,1.1463,59.1880,96.0700,1.1741,58.9800,95.9200
4300,1.3669,51.9180,95.8040,1.3856,51.2600,95.7100
4400,1.2513,55.3480,95.2960,1.2799,54.9100,95.2300
4500,1.2392,56.5780,95.4900,1.2656,56.0700,95.4100
4600,1.1351,59.5580,95.9800,1.1736,59.3800,95.5900
4700,1.1470,60.3140,95.1820,1.1722,59.4700,94.9300
4800,1.0974,60.4840,96.5920,1.1293,59.7700,96.2900
4900,1.2151,58.3560,95.7640,1.2544,57.8300,95.4800
5000,1.0555,62.1400,97.0940,1.0860,61.4700,96.8600
5100,1.2077,58.1500,96.4920,1.2481,57.2600,96.0900
5200,0.9751,65.1260,97.3540,1.0032,64.5200,96.9300
5300,1.0871,61.3100,96.3600,1.1272,60.9900,95.8800
5400,1.1354,60.3240,96.8300,1.1735,59.3600,96.3300
5500,1.1067,61.8060,95.7620,1.1490,60.9100,95.1600
5600,1.0236,63.5820,97.1240,1.0643,62.6100,96.7800
5700,0.9217,67.2560,97.3960,0.9633,66.0100,96.9700
5800,1.0019,64.9360,96.9800,1.0443,64.2500,96.7700
5900,1.0455,63.3080,96.9780,1.0922,62.2800,96.6900
6000,1.0833,62.2400,96.6800,1.1186,61.9100,96.3500
6100,0.9781,65.4300,97.2660,1.0216,64.6800,96.8700
6200,1.0053,64.1760,97.2320,1.0538,62.5800,96.7900
6300,1.2500,57.7760,97.0400,1.2963,56.7800,96.6900
6400,1.1479,61.9260,96.6420,1.2040,60.9100,96.0900
6500,0.9846,65.4760,97.3580,1.0377,64.3000,97.0800
6600,0.9815,65.8560,97.5580,1.0421,64.6700,97.0500
6700,1.0081,65.5240,97.1440,1.0622,64.7700,96.4700
6800,0.8903,68.4860,97.7660,0.9408,67.5400,97.4300
6900,0.9710,65.1900,97.7820,1.0319,63.3300,97.4400
7000,0.9075,68.2080,97.8800,0.9727,67.0100,97.2600
7100,0.9075,68.7160,97.6940,0.9681,66.8800,97.2800
7200,1.0134,67.0480,96.4500,1.0783,65.9100,95.7700
7300,0.9115,67.5100,97.7720,0.9771,66.6300,97.1300
7400,0.8884,68.2540,97.8320,0.9594,66.4000,97.4600
7500,0.9510,67.2600,97.7500,1.0177,66.2000,97.2100
7600,1.0732,63.9120,97.4200,1.1513,62.3400,96.7800
7700,0.9099,67.9080,98.0380,0.9713,66.5200,97.3100
7800,0.9052,68.7840,97.7980,0.9842,66.9300,97.2600
7900,0.8676,69.2980,98.0040,0.9345,68.2700,97.3800
8000,0.8936,68.6800,97.9940,0.9706,67.2700,97.4900
8100,1.0333,65.0600,97.5640,1.0952,64.2500,96.7600
8200,0.8116,71.0880,98.3400,0.8771,69.1200,97.8500
8300,0.9276,68.2720,97.3680,1.0056,66.6000,96.7000
8400,0.8666,70.2000,97.8840,0.9508,68.3500,97.3800
8500,0.7940,71.3260,98.3420,0.8695,69.5700,97.8800
8600,0.8629,70.0580,97.8320,0.9469,68.2100,97.3500
8700,0.8002,71.2740,98.4740,0.8791,69.7100,98.1200
8800,0.8847,69.2120,97.8660,0.9632,67.8100,97.3800
8900,0.8717,69.9060,97.8200,0.9566,68.1100,97.2200
9000,0.9963,66.6540,97.8360,1.0809,64.8700,97.5500
9100,0.7891,72.0080,98.4680,0.8729,70.7900,97.6700
9200,0.7410,73.6320,98.6340,0.8173,71.5400,98.1500
9300,0.7933,72.2840,98.4060,0.8851,70.4100,97.7900
9400,0.9010,69.5300,97.5080,0.9852,67.9900,96.8400
9500,0.7542,73.5700,98.5020,0.8435,71.3400,97.9600
9600,0.8109,71.7300,98.4500,0.8956,70.4500,97.7500
9700,0.8113,71.2260,98.5820,0.9011,69.1800,97.9500
9800,0.7758,72.7060,98.3040,0.8733,70.6200,97.5700
9900,0.7219,74.4220,98.6960,0.8168,71.9100,98.1800
10000,0.8122,71.2640,98.4100,0.9053,69.5100,97.8900
10100,0.8058,72.0280,98.3580,0.9183,69.1600,97.8300
10200,0.7037,74.8040,98.7460,0.8029,72.7500,98.1200
10300,0.7587,73.3860,98.5300,0.8553,71.1600,97.7900
10400,0.6761,75.9120,98.8080,0.7780,73.5000,98.3800
10500,0.7121,74.7480,98.8200,0.8142,72.6300,98.3900
10600,0.6748,76.2000,98.8380,0.7739,73.8600,98.2200
10700,0.6504,76.7720,98.9120,0.7556,74.3200,98.2700
10800,0.8457,70.4360,98.6280,0.9535,68.2000,98.2900
10900,0.7808,72.7780,98.6260,0.8917,70.8500,98.0800
11000,0.7779,73.1140,98.7460,0.8866,71.0900,98.1700
11100,0.7031,75.5400,98.5000,0.8112,73.1700,97.9200
11200,0.7595,73.5840,98.4560,0.8735,71.7800,97.5900
11300,0.6756,76.0520,98.9060,0.7887,73.8900,98.3200
11400,0.7217,74.7220,98.5780,0.8373,72.1400,97.9600
11500,0.6617,76.6200,98.8160,0.7807,73.8900,98.2600
11600,0.7894,73.4040,98.5500,0.9169,71.2600,97.9000
11700,0.7471,73.6500,98.8540,0.8736,70.6600,98.2400
11800,0.8769,71.8260,97.9120,1.0120,69.5200,96.9800
11900,0.7333,74.0140,98.8860,0.8564,71.1100,98.4300
12000,0.6976,75.5700,98.6800,0.8266,73.1300,98.2100
12100,0.5965,78.8760,99.0860,0.7260,76.0300,98.5000
12200,0.8431,70.9020,98.7840,0.9725,67.5700,98.3900
12300,0.8284,72.4680,98.3200,0.9565,70.7700,97.6800
12400,0.6639,76.6420,98.9960,0.8011,73.8700,98.3200
12500,0.7573,74.0080,98.7580,0.8939,71.5000,98.0200
12600,0.6125,78.0820,99.0920,0.7413,75.3900,98.4700
12700,0.6733,76.1700,99.0200,0.8105,72.9300,98.4300
12800,0.6713,76.6220,98.8100,0.8167,73.1700,98.1600
12900,0.7198,75.6660,98.6520,0.8697,72.8000,97.6400
13000,0.6644,76.5800,99.0360,0.8077,73.3700,98.5000
13100,0.8550,71.8780,98.6060,1.0171,69.1900,97.7100
13200,0.7077,76.0360,98.5960,0.8648,73.3200,97.8000
13300,0.6490,77.5200,98.9240,0.8012,74.5800,98.2700
13400,0.6420,77.5920,99.0120,0.7957,74.3600,98.4200
13500,0.6523,77.2280,99.0320,0.7989,74.0100,98.2600
13600,0.6461,77.6820,99.1320,0.7963,74.5900,98.5000
13700,0.7652,73.9200,98.8560,0.9159,71.0800,98.0500
13800,0.6872,76.5860,98.8500,0.8475,73.9800,98.1400
13900,0.6428,77.4160,99.0980,0.8014,74.1300,98.4900
14000,0.8431,73.2280,98.1140,1.0189,70.4600,97.1800
14100,0.6595,77.0720,98.9520,0.8231,73.2900,98.4200
14200,0.5668,79.8600,99.2940,0.7239,75.9800,98.6800
14300,0.5996,79.0620,99.1100,0.7650,75.3900,98.4100
14400,0.7140,75.2640,98.9660,0.8870,71.6500,98.3400
14500,0.6725,77.3640,98.9960,0.8394,73.9300,98.1700
14600,0.5853,79.3120,99.1200,0.7508,75.3800,98.5000
14700,0.6959,76.2040,98.9080,0.8772,72.4500,98.3000
14800,0.6351,77.9820,99.1160,0.8201,74.7200,98.4400
14900,0.5970,78.6780,99.1880,0.7705,74.8600,98.4300
15000,0.6679,77.0800,99.0120,0.8473,73.7600,98.3700
15100,0.6669,76.7280,99.1560,0.8467,73.1600,98.6100
15200,0.5733,79.9620,99.0700,0.7551,76.2500,98.3800
15300,0.7183,76.3080,98.9960,0.9033,73.4100,98.1200
15400,0.5687,79.7520,99.2200,0.7408,75.6000,98.5700
15500,0.6224,78.2440,99.2880,0.8166,74.2300,98.7400
15600,0.6921,76.6300,99.2260,0.8664,72.7200,98.4600
15700,0.5729,80.2940,99.2280,0.7586,76.3500,98.6100
15800,0.6570,76.9400,99.0620,0.8361,73.0400,98.3000
15900,0.7575,74.9280,98.8600,0.9519,71.3000,97.9800
16000,0.5701,80.0000,99.2440,0.7572,76.2100,98.3500
16100,0.7244,75.7040,98.8300,0.9183,71.9700,97.9900
16200,0.6368,78.5740,98.9540,0.8476,74.4000,98.1300
16300,0.5355,80.9860,99.3640,0.7277,76.7500,98.7100
16400,0.7503,75.5300,98.9680,0.9670,71.8700,98.0900
16500,0.7108,76.8540,98.8360,0.9304,73.2000,97.9700
16600,0.6536,78.6320,98.5880,0.8677,74.8600,97.6700
16700,0.5795,79.7560,99.2520,0.7739,75.6400,98.6100
16800,0.5341,81.3300,99.3540,0.7410,76.9600,98.7100
16900,0.5665,80.7260,99.1800,0.7860,76.1700,98.3700
17000,0.5971,79.0320,99.3040,0.7945,74.4500,98.6500
17100,0.5158,81.6560,99.4240,0.7202,76.9000,98.7700
17200,0.5453,80.6340,99.3900,0.7584,76.1200,98.7300
17300,0.4919,82.4960,99.4260,0.7076,77.9300,98.8000
17400,0.4860,82.5560,99.4800,0.7015,77.7600,98.8500
17500,0.5342,80.9100,99.3980,0.7542,76.4800,98.7200
17600,0.5825,79.5980,99.4220,0.7963,75.4900,98.7000
17700,0.5235,81.3880,99.4640,0.7474,76.6700,98.7900
17800,0.5232,81.1380,99.5180,0.7539,76.7400,98.8400
17900,0.7681,76.4580,99.0220,1.0054,72.4800,98.0500
18000,0.6153,79.1700,99.2720,0.8453,74.6500,98.4800
18100,0.5587,80.4660,99.3480,0.7875,75.7300,98.5400
18200,0.5628,80.7060,99.2360,0.7947,76.0100,98.2700
18300,0.4894,82.6240,99.4480,0.7245,77.5700,98.7600
18400,0.6024,79.1180,99.3920,0.8223,74.3700,98.4300
18500,0.5635,80.3180,99.4560,0.8043,75.8100,98.7500
18600,0.5785,80.2740,99.3280,0.8238,75.4900,98.4800
18700,0.5053,82.1480,99.4820,0.7417,77.3400,98.7100
