round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.2990,14.4460,50.0320,2.2987,14.7900,50.1100
200,2.2966,10.0000,51.5320,2.2960,10.0000,51.9600
300,2.3834,10.0000,50.0160,2.3826,10.0000,50.0600
400,2.7176,10.0000,50.1140,2.7173,10.0000,50.1200
500,2.6780,10.5100,50.4980,2.6764,10.6000,50.3600
600,2.7626,10.0000,50.4800,2.7572,10.0000,50.6200
700,2.8434,13.6220,49.9920,2.8413,13.6400,50.0000
800,2.5990,10.0500,49.9980,2.5969,10.0300,50.0000
900,2.5931,10.0280,50.0020,2.5886,10.0200,50.0300
1000,2.6639,12.6300,51.0440,2.6584,12.0700,51.2400
1100,2.4572,10.1260,53.1940,2.4549,10.1100,53.6100
1200,2.6613,12.4500,52.3560,2.6558,12.4700,52.0900
1300,2.6246,10.9220,50.8680,2.6205,11.2000,51.0100
1400,3.2209,10.0000,54.0420,3.2138,10.0000,54.0900
1500,3.0740,10.0660,51.3640,3.0691,10.0200,51.4400
1600,3.2703,10.0000,50.0040,3.2626,10.0000,50.0000
1700,2.7346,10.0180,53.8820,2.7325,10.0200,54.1100
1800,3.1447,10.0340,50.0000,3.1419,10.0200,50.0000
1900,3.3086,10.0000,51.0920,3.3017,10.0000,51.1600
2000,2.8693,11.6780,53.3040,2.8666,11.2600,53.3200
2100,3.0243,10.0000,52.8320,3.0160,10.0000,52.6600
2200,3.9174,10.0000,50.3140,3.9061,10.0000,50.2900
2300,3.0126,10.0000,56.4260,3.0029,10.0000,56.2200
2400,3.2980,10.0360,52.8060,3.2881,10.0100,52.8600
2500,3.0390,10.0000,53.6960,3.0312,10.0000,53.5900
2600,2.5454,10.0060,52.6320,2.5403,9.9500,52.7100
2700,2.5677,10.0000,57.0000,2.5651,10.0000,56.7000
2800,2.8409,14.2360,51.8260,2.8359,14.2900,51.6700
2900,2.9150,12.8400,54.0780,2.9130,12.8900,54.0800
3000,2.7031,10.0580,51.8040,2.6982,10.0800,51.7900
3100,2.8965,9.8940,51.6400,2.8898,9.9500,51.0800
3200,4.7588,10.0000,51.1140,4.7392,10.0000,51.2800
3300,3.3061,10.4160,50.0000,3.3006,10.4300,50.0000
3400,2.7723,10.0040,51.4720,2.7703,10.0100,51.4100
3500,3.3721,10.0000,51.6400,3.3673,10.0000,51.7400
3600,3.4116,10.0000,53.8140,3.4021,10.0000,54.3200
3700,3.5946,10.0020,53.6620,3.5857,10.0100,53.7100
3800,3.8017,10.0000,51.7420,3.7967,10.0000,51.8400
3900,3.2395,10.1480,53.3920,3.2368,10.1400,53.7400
4000,4.0246,10.0000,51.4120,4.0142,10.0000,51.6500
4100,2.9899,10.8840,50.8000,2.9842,10.9400,50.8800
4200,3.4165,10.0840,54.0820,3.4096,10.1300,54.0800
4300,3.4702,10.0000,52.6880,3.4676,10.0000,52.7500
4400,3.0067,10.0000,53.2780,3.0014,10.0000,53.3900
4500,2.6949,15.6780,53.7360,2.6890,15.6800,53.7000
4600,4.2500,10.0020,50.0000,4.2325,10.0000,50.0000
4700,3.1104,10.0000,55.2280,3.1026,10.0000,55.4800
4800,3.2393,10.6500,50.1820,3.2353,10.5100,50.1500
4900,4.1710,10.0000,51.3820,4.1566,10.0000,51.3800
5000,2.7356,10.0000,56.2740,2.7312,10.0000,56.2900
5100,3.2350,13.8040,50.0000,3.2298,13.6200,50.0000
5200,3.1207,11.5940,54.0700,3.1118,10.9900,53.8300
5300,2.5758,10.7160,52.3800,2.5709,10.5800,52.4900
5400,2.9760,10.0000,56.2680,2.9716,10.0000,56.4600
5500,5.3703,10.0000,50.4980,5.3493,10.0000,50.4400
5600,3.5495,10.0000,50.0820,3.5464,10.0000,50.0500
5700,3.6671,10.0000,53.5140,3.6559,10.0000,53.4600
5800,3.2309,11.0220,50.0600,3.2209,10.9000,50.0500
5900,2.5797,10.3740,54.4920,2.5752,10.3200,54.7600
6000,2.9356,12.4240,50.0060,2.9308,12.4900,50.0000
6100,2.8862,10.0000,50.1280,2.8825,10.0000,50.0800
6200,3.1288,10.0000,52.9120,3.1197,10.0000,53.0400
6300,2.4818,14.6380,54.2120,2.4772,14.5100,54.2300
6400,2.8906,13.7520,53.9020,2.8884,13.9700,53.8000
6500,4.8406,10.0000,51.7580,4.8320,10.0000,51.7500
6600,3.4309,10.0000,53.6840,3.4212,10.0000,53.7200
6700,3.4594,10.0000,50.5640,3.4522,10.0000,50.7400
6800,2.9909,13.1080,50.0020,2.9853,13.2800,50.0100
6900,3.6302,10.8900,50.0040,3.6208,11.0600,50.0100
7000,3.0641,10.0000,55.0180,3.0539,10.0000,55.1200
7100,2.8386,10.0120,53.0340,2.8356,10.0000,53.2400
7200,3.3372,10.0000,50.2300,3.3272,10.0000,50.2400
7300,3.5544,10.0400,53.4040,3.5483,10.0400,53.4200
7400,2.9986,14.2960,50.6340,2.9946,14.5000,50.6000
7500,2.9643,10.0000,56.0480,2.9556,10.0000,56.3000
7600,2.9331,10.0000,50.8400,2.9310,10.0000,50.8600
7700,3.7939,10.0000,50.1100,3.7867,10.0000,50.0900
7800,3.5027,10.0000,51.2500,3.4907,10.0000,50.9600
7900,2.9154,11.3880,51.5840,2.9093,11.6100,51.6400
8000,2.8175,10.0360,51.2740,2.8125,10.0000,51.4000
8100,4.8349,12.2880,51.5500,4.8197,12.1300,51.7400
8200,3.4418,10.0000,53.4060,3.4357,10.0000,53.6000
8300,2.6993,10.5100,51.6460,2.6936,10.4800,51.6800
8400,4.3251,10.0000,53.2460,4.3123,10.0000,53.4900
8500,4.0207,10.1420,52.6480,4.0083,10.1600,52.6100
8600,3.1044,10.0060,54.6340,3.0966,10.0200,54.8800
8700,4.1955,10.0000,54.9540,4.1783,10.0000,55.1300
8800,4.2272,10.1180,54.2620,4.2178,10.1000,54.5200
8900,4.3535,10.0000,54.5460,4.3416,10.0000,54.5800
9000,4.6998,10.2140,50.1200,4.6849,10.0100,50.1000
9100,2.9361,10.8620,55.8960,2.9342,10.8600,55.6200
9200,2.8303,10.1660,50.2360,2.8267,10.1200,50.2000
9300,4.8356,10.0000,52.4840,4.8211,10.0000,52.3100
9400,2.9344,10.0000,54.4820,2.9320,10.0000,54.6300
9500,4.7232,10.0000,51.8140,4.7067,10.0000,51.8900
9600,2.7778,11.9760,53.1120,2.7766,11.9700,53.2600
9700,3.3131,10.0580,50.0240,3.3062,10.0600,50.0000
9800,3.7803,10.0000,50.9460,3.7708,10.0000,50.9400
9900,3.1805,10.0820,53.8340,3.1704,10.0300,53.9300
10000,4.7948,10.9420,52.9700,4.7792,10.6800,53.0000
10100,3.1959,10.0920,51.2560,3.1887,10.0900,51.5300
10200,3.1278,13.1740,50.4320,3.1213,13.4800,50.3900
10300,4.5972,10.0000,53.4600,4.5812,10.0000,53.4600
10400,3.1973,10.1660,52.8600,3.1882,10.1400,52.4600
10500,2.9548,11.8220,52.1460,2.9530,11.7000,52.3500
10600,2.9991,10.0000,51.2520,2.9940,10.0000,51.1900
10700,2.9817,10.0080,53.9820,2.9766,9.9900,53.9600
10800,3.0211,10.2280,55.1900,3.0157,10.2400,55.1300
10900,4.3435,13.3120,51.4220,4.3325,13.4300,51.4000
11000,3.1829,10.4060,53.5820,3.1812,10.3900,53.7200
11100,4.0906,10.0000,52.5840,4.0764,10.0000,52.5900
11200,2.8412,10.9940,54.2280,2.8373,11.1500,54.2800
11300,2.9246,10.0000,57.1780,2.9221,10.0000,57.5300
11400,3.1708,10.0000,53.9340,3.1666,10.0000,53.9900
11500,3.1783,10.0000,53.1540,3.1684,10.0000,53.2800
