round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.4630,10.0000,50.0256,2.4636,10.0000,50.0311
200,2.9273,11.8222,60.3467,2.9338,11.7333,60.3300
300,2.1383,16.5167,76.4444,2.1432,16.3156,76.3533
400,2.1060,15.1767,79.1444,2.1110,15.1211,78.6378
500,2.1251,19.5589,81.3178,2.1315,19.3733,81.1489
600,1.9721,21.5044,85.0056,1.9793,21.3611,84.6556
700,2.0041,18.6689,84.2300,2.0089,18.6467,83.6522
800,2.0795,23.4611,80.7400,2.0856,23.4967,80.3856
900,1.9262,29.7422,86.1444,1.9336,29.5611,85.6978
1000,2.0141,25.7244,80.0456,2.0228,25.4733,79.7967
1100,1.7927,28.5700,89.0633,1.8027,28.6000,88.7811
1200,1.7475,34.0378,87.2389,1.7570,33.5422,86.9600
1300,1.7268,35.1689,88.2633,1.7329,35.1478,87.9611
1400,1.9799,28.8056,80.4733,1.9908,28.3267,80.0922
1500,1.8544,30.1244,87.8156,1.8622,29.9289,87.4011
1600,1.7172,33.2156,88.8789,1.7260,33.1367,88.5000
1700,1.7295,35.9889,86.8156,1.7407,35.6656,86.4344
1800,1.6661,37.0111,89.3067,1.6806,36.4444,89.1478
1900,1.6390,37.8867,89.8044,1.6521,37.7222,89.3456
2000,1.9044,29.9589,88.8767,1.9185,29.7978,88.3889
2100,1.5826,40.3967,89.6122,1.5985,39.9911,89.4022
2200,1.7238,38.4889,89.2922,1.7381,38.1100,88.7156
2300,1.5002,44.2544,92.2833,1.5162,43.7233,91.9333
2400,1.5184,43.4800,92.1278,1.5345,42.8922,91.5567
2500,1.5710,43.1256,89.9700,1.5928,42.4711,89.6344
2600,1.5244,43.0089,90.7900,1.5437,42.4089,90.2767
2700,1.7245,38.4856,88.7467,1.7437,38.1356,88.2533
2800,1.4939,43.7289,93.3656,1.5151,43.1822,92.9700
2900,1.4991,45.3211,90.1600,1.5224,44.6233,89.6956
3000,1.7196,41.4144,85.4111,1.7369,40.9500,84.9633
3100,1.3954,48.7533,92.5856,1.4198,47.7156,92.0556
3200,1.4780,45.5267,93.9267,1.5071,44.7167,93.5700
3300,1.3179,50.4033,94.2356,1.3425,49.5967,93.7722
3400,1.9223,35.9867,86.3944,1.9528,35.4622,86.0944
3500,1.7163,42.3278,90.3556,1.7485,41.6678,89.8756
3600,1.2892,52.3744,94.5422,1.3189,51.4744,94.0600
3700,1.2519,53.5244,94.9033,1.2808,52.4611,94.3133
3800,1.3329,49.9567,94.9111,1.3572,49.1800,94.3700
3900,1.2429,53.3167,95.4756,1.2722,52.1922,95.0033
4000,1.2534,52.7822,94.9044,1.2835,51.8144,94.4389
4100,1.1856,56.8878,95.5089,1.2158,55.7889,95.0867
4200,1.4174,46.9244,94.3933,1.4490,46.2267,93.8589
4300,1.2650,53.3567,95.0033,1.2991,51.9733,94.5389
4400,1.3018,52.6822,94.2278,1.3364,51.4722,93.6511
4500,1.6338,42.8200,93.4722,1.6757,42.0833,92.9489
4600,1.2006,55.9967,95.7156,1.2350,54.8589,95.1022
4700,1.2727,52.8678,95.2156,1.3085,51.8322,94.7333
4800,1.1352,58.0256,96.1456,1.1737,56.7022,95.5444
4900,1.1934,55.0567,96.0900,1.2378,53.7689,95.4244
5000,1.2426,54.1178,95.4133,1.2802,53.1489,94.7733
5100,1.2377,54.9922,95.0022,1.2761,54.0711,94.2711
5200,1.3005,51.6467,95.9689,1.3416,50.6689,95.2833
5300,1.1932,56.1411,95.7033,1.2350,55.0178,94.9822
5400,1.2282,54.3978,95.0122,1.2724,53.2967,94.2600
