round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
100,2.2995,14.0244,49.7467,2.2996,13.9233,49.7033
200,2.3031,10.0633,50.0978,2.3036,10.0456,50.0744
300,2.4157,10.0000,51.8900,2.4156,10.0000,51.7622
400,2.6630,10.0256,49.9989,2.6617,10.0200,50.0000
500,2.5564,10.6767,51.0478,2.5551,10.5733,51.1522
600,2.5693,10.0000,53.9333,2.5699,9.9989,53.8900
700,3.1605,10.0000,50.0056,3.1613,10.0000,50.0089
800,2.7552,10.0000,50.8178,2.7529,10.0000,50.7944
900,3.2459,10.0000,50.0156,3.2467,10.0000,50.0133
1000,2.6848,10.0856,50.0000,2.6841,9.9911,50.0000
1100,2.9783,10.0000,50.1967,2.9772,9.9989,50.1756
1200,3.2610,10.0000,50.0167,3.2603,10.0000,50.0211
1300,3.0860,9.9967,50.1833,3.0876,10.0033,50.2156
1400,3.0059,10.5189,51.6478,3.0059,10.5467,51.4011
1500,4.1230,10.0000,50.1378,4.1194,10.0000,50.1700
1600,3.8222,10.0000,50.0000,3.8237,10.0000,50.0000
1700,3.4135,10.0000,51.1911,3.4134,10.0000,51.2378
1800,2.6697,10.0000,51.7311,2.6710,10.0000,51.7756
1900,3.1357,10.0000,54.1733,3.1359,10.0000,54.1911
2000,2.5023,10.0000,53.7978,2.5020,9.9978,53.7644
2100,2.7685,9.9678,50.2456,2.7671,9.9989,50.2433
2200,2.9399,10.0000,50.0378,2.9376,10.0000,50.0322
2300,2.9849,11.1033,50.9378,2.9846,11.0556,50.8811
2400,3.3726,10.1500,52.5022,3.3719,10.1389,52.3344
2500,3.0058,10.3078,50.1233,3.0053,10.2956,50.1078
2600,2.6656,10.0011,51.4611,2.6667,9.9989,51.4467
2700,3.6530,10.0000,51.1400,3.6493,10.0000,51.1744
2800,3.6053,10.0000,51.6722,3.6060,10.0000,51.6822
2900,3.3222,10.0000,52.8678,3.3251,10.0000,52.9044
3000,2.6368,11.1078,52.4267,2.6349,11.0322,52.4444
3100,2.6500,10.1678,52.1778,2.6501,10.1656,52.1311
3200,2.9311,10.0889,53.4022,2.9319,10.0956,53.3144
3300,2.7895,11.8144,53.9111,2.7885,11.8378,53.9400
3400,3.6922,10.0000,50.3800,3.6889,10.0000,50.3644
3500,4.9825,10.0000,50.4100,4.9826,10.0000,50.3633
3600,3.1227,10.0622,51.8289,3.1216,10.0456,51.8789
3700,3.2265,10.0000,53.1544,3.2269,10.0000,53.1844
3800,2.8242,10.0000,52.5711,2.8246,10.0000,52.5733
3900,3.5806,10.0000,52.6122,3.5807,10.0000,52.7122
4000,3.7843,10.0000,54.5822,3.7820,10.0000,54.4989
4100,2.9147,11.1756,51.4222,2.9149,11.2111,51.3967
4200,2.6365,10.0000,52.4689,2.6376,9.9989,52.4522
4300,2.8443,9.9922,51.5633,2.8444,9.9989,51.5500
4400,3.1051,10.6256,49.9944,3.1043,10.6089,49.9933
4500,3.3408,10.0000,53.3911,3.3392,10.0000,53.4900
4600,3.3009,14.4189,50.5611,3.3013,14.2267,50.5500
4700,3.2226,10.0067,51.9056,3.2222,10.0133,51.8756
4800,3.7471,10.0000,50.0756,3.7471,10.0000,50.0633
4900,3.6379,10.0000,52.5933,3.6383,10.0000,52.5789
5000,3.0547,11.3733,51.4844,3.0563,11.3922,51.4867
5100,2.8959,9.9911,54.3989,2.8983,9.9922,54.4000
5200,3.5424,10.0000,50.0589,3.5465,10.0000,50.0400
5300,3.6803,10.2511,51.9622,3.6763,10.2689,52.0422
5400,3.3563,10.0000,50.4311,3.3530,10.0011,50.4422
5500,3.0838,10.8500,52.2289,3.0839,10.7911,52.1500
5600,3.3136,10.0000,53.9667,3.3126,10.0000,54.0100
5700,5.2695,10.0000,50.1667,5.2698,10.0000,50.1444
5800,2.9404,12.8167,51.6922,2.9413,12.6978,51.8400
5900,3.1979,10.0000,49.9989,3.1970,10.0000,50.0011
6000,2.7811,10.5589,51.7189,2.7804,10.4867,51.6533
6100,3.3135,10.0067,51.2222,3.3111,10.0078,51.1256
6200,2.9043,10.0033,55.5289,2.9023,10.0044,55.5222
6300,2.9506,10.2056,52.2944,2.9514,10.3233,52.3578
6400,2.6474,13.0844,50.2600,2.6487,13.0211,50.2811
6500,5.1921,10.0000,50.1011,5.1966,10.0000,50.1033
6600,3.3475,10.0656,50.0000,3.3468,10.0467,50.0000
6700,2.9811,11.2800,52.5700,2.9827,11.1811,52.5811
6800,3.0232,10.0000,51.8644,3.0254,10.0000,51.9267
6900,3.9282,10.0033,51.0967,3.9274,9.9922,51.0589
7000,2.8030,10.0000,53.6244,2.8029,10.0000,53.5311
7100,3.8082,12.0589,50.0922,3.8077,12.0800,50.0778
7200,3.3893,10.0222,51.5522,3.3926,10.0167,51.6311
7300,3.0091,12.7989,50.3344,3.0096,12.7122,50.3056
7400,3.1761,10.4633,52.3544,3.1783,10.4856,52.3000
7500,4.1537,10.0133,50.0289,4.1517,10.0078,50.0256
7600,3.0614,10.0000,53.5678,3.0592,10.0000,53.5900
7700,3.2789,10.0011,51.3544,3.2749,10.0033,51.3544
7800,3.1742,14.5911,50.0233,3.1731,14.4944,50.0333
7900,3.4606,10.0011,52.0111,3.4624,10.0000,52.0656
8000,3.3592,10.2778,50.1489,3.3576,10.2522,50.1733
8100,2.6756,10.7944,52.1100,2.6752,10.7822,52.0489
8200,4.5034,10.0000,50.3000,4.5001,10.0000,50.2900
8300,2.6785,12.6056,51.6589,2.6784,12.6711,51.6567
8400,2.9251,10.0433,50.7178,2.9245,10.0189,50.6867
8500,3.0683,10.1411,53.6422,3.0681,10.1111,53.5244
8600,2.7695,10.5856,53.9122,2.7701,10.5722,53.8278
8700,3.4531,10.0000,50.1667,3.4529,10.0000,50.1333
