INFO:root:Namespace(m='logistic', d='mnist', s=2, R=1000, K=5, M=10000, P=10, partition='exdir', alpha=[1, 100.0], optim='sgd', lr=0.01, lr_decay=1.0, momentum=0.0, weight_decay=0.0, global_lr=1.0, batch_size=1, seed=0, clip=0, log='info+log', eval_every=10, device=0, start_round=0, save_model=0)
INFO:root:record_name: ShufflingFedAvg1.0_M10000_P10_K5_R1000,10_logistic_mnist_exdir1,100.0_sgd0.01,1.0,0.0,0.0_b1_seed0_clip0
INFO:root:Logistic(
  (flatten): Flatten(start_dim=1, end_dim=-1)
  (layer): Linear(in_features=784, out_features=10, bias=True)
)
INFO:root:Round 10's server train  acc:  57.06%, train loss: 1.4295
INFO:root:Round 10's server test   acc:  57.66%, test  loss: 1.4038
INFO:root:Round 20's server train  acc:  68.10%, train loss: 1.0634
INFO:root:Round 20's server test   acc:  69.13%, test  loss: 1.0382
INFO:root:Round 30's server train  acc:  78.91%, train loss: 0.8056
INFO:root:Round 30's server test   acc:  80.26%, test  loss: 0.7807
INFO:root:Round 40's server train  acc:  79.38%, train loss: 0.7303
INFO:root:Round 40's server test   acc:  80.48%, test  loss: 0.7037
INFO:root:Round 50's server train  acc:  79.45%, train loss: 0.6926
INFO:root:Round 50's server test   acc:  80.16%, test  loss: 0.6689
INFO:root:Round 60's server train  acc:  85.71%, train loss: 0.5844
INFO:root:Round 60's server test   acc:  86.49%, test  loss: 0.5614
INFO:root:Round 70's server train  acc:  80.67%, train loss: 0.6283
INFO:root:Round 70's server test   acc:  81.27%, test  loss: 0.6079
INFO:root:Round 80's server train  acc:  84.50%, train loss: 0.5434
INFO:root:Round 80's server test   acc:  85.31%, test  loss: 0.5225
INFO:root:Round 90's server train  acc:  85.31%, train loss: 0.5181
INFO:root:Round 90's server test   acc:  86.16%, test  loss: 0.4980
INFO:root:Round 100's server train  acc:  81.75%, train loss: 0.5615
INFO:root:Round 100's server test   acc:  82.43%, test  loss: 0.5450
INFO:root:Round 110's server train  acc:  81.48%, train loss: 0.5657
INFO:root:Round 110's server test   acc:  82.06%, test  loss: 0.5516
INFO:root:Round 120's server train  acc:  86.64%, train loss: 0.4739
INFO:root:Round 120's server test   acc:  87.65%, test  loss: 0.4536
INFO:root:Round 130's server train  acc:  86.58%, train loss: 0.4742
INFO:root:Round 130's server test   acc:  87.50%, test  loss: 0.4544
INFO:root:Round 140's server train  acc:  86.74%, train loss: 0.4636
INFO:root:Round 140's server test   acc:  87.23%, test  loss: 0.4463
INFO:root:Round 150's server train  acc:  86.86%, train loss: 0.4621
INFO:root:Round 150's server test   acc:  87.59%, test  loss: 0.4429
INFO:root:Round 160's server train  acc:  85.65%, train loss: 0.4665
INFO:root:Round 160's server test   acc:  86.34%, test  loss: 0.4507
INFO:root:Round 170's server train  acc:  87.59%, train loss: 0.4414
INFO:root:Round 170's server test   acc:  88.16%, test  loss: 0.4268
INFO:root:Round 180's server train  acc:  86.41%, train loss: 0.4692
INFO:root:Round 180's server test   acc:  87.03%, test  loss: 0.4505
INFO:root:Round 190's server train  acc:  88.35%, train loss: 0.4147
INFO:root:Round 190's server test   acc:  88.79%, test  loss: 0.3981
INFO:root:Round 200's server train  acc:  87.45%, train loss: 0.4324
INFO:root:Round 200's server test   acc:  87.96%, test  loss: 0.4165
INFO:root:Round 210's server train  acc:  88.24%, train loss: 0.4104
INFO:root:Round 210's server test   acc:  88.92%, test  loss: 0.3967
INFO:root:Round 220's server train  acc:  87.28%, train loss: 0.4277
INFO:root:Round 220's server test   acc:  87.66%, test  loss: 0.4180
INFO:root:Round 230's server train  acc:  87.92%, train loss: 0.4207
INFO:root:Round 230's server test   acc:  88.24%, test  loss: 0.4107
INFO:root:Round 240's server train  acc:  88.57%, train loss: 0.4019
INFO:root:Round 240's server test   acc:  88.68%, test  loss: 0.3905
INFO:root:Round 250's server train  acc:  88.87%, train loss: 0.3883
INFO:root:Round 250's server test   acc:  89.27%, test  loss: 0.3745
INFO:root:Round 260's server train  acc:  87.68%, train loss: 0.4109
