round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
1,2.4403,17.5983,48.6467,2.4348,18.0300,48.9800
2,2.4562,18.5450,49.1783,2.4620,17.8300,49.8000
3,2.5171,15.4650,53.2433,2.5400,13.9200,54.0100
4,2.3632,28.9950,53.6650,2.3730,28.8300,53.9500
5,2.1782,35.7150,59.0600,2.1844,35.9900,58.6000
6,2.2196,32.0217,66.3267,2.2493,31.1300,65.5500
7,2.1959,33.3467,66.3633,2.2143,32.7300,65.2400
8,2.1486,32.7100,67.4150,2.1685,32.6300,66.7300
9,2.0808,36.9100,67.5967,2.0942,36.9100,66.7900
10,2.0289,37.9783,69.4950,2.0416,38.1800,68.7900
