round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
10,2.3032,10.1900,54.1983,2.3033,10.0100,54.2000
20,2.2984,12.5767,64.7000,2.2984,12.2800,64.6900
30,2.2929,15.3067,68.1300,2.2931,15.0100,68.0700
40,2.2855,21.2250,70.3617,2.2856,20.9300,70.4100
50,2.2742,24.3333,71.1300,2.2744,24.0200,71.1200
60,2.2540,26.1133,72.9233,2.2544,25.9300,72.8300
70,2.2120,33.0233,79.9833,2.2126,32.9700,79.9800
80,2.1005,41.3767,90.6033,2.1018,41.3700,90.3900
90,1.7783,50.9267,92.0883,1.7809,50.4100,92.0600
100,1.3391,58.0200,93.7717,1.3449,57.4300,93.8600
110,1.1449,60.7250,95.1250,1.1525,60.3500,95.0500
120,1.0559,60.7733,96.5233,1.0633,59.8200,96.5400
130,0.9884,62.9533,97.6267,0.9987,62.8000,97.5200
140,0.9309,66.1800,98.1667,0.9416,65.7600,98.0800
150,0.8932,67.2450,98.5383,0.9062,66.6500,98.4000
160,0.8627,68.5150,98.6833,0.8751,67.7600,98.5300
170,0.8399,69.5767,98.8500,0.8532,69.1900,98.8100
180,0.8154,70.2467,98.9650,0.8328,69.1000,98.9000
190,0.7929,70.8900,99.0183,0.8086,70.2600,98.9200
200,0.7759,70.4633,99.1133,0.7906,69.9000,99.0500
210,0.7557,72.1067,99.1583,0.7715,71.3800,99.0900
220,0.7465,72.5100,99.1450,0.7598,71.9200,99.2300
230,0.7363,71.8733,99.1983,0.7544,71.0100,99.1800
240,0.7218,73.4050,99.2050,0.7361,72.6800,99.3100
250,0.7070,73.9150,99.2683,0.7251,72.9000,99.3100
260,0.6994,73.4917,99.2533,0.7180,72.7100,99.3300
270,0.6951,74.0983,99.2950,0.7150,73.4100,99.3400
280,0.6806,74.7150,99.3433,0.6992,74.2400,99.3600
290,0.6688,74.3133,99.3483,0.6887,73.6700,99.4000
300,0.6661,74.2783,99.3617,0.6869,73.2000,99.4100
310,0.6558,74.8483,99.3733,0.6760,74.0000,99.4200
320,0.6450,75.3233,99.4000,0.6660,74.4400,99.3900
330,0.6420,75.3767,99.4033,0.6642,74.4500,99.4000
340,0.6416,75.2683,99.4083,0.6638,74.1600,99.4200
350,0.6302,76.0483,99.4150,0.6528,74.9200,99.3800
360,0.6178,76.3333,99.4283,0.6391,75.4200,99.4200
370,0.6202,76.3967,99.4333,0.6404,75.6800,99.4000
380,0.6086,76.8817,99.4350,0.6312,75.5800,99.4100
390,0.6025,77.1400,99.4733,0.6239,76.4600,99.3900
400,0.5980,77.2867,99.4600,0.6199,76.3000,99.3700
410,0.5933,77.4517,99.4950,0.6153,76.5500,99.4300
420,0.5903,77.4900,99.4700,0.6133,76.8100,99.4000
430,0.5896,77.8983,99.4950,0.6141,76.7000,99.4200
440,0.5816,77.6433,99.5100,0.6038,76.6800,99.4500
450,0.5754,78.1817,99.4967,0.5992,77.2700,99.4200
460,0.5710,78.1950,99.5083,0.5948,77.4800,99.4100
470,0.5680,77.6967,99.5183,0.5923,76.6600,99.4300
480,0.5657,78.4933,99.4883,0.5899,77.5700,99.4000
