round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
10,0.8665,72.2183,98.5200,0.8815,70.9200,98.4800
20,0.7263,75.9333,99.0917,0.7438,75.0600,98.9100
30,0.6645,77.7033,99.2317,0.6844,76.5400,99.1500
40,0.6282,78.7300,99.3150,0.6501,77.5300,99.2100
50,0.6020,79.5867,99.3750,0.6241,78.4000,99.3000
60,0.5863,80.1750,99.3750,0.6092,79.0200,99.3500
70,0.5678,80.5833,99.4083,0.5930,79.4900,99.3700
80,0.5578,81.0433,99.4167,0.5832,79.6700,99.4100
90,0.5464,81.4667,99.4417,0.5720,80.1500,99.4400
100,0.5390,81.6067,99.4433,0.5651,80.3600,99.4800
110,0.5311,81.8533,99.4500,0.5582,80.5000,99.4400
120,0.5249,82.0967,99.4650,0.5518,80.8400,99.4500
130,0.5203,82.0750,99.4783,0.5486,80.8000,99.5000
140,0.5130,82.5250,99.4717,0.5409,81.2300,99.5100
150,0.5081,82.6383,99.4917,0.5372,81.0600,99.5000
160,0.5083,82.3583,99.4817,0.5375,80.8800,99.5400
170,0.5017,82.8200,99.5017,0.5321,81.2500,99.5200
180,0.5002,82.9217,99.5050,0.5295,81.7200,99.5000
190,0.4938,83.1300,99.5083,0.5242,81.6100,99.5400
200,0.4914,83.2000,99.5200,0.5223,81.7400,99.5300
210,0.4878,83.3367,99.5050,0.5186,81.8700,99.5100
220,0.4852,83.3567,99.5183,0.5162,81.8100,99.5000
230,0.4837,83.3200,99.5033,0.5157,81.8200,99.5300
240,0.4804,83.6033,99.5117,0.5116,82.0500,99.5300
250,0.4773,83.6750,99.5083,0.5096,82.0700,99.5400
260,0.4774,83.6700,99.5233,0.5085,82.2300,99.5500
270,0.4740,83.7417,99.5167,0.5078,82.1300,99.5600
280,0.4715,83.8333,99.5267,0.5037,82.2300,99.5500
290,0.4708,83.8950,99.5200,0.5038,82.2000,99.5400
300,0.4677,83.9817,99.5117,0.5008,82.2900,99.5200
310,0.4671,84.0300,99.5183,0.5006,82.3200,99.5400
320,0.4651,84.1483,99.5250,0.4980,82.4200,99.5500
330,0.4635,84.1867,99.5300,0.4973,82.5300,99.5300
340,0.4624,84.1633,99.5300,0.4964,82.4200,99.5500
350,0.4671,83.8683,99.5350,0.5018,82.2300,99.5700
360,0.4598,84.3167,99.5300,0.4936,82.6200,99.5400
370,0.4601,84.2917,99.5500,0.4940,82.6300,99.5500
380,0.4568,84.4217,99.5233,0.4907,82.7000,99.5700
390,0.4615,84.1483,99.5300,0.4958,82.6200,99.5500
400,0.4554,84.5183,99.5250,0.4904,82.7800,99.5400
410,0.4544,84.5183,99.5217,0.4890,82.8400,99.5600
420,0.4525,84.5517,99.5433,0.4876,82.7800,99.5500
430,0.4524,84.5500,99.5350,0.4876,82.8400,99.5500
440,0.4508,84.5317,99.5200,0.4861,82.6700,99.5500
450,0.4500,84.6383,99.5267,0.4856,82.9300,99.5500
460,0.4494,84.6300,99.5383,0.4863,82.9300,99.5600
470,0.4493,84.5717,99.5350,0.4857,82.8500,99.5600
480,0.4480,84.6483,99.5233,0.4838,82.9400,99.5500
490,0.4464,84.6600,99.5467,0.4826,82.9200,99.5500
500,0.4490,84.6650,99.5300,0.4850,82.9300,99.5600
510,0.4445,84.8550,99.5350,0.4813,83.0600,99.5600
520,0.4451,84.7700,99.5350,0.4820,82.9600,99.5700
530,0.4455,84.6033,99.5450,0.4834,82.7100,99.5600
540,0.4419,84.9100,99.5350,0.4786,83.0300,99.5700
550,0.4423,84.8600,99.5300,0.4792,82.9800,99.5300
560,0.4412,84.9100,99.5233,0.4786,82.9300,99.5600
570,0.4422,84.8167,99.5450,0.4802,82.7700,99.5700
580,0.4406,84.8100,99.5417,0.4782,83.0600,99.5800
590,0.4398,84.9450,99.5333,0.4773,83.0200,99.5700
600,0.4387,84.9567,99.5400,0.4756,83.1600,99.5800
610,0.4386,84.9983,99.5467,0.4768,83.1600,99.5400
620,0.4405,84.8900,99.5417,0.4781,83.1200,99.5400
630,0.4376,85.0800,99.5333,0.4752,83.2400,99.5800
640,0.4362,85.0500,99.5350,0.4747,83.1400,99.5700
650,0.4349,85.1600,99.5417,0.4733,83.1700,99.5800
660,0.4347,85.1233,99.5367,0.4738,83.2100,99.5300
670,0.4355,85.1583,99.5433,0.4750,83.3600,99.5300
680,0.4345,85.0933,99.5417,0.4732,83.2600,99.5500
690,0.4366,85.0150,99.5467,0.4744,83.3200,99.5500
700,0.4330,85.2133,99.5500,0.4717,83.3800,99.5700
710,0.4336,85.0917,99.5417,0.4730,83.0700,99.5500
720,0.4332,85.1850,99.5467,0.4717,83.4600,99.5300
730,0.4320,85.1233,99.5450,0.4712,83.2100,99.5700
740,0.4337,85.0967,99.5467,0.4729,83.2200,99.5300
750,0.4313,85.2350,99.5533,0.4706,83.3800,99.5500
760,0.4294,85.3117,99.5517,0.4686,83.3800,99.5500
770,0.4297,85.2333,99.5500,0.4695,83.5100,99.5500
780,0.4318,85.1567,99.5517,0.4709,83.3400,99.5600
790,0.4289,85.1817,99.5583,0.4691,83.3800,99.5300
800,0.4277,85.2767,99.5583,0.4675,83.3000,99.5700
810,0.4285,85.2367,99.5583,0.4687,83.3300,99.5700
820,0.4266,85.3250,99.5550,0.4665,83.3500,99.5600
830,0.4270,85.2633,99.5567,0.4677,83.2200,99.5800
840,0.4271,85.3617,99.5567,0.4676,83.4300,99.5200
850,0.4279,85.2933,99.5683,0.4677,83.2900,99.5800
860,0.4266,85.2983,99.5550,0.4672,83.3100,99.5900
870,0.4267,85.2867,99.5550,0.4679,83.2900,99.5900
880,0.4257,85.3500,99.5533,0.4667,83.5400,99.5900
890,0.4259,85.3867,99.5600,0.4667,83.4900,99.5100
900,0.4235,85.4200,99.5600,0.4643,83.5100,99.5800
910,0.4256,85.2750,99.5567,0.4672,83.1400,99.5900
920,0.4231,85.4467,99.5617,0.4642,83.6500,99.5300
930,0.4240,85.3617,99.5617,0.4653,83.4600,99.5600
940,0.4249,85.3817,99.5633,0.4654,83.3900,99.5500
950,0.4222,85.5100,99.5700,0.4629,83.6700,99.5300
960,0.4234,85.3817,99.5700,0.4649,83.4100,99.6000
970,0.4222,85.5433,99.5800,0.4631,83.8100,99.5500
980,0.4219,85.4550,99.5633,0.4633,83.4800,99.5700
990,0.4214,85.5417,99.5667,0.4631,83.5600,99.5500
1000,0.4210,85.4717,99.5667,0.4628,83.5900,99.5900
