round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
50,2.1998,16.6900,68.6220,2.1976,16.8800,68.6200
100,1.9576,28.1020,83.3460,1.9506,28.9400,83.3900
150,1.7074,37.9560,89.0080,1.7072,38.0500,89.0100
200,1.7837,32.2360,87.5300,1.7789,32.3000,87.4700
250,1.6127,38.4740,91.1260,1.6145,38.0400,91.1000
300,1.5790,40.9440,91.3320,1.5813,41.1400,90.9300
350,1.4522,46.6960,93.3780,1.4611,46.4000,93.1600
400,1.3500,50.4240,94.1620,1.3563,50.0800,94.1100
450,1.4030,49.6660,92.7700,1.4033,49.8400,92.3000
500,1.4279,46.4280,93.6700,1.4321,46.1800,93.5700
550,1.2354,56.5400,94.8820,1.2477,56.2300,94.7600
600,1.2438,54.9700,94.9720,1.2564,54.6800,94.6100
650,1.1659,58.1200,95.9960,1.1790,58.1100,95.9200
700,1.2096,54.9880,96.2040,1.2395,54.7200,95.8600
750,1.0998,60.7460,96.2300,1.1259,59.6800,96.0100
800,1.1737,57.2560,95.6880,1.2003,56.9400,95.3600
850,1.1057,59.3960,96.7540,1.1371,58.1900,96.4700
900,1.1208,59.7140,96.3900,1.1497,59.2100,95.9300
950,1.0554,61.9400,96.9960,1.1022,61.0800,96.2500
1000,1.0854,60.3360,96.7120,1.1257,59.4500,96.0200
1050,0.9835,64.9380,97.2360,1.0296,63.5500,96.7400
1100,0.9554,65.7220,97.4120,1.0017,64.5600,96.9200
1150,0.9783,65.6060,97.2960,1.0347,64.5600,96.6500
1200,1.0782,61.3860,96.8640,1.1303,60.7400,96.0900
1250,0.9578,65.6640,97.4300,1.0222,63.8200,96.9200
1300,0.8820,69.0040,97.8640,0.9533,67.1500,96.9700
1350,0.8015,71.4740,98.1620,0.8751,69.6000,97.3700
1400,0.8433,69.7060,98.1740,0.9124,67.7700,97.3200
1450,0.9742,64.8720,97.8620,1.0525,62.4600,97.0700
1500,0.8050,71.8140,98.1060,0.8843,69.9800,97.3200
1550,0.8298,70.6880,97.7880,0.9102,68.9900,96.8700
1600,0.8017,71.7680,98.1840,0.8896,69.3000,97.2100
1650,0.7725,72.1840,98.5140,0.8562,69.6800,97.6100
1700,0.7690,72.7420,98.2300,0.8573,70.6600,97.3300
1750,0.7510,73.5140,98.3780,0.8501,70.9500,97.3600
1800,0.7450,73.3260,98.5680,0.8360,70.7200,97.7300
1850,0.7270,74.0740,98.5260,0.8299,71.2900,97.3000
1900,0.7550,73.0020,98.5140,0.8569,70.2300,97.6500
1950,0.7115,74.5880,98.7440,0.8261,71.4900,97.5500
2000,0.6755,76.2640,98.8520,0.7833,72.8100,97.9900
2050,0.7242,74.1840,98.6700,0.8260,71.3100,97.7300
2100,0.7585,72.9020,98.4560,0.8682,69.6900,97.4700
2150,0.7197,74.3320,98.8780,0.8255,70.9300,97.9200
2200,0.7044,74.6380,98.7980,0.8271,71.1500,97.7700
2250,0.7035,74.8420,98.7160,0.8291,71.2600,97.7700
2300,0.8451,68.9660,98.8060,0.9774,66.1500,97.7600
2350,0.6271,77.6660,98.9940,0.7596,73.9200,97.9200
2400,0.6045,78.3820,99.1900,0.7294,74.7100,97.9500
2450,0.7394,73.2060,98.8700,0.8726,69.3600,97.6300
2500,0.6307,77.4620,99.0700,0.7693,73.7100,97.7900
2550,0.6330,77.3740,99.0980,0.7727,73.3200,98.1700
2600,0.6078,78.2500,99.0420,0.7477,74.6000,97.8400
2650,0.6051,78.4620,99.1620,0.7503,74.3900,98.0500
2700,0.6693,75.6800,98.9560,0.8136,71.7000,97.8300
2750,0.6124,77.9000,99.2320,0.7648,73.6000,98.1800
2800,0.6260,77.9500,99.1020,0.7742,73.8900,97.7500
2850,0.6018,78.8600,99.0940,0.7679,74.2200,97.8700
2900,0.6233,77.4540,99.2500,0.7881,73.0900,98.0200
2950,0.6119,78.5480,98.8900,0.7758,74.6500,97.5900
3000,0.5847,79.5800,98.9900,0.7516,75.4400,97.6800
3050,0.5623,79.6500,99.4140,0.7350,75.0400,98.2400
3100,0.6013,78.3960,99.1520,0.7849,74.4600,97.7600
3150,0.5810,79.0460,99.3120,0.7567,74.3600,98.0900
3200,0.5853,79.3780,99.0920,0.7638,74.9000,97.7500
3250,0.5237,81.4860,99.4000,0.7187,76.1300,98.0200
3300,0.5648,79.8660,99.2700,0.7627,74.7800,97.8100
3350,0.5581,80.1480,99.2960,0.7457,75.2100,98.1000
3400,0.5205,81.3740,99.3780,0.7159,76.0400,98.1500
3450,0.6058,78.0540,99.3920,0.8188,72.8400,98.1200
3500,0.5191,81.3160,99.4780,0.7163,75.9800,98.2100
3550,0.4955,82.2780,99.5720,0.7001,76.5400,98.2000
3600,0.5139,81.2960,99.5380,0.7302,75.8900,98.0600
3650,0.5044,81.8140,99.5040,0.7155,76.2700,98.0600
3700,0.5661,79.5380,99.3940,0.7860,73.9100,97.9200
3750,0.4830,82.7520,99.5740,0.6972,76.7200,98.3600
3800,0.4681,83.1980,99.6420,0.6943,77.2100,98.3200
3850,0.4781,82.6660,99.6380,0.6964,76.7700,98.2900
3900,0.5011,82.1360,99.4780,0.7228,76.0000,98.1200
3950,0.4649,83.4900,99.6040,0.6828,77.4900,98.3700
4000,0.5027,82.1260,99.4480,0.7369,76.2900,98.0700
4050,0.5361,80.6940,99.4000,0.7700,75.4500,97.8800
4100,0.5571,79.5980,99.5980,0.7987,73.5000,98.1500
4150,0.4845,82.5500,99.5360,0.7285,76.4100,98.1700
4200,0.4883,82.6120,99.5460,0.7332,76.0200,98.2900
4250,0.4334,84.3580,99.6940,0.6737,77.8700,98.3500
4300,0.4388,84.1920,99.6680,0.6885,77.5700,98.2600
4350,0.4672,83.0240,99.6520,0.7135,76.8600,98.3000
4400,0.5032,81.5880,99.6560,0.7473,74.9600,98.3100
4450,0.4229,84.5300,99.7700,0.6715,77.7600,98.3900
4500,0.4893,82.5740,99.5800,0.7638,75.1900,97.9200
4550,0.4320,84.5280,99.6800,0.6806,77.6100,98.2300
4600,0.4077,85.3440,99.7400,0.6684,78.1700,98.4200
4650,0.4200,84.7660,99.7020,0.6691,77.7600,98.3800
4700,0.5610,79.4480,99.6860,0.8163,73.1800,98.2900
4750,0.4372,84.1120,99.7360,0.7019,77.2400,98.2800
4800,0.4478,84.0640,99.6320,0.7129,76.9400,98.2300
4850,0.4709,82.7020,99.6820,0.7429,75.9100,98.2700
4900,0.4134,85.0400,99.7500,0.6799,77.5500,98.2900
4950,0.4157,85.0400,99.7660,0.6902,77.2500,98.2800
5000,0.4498,83.8060,99.7000,0.7243,76.3200,98.2100
