round,param_error,order_error
1,4825366774.73371124267578125000000000000000,101.71300139974790965879947179928422
2,115396205207743392.00000000000000000000000000000000,61428963875.97068023681640625000000000000000
3,616173590348555354112.00000000000000000000000000000000,3111815094895683072.00000000000000000000000000000000
4,505238181584378469023744.00000000000000000000000000000000,8189191859267142942720.00000000000000000000000000000000
5,2544815500434325973528039391232.00000000000000000000000000000000,8683063750729572471013376.00000000000000000000000000000000
6,58630991305785636680479277056.00000000000000000000000000000000,35528187487108149923431338475520.00000000000000000000000000000000
7,19152741885555455218816122880.00000000000000000000000000000000,887265120335485545589361344512.00000000000000000000000000000000
8,9644457024984888495035693061642991435776.00000000000000000000000000000000,331297758421359993562157023232.00000000000000000000000000000000
9,1379678154234498159400499460074961266287795240960.00000000000000000000000000000000,117037243451793221406518885378305864761344.00000000000000000000000000000000
10,39736133187930936270766870430859207347837861888.00000000000000000000000000000000,16095092921274442245556082034984282001317778423808.00000000000000000000000000000000
11,11853138086809076556589529254544960301167850950225821696.00000000000000000000000000000000,661336966033475464412102634232627298052962516992.00000000000000000000000000000000
12,27772534726343174396044757491797276999791971049586258847203328.00000000000000000000000000000000,274258208426974221060792873291419739320687405936408526848.00000000000000000000000000000000
13,3663249548913194883413033109787400891262188153451749819417624576.00000000000000000000000000000000,774379579723574735275696211763951977687520946113097814807412736.00000000000000000000000000000000
14,36634865891214572788896023739476150427958142652367055771470223292497920.00000000000000000000000000000000,50897382307446569464883070317459538462346084520223829816093179904.00000000000000000000000000000000
15,699955571416826762810542061580375960733408235110065140111312387309568.00000000000000000000000000000000,380425355230445223640462533755887099704663929003253118171417132461457408.00000000000000000000000000000000
16,6780567617049637621048397869365628373704554081942870851819958518551674880.00000000000000000000000000000000,11423540898122823826750062855239486398290491576139041015855535750119424.00000000000000000000000000000000
17,16591743105346690817607323715957789438042703970205469054216417646629880206626652160.00000000000000000000000000000000,86413564732548282071461365862898263349256835791686014041974343305644736512.00000000000000000000000000000000
18,2128622614971192043212964371001972649026959998211369152241726666810432508973613739671552.00000000000000000000000000000000,150645496062763366318232417018881053767271922146237679898030973693398793332495220736.00000000000000000000000000000000
19,880202245717692453333429282877801447190268185215103709997705624908514164204617575873631154601984.00000000000000000000000000000000,35941455916718434076928654598015154444651089571211416892301549947350787035402902941204480.00000000000000000000000000000000
20,87628372190776059718848079586932370413299726740603754768417456585207884536314785300178052946327318298624.00000000000000000000000000000000,15208939255578038266007784166635055578721030678548333335369409819885086607472970458614758230720512.00000000000000000000000000000000
21,198568046869400731354014590763511017044573676201264871258663713639744134590869106854731701443550674253637023170560.00000000000000000000000000000000,1228192837678841052561007555235348383336267313811640889227013999172009818009756802502852866563616477806592.00000000000000000000000000000000
22,4453945012987126281046455659392873177129641998754213155544431301005137260625604466421149164407336826796169311481579085758464.00000000000000000000000000000000,4403642180657544088139654253759671192386487481342548256108838740591144081803857000973762677562595390127567439659008.00000000000000000000000000000000
23,1027008832635882343826905067507473329921858550660214758670772688835373972736697013243039051038224239291550140354784203885491781632.00000000000000000000000000000000,49355460648136661961618069139613651807374293490231904330373120040503492450451533803941774644417768406036439066938169366675456.00000000000000000000000000000000
24,7450750046111158785841044506816898642463645910562672633201369084545656563159794530545743447584858958229571174244497717741037289472.00000000000000000000000000000000,6248503105582453394536782812595144717412039902934718761428995036283398100053345429324438939784977203920941205408469622807936892928.00000000000000000000000000000000
25,57137345513469842754626765802397310003393082139328592149397263822524035862774634038523403236774189451783208064991121530421248.00000000000000000000000000000000,90705389625253994431087039673827020914608332235279144949947089595065265136155382934952601871297213224313079721463269679029060370432.00000000000000000000000000000000
26,1066404600848348898939078595650991440704438474033467176660810193151949185298199885274891559477715252422559868863456894190188440463647703040.00000000000000000000000000000000,1112823324448898947053723783567147036781444316032000410171631364310553436018204978985215618377930774059410507934043429526306816.00000000000000000000000000000000
27,290946617126677612691453747488032224394117266504823747581479635851019893724662604476243296232717774712808474257646598434249422671648232537141018624.00000000000000000000000000000000,11561754385501330470050586096845002953089706499810746559118045228013140665496774278740315977548241738322058722478779124971127118789815042048.00000000000000000000000000000000
28,44632040463928524837307216106556075920204967330120362567751498554720536510264144935672500216644530562833105697216695667685071686869011902844895232.00000000000000000000000000000000,2852164072725523305418529072851327121393669896835260037892349938353163281086024215571658220482098494230563441935090070102317626241387598734052818944.00000000000000000000000000000000
29,7779269012889226675438376233050644681091907933054966615879189988631358369787829595225929659313443554384565180014782467707308231599340077226027219156992.00000000000000000000000000000000,912386889057904784809908895442297830582405314761096163731220150258213666940862692033685135736507867421811923498626094303184947626215226928638459904.00000000000000000000000000000000
30,209913292968445225110221450453293218431760235267155133232559184425929905540616921085385988128471777394533219871739800133207764476197518640295646460903424.00000000000000000000000000000000,92085212204927907983865002604625977424994416678349408537880181551409626528841942259536968187939462206098676457508900648262031053120202401136603719270400.00000000000000000000000000000000
31,inf,2542524669141088010687101919024824116092873939417393362786119885287386120814796764634905634504328209418326469126751373192026007692724183606069353540222976.00000000000000000000000000000000
32,inf,117299546619877105839470301398372344422551118540970058161512960120233437605911319385008670779875990108421216859889693034771792555215445877606170221286560293191680.00000000000000000000000000000000
33,inf,276081304829266945578034119154162505203136813603274171288902646229410149484695785914763574286105819894494210661155053619277324418188137624890959940130939221883126672261120.00000000000000000000000000000000
34,inf,11297259791967649487766233909735293713708954371665847499064277899943447447004493489169778248722423412683386303504208716932769958551287617909300015515889723567142162214682624.00000000000000000000000000000000
35,inf,513139514816238420077825599893439503200793691050282116228362040498504225473211173198210483246241805796058870292572232934235240604927511470800280621976160974043457989574811189248.00000000000000000000000000000000
36,inf,750728253451811459494676705988635353622085005956024616635627306719268690501849238155266489985758712996624357840938751709531974563161032965366772104736483508738567538036518169375408128.00000000000000000000000000000000
37,inf,10010879572907242493448030829864516905661394622118968131976590865940143768393538001172117068987657165646743134307785658312004084332349670945998824367336418260217191672800150195338941865390384349184.00000000000000000000000000000000
38,inf,1242359465405218595301679967066488573205632035377158236621002415976583524201794592911836663486743932910939098299458984439275728895283677335971613243695265623831225878720273026594978126327040704512.00000000000000000000000000000000
39,inf,35170703464518231772323166373102673682079809155194234184132591659366002606596945963824010861292829586163110576979023936355009126893378100044343941077994812855013247759890948834224179773440.00000000000000000000000000000000
40,inf,5207392186177635176957157908494560256355995908690598401317559263281965047146485048378939826932444290532019192972874948697547387636015454792282397926933107113847867998325137109347928922652672.00000000000000000000000000000000
41,inf,259122873104120641214317606166754724058847018957967687334937783819874104281922273038702320367425528678407338199389677695909746458279724055156047451263797530916864844921518818507250745502334976.00000000000000000000000000000000
42,inf,401248496623544078894127190503144421486516410565379956128467184329798450513652736490915988376338624658567177807118922923483437295559004719766074621124889912708507700863257303707141577327694724464640.00000000000000000000000000000000
43,inf,2069674580772497835776279998725568109446516589761937443926648955117754339074858199942134001692557625148930635272681558178066742155248147910364353214697032897371422029296536565519000242271834631974158336.00000000000000000000000000000000
44,inf,2341580924517071325991107072235041494467915474756586016053674706160662878189179842736968492423403200783391310783061024505044044707016515313117410470567725188687959096005962178918625609842537342504940358560907264.00000000000000000000000000000000
45,inf,64469930149811385827857652340277478748813750915885005733861684886452572852044176879275802007376788166377363955075091611532259282656064301463941329048066055074286126965486698057481959542200807824263250121926816900841472.00000000000000000000000000000000
46,inf,49940193242951224252657541467645144322736410745944460802853351612943123662711358528529354062395296632984525790051975857892319191212408354222276318702225884486764882643944373492683663062750775214109025780660110634619598809333760.00000000000000000000000000000000
47,inf,1259932292734830903292917332021273954446383573849326246674499155681584320248620252334244363282837345294983364501950398579198768763272610363102545239510716789504067898067186546835141520554964532635094052626255515540586057614902152921088.00000000000000000000000000000000
