round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
1,1.6294,39.9580,90.0260,1.6237,40.1600,90.5400
2,1.4568,46.7460,92.2900,1.4656,46.5200,91.7800
3,1.3944,49.6140,93.0940,1.4128,49.2700,92.6500
4,1.2990,52.1680,94.3660,1.3163,51.3800,94.0800
5,1.2725,53.8760,94.9180,1.3071,52.9200,94.5400
6,1.2199,56.8620,95.2140,1.2588,55.4600,94.9100
7,1.1523,59.0440,95.7420,1.1952,57.3200,95.4500
8,1.1464,59.0020,95.7540,1.2060,56.8100,95.1200
9,1.0904,61.5700,96.2540,1.1421,59.9600,95.6700
10,1.0982,61.1880,96.3680,1.1613,58.7500,95.6700
11,1.0636,62.6360,96.4400,1.1289,59.8100,95.7900
12,1.0455,63.6500,96.5100,1.1156,60.9700,95.9200
13,1.0234,64.7240,96.9040,1.1078,61.2600,96.1700
14,1.0200,64.2820,96.8520,1.0998,61.4100,95.7200
15,1.0413,64.0780,96.5840,1.1261,61.2300,95.3200
16,0.9760,66.3480,97.2260,1.0757,62.7100,95.9300
17,1.0053,64.1900,96.8720,1.1027,61.0600,95.9000
18,0.9809,65.5720,97.1840,1.0812,62.3000,95.9600
19,1.0294,62.6020,97.0320,1.1274,59.7500,95.9100
20,0.9856,66.0700,97.2500,1.0897,61.6000,96.2900
21,0.9631,66.8140,97.1320,1.0710,62.2500,96.0600
22,0.9856,65.7740,97.1100,1.0955,61.2900,96.0400
23,0.9760,65.3960,97.2480,1.0893,61.7300,96.0700
24,0.9381,67.5980,97.4460,1.0487,63.7900,96.3300
25,0.9201,68.2560,97.4480,1.0354,63.8000,96.3100
26,0.9771,65.9600,97.0260,1.0928,61.4500,95.8600
27,0.9254,68.1660,97.6460,1.0297,63.8300,96.4900
28,0.9026,68.5860,97.5000,1.0198,64.5300,96.2300
29,0.8954,68.9380,97.5800,1.0140,64.7900,96.3800
30,0.9088,68.3360,97.4880,1.0281,64.3200,96.2300
31,0.8861,68.9620,97.6460,1.0130,64.6200,96.4000
32,0.9176,68.0520,97.5320,1.0350,64.1300,96.2400
33,0.9302,68.0580,97.3700,1.0486,63.8400,96.0200
34,0.9130,68.3860,97.3800,1.0255,64.2300,96.1100
35,0.9012,69.3300,97.5900,1.0234,64.7800,96.4800
36,0.8829,69.6020,97.6880,1.0040,65.3900,96.3400
37,0.9004,68.9880,97.4920,1.0265,64.6000,96.1300
38,0.9116,68.4800,97.3620,1.0406,64.2700,96.2300
39,0.8530,71.0100,97.7720,0.9746,66.1900,96.4700
40,0.9100,68.0240,97.7100,1.0429,63.1100,96.6300
41,0.8690,69.9900,97.8740,1.0021,65.1400,96.7900
42,0.9383,67.1360,97.2860,1.0513,63.9500,96.0700
43,0.8887,69.6920,97.8020,1.0189,64.9200,96.4800
44,0.8394,71.0940,97.9380,0.9714,66.5900,96.6900
45,0.8479,71.1580,97.7720,0.9761,66.7900,96.4100
46,0.8518,70.5660,97.9000,0.9806,66.0800,96.6800
47,0.8648,70.2780,97.8400,1.0032,65.0200,96.5300
48,0.8931,69.0040,97.6600,1.0222,64.6100,96.3400
49,0.8841,69.3180,97.8760,1.0190,64.9200,96.3700
50,0.8695,70.0180,97.9600,1.0034,65.0600,96.4300
51,0.8918,69.3180,97.3200,1.0160,64.5700,96.0000
52,0.8719,69.6680,97.7700,1.0010,65.1600,96.6800
53,0.8212,72.1200,98.0580,0.9518,67.1000,96.8200
54,0.8621,70.0260,97.9360,0.9886,65.5800,96.8300
55,0.8478,70.4840,98.0620,0.9822,66.4500,96.8500
56,0.9132,68.7420,97.2040,1.0492,64.1300,95.6600
57,0.8487,70.4280,98.0180,0.9838,65.6900,96.5700
58,0.8429,71.0760,97.8260,0.9813,66.0300,96.6600
59,0.8482,70.4460,97.8140,0.9877,65.8900,96.2500
60,0.8912,68.9980,97.6780,1.0304,64.9300,96.2400
61,0.8745,69.4440,97.8120,1.0079,65.1300,96.5700
62,0.8175,72.2400,98.2180,0.9520,66.6600,96.8200
63,0.8456,70.6360,98.0120,0.9861,66.3400,96.8200
64,0.8551,70.5240,97.8440,0.9874,66.4600,96.6600
65,0.8329,70.9780,98.0600,0.9683,66.4800,96.8000
66,0.8186,72.0500,98.1260,0.9547,67.0200,96.4800
67,0.8631,69.9780,97.8560,1.0073,64.8200,96.4000
68,0.8578,70.5680,97.6580,0.9948,65.9800,96.3100
69,0.8341,71.5360,98.0840,0.9737,66.1800,96.8200
70,0.8317,72.1560,97.8620,0.9640,67.3600,96.4900
71,0.9415,66.9780,97.0320,1.0750,62.8600,96.2100
72,0.8315,71.5380,98.0540,0.9669,66.9700,96.7800
73,0.8202,71.5960,98.0720,0.9633,67.0700,96.5900
74,0.8369,71.0540,98.0360,0.9811,65.8000,96.6300
75,0.8344,71.3260,97.9960,0.9773,66.5800,96.8000
76,0.8447,70.4260,97.9840,0.9997,65.2500,96.4400
77,0.8943,68.8400,97.3500,1.0308,64.4300,95.9700
78,0.8229,71.8780,98.0140,0.9690,66.4600,96.7400
79,0.8484,70.0600,98.0320,0.9857,65.5400,96.8300
80,0.8511,70.5120,97.8120,0.9906,65.6600,96.7400
81,0.8370,70.8240,98.0840,0.9810,65.7500,96.7500
82,0.8568,70.2280,98.1280,0.9975,65.0900,96.6800
83,0.8243,71.6780,98.0100,0.9730,66.5800,96.7800
84,0.7983,73.0920,98.0900,0.9473,67.8000,96.9400
85,0.8282,71.6640,98.0660,0.9691,66.8900,96.8000
86,0.8292,71.3540,97.8740,0.9682,66.8300,96.6400
87,0.8492,71.1600,97.8720,0.9932,65.7700,96.4400
88,0.8633,70.5260,97.4860,1.0016,65.6300,95.9100
89,0.8236,72.1560,98.0640,0.9714,66.7100,96.9000
90,0.7984,73.2040,98.2200,0.9402,67.3300,96.8200
91,0.8620,70.4340,97.6300,0.9969,65.6100,96.3400
92,0.8974,68.5840,97.3560,1.0358,64.2500,96.2000
93,0.8133,72.4240,98.1740,0.9520,67.3300,96.8400
94,0.9567,66.1520,97.3220,1.1033,62.4300,95.9900
95,0.8374,71.2160,97.9900,0.9829,66.2200,96.7300
96,0.8458,70.7280,97.9400,0.9908,66.0900,96.7800
97,0.8127,72.0040,98.0220,0.9668,67.1200,96.6000
98,0.8174,72.1040,98.1300,0.9662,67.1000,96.6400
99,0.8642,69.9920,97.9020,0.9999,65.5700,96.7800
100,0.8031,72.6460,98.2380,0.9394,67.9900,97.1500
