round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
1,1.7749,32.5967,86.7333,1.7835,32.5178,86.1233
2,1.7017,35.4889,89.1622,1.7144,35.2733,88.5711
3,1.6803,37.3822,88.7478,1.6952,36.8078,88.2011
4,1.6939,34.8467,89.9478,1.7104,34.2833,89.2122
5,1.5704,41.3256,91.1311,1.5890,40.7844,90.5667
6,1.5521,42.3600,92.1256,1.5700,41.4811,91.4867
7,1.5490,42.8933,91.3967,1.5682,42.1944,90.7622
8,1.5421,42.2422,91.6644,1.5652,41.3533,91.0133
9,1.4913,44.1300,92.1800,1.5141,43.4744,91.5389
10,1.4675,45.3856,92.4611,1.4934,44.4833,91.7600
11,1.4637,47.0089,92.6844,1.4867,46.2211,92.0100
12,1.5375,42.1511,91.8978,1.5581,41.4111,91.2644
13,1.5152,45.1911,91.7856,1.5385,44.4456,91.1811
14,1.4603,45.9400,92.6489,1.4857,45.2600,92.0878
15,1.4367,47.6344,92.4244,1.4659,46.9533,91.7378
16,1.4620,46.1078,92.4911,1.4922,45.2722,91.7378
17,1.4481,47.5378,92.5633,1.4764,46.4244,91.8767
18,1.4141,47.9789,93.3111,1.4460,46.9589,92.6089
19,1.4044,48.6622,93.3800,1.4328,47.6644,92.7156
20,1.4787,44.9133,92.3144,1.5097,44.0211,91.6811
21,1.5321,43.1033,90.6433,1.5607,42.3867,89.8989
22,1.5761,43.4333,89.4956,1.6043,42.4233,89.0778
23,1.4103,47.9411,93.1022,1.4415,46.6767,92.3700
24,1.4340,46.8022,92.8256,1.4648,45.7989,92.1156
25,1.4943,44.3156,92.5833,1.5267,43.3556,92.0100
26,1.5113,44.0133,91.8622,1.5419,43.1722,91.0056
27,1.4220,48.6833,92.9967,1.4531,47.6311,92.1967
28,1.4576,45.3078,93.3211,1.4911,44.1700,92.6222
29,1.4381,46.6256,92.6311,1.4700,45.7167,91.8300
30,1.4881,46.7989,91.4456,1.5212,45.8089,90.6067
31,1.3812,49.0889,93.4033,1.4151,47.9967,92.6900
32,1.4394,47.4122,92.8089,1.4714,46.2300,91.9956
33,1.5023,45.2778,91.6511,1.5317,44.3222,91.0278
34,1.4609,46.8089,92.5678,1.4929,45.7044,91.7756
35,1.4592,45.3022,92.9822,1.4908,44.3589,92.2156
36,1.4272,47.1533,92.9289,1.4566,46.2744,92.2567
37,1.4092,47.4178,93.3956,1.4416,46.1700,92.7578
38,1.3920,49.0244,93.4156,1.4243,47.8333,92.6467
39,1.4116,47.7478,93.3678,1.4467,46.6933,92.5733
40,1.4891,45.2089,91.7478,1.5214,44.5156,90.9300
41,1.3996,48.6811,93.2122,1.4324,47.5489,92.5789
42,1.4908,45.3233,91.9389,1.5206,44.1600,91.3167
43,1.4166,48.5456,93.4356,1.4494,47.3544,92.6811
44,1.4027,48.9533,93.2411,1.4357,47.8322,92.5133
45,1.4111,49.1833,92.6089,1.4447,47.8033,91.7711
46,1.4142,47.1856,92.9900,1.4506,46.0933,92.2567
47,1.4336,47.6889,92.9689,1.4644,46.4333,92.1900
48,1.4060,48.9678,93.2133,1.4389,47.8267,92.4478
49,1.4702,45.7256,92.3489,1.5015,44.7156,91.7744
50,1.4236,49.0156,92.5722,1.4579,47.7122,91.8656
51,1.4482,45.3522,92.4667,1.4814,44.1389,91.7378
52,1.3879,50.0500,92.9511,1.4246,48.6044,92.1511
53,1.4133,47.1167,93.5133,1.4491,46.0167,92.7356
54,1.5301,45.1944,90.1600,1.5592,44.3511,89.5589
55,1.5223,42.1178,92.5611,1.5535,41.3667,91.7589
56,1.4089,48.6911,93.4289,1.4425,47.3189,92.5767
57,1.4681,45.8222,92.5311,1.5003,44.8844,91.6867
58,1.4248,46.4900,93.1811,1.4578,45.5411,92.4989
59,1.4808,44.8933,91.7711,1.5087,43.9533,91.1633
60,1.3985,48.7567,93.5100,1.4319,47.7078,92.7678
61,1.4374,48.2378,93.1433,1.4702,46.6233,92.3544
62,1.3851,50.3322,93.2578,1.4169,48.9778,92.4511
63,1.3946,49.1444,93.4356,1.4274,47.7856,92.6911
64,1.4117,48.3633,93.1467,1.4442,47.1567,92.3289
65,1.5624,43.2900,90.8411,1.5937,42.4367,90.2000
66,1.4793,44.5689,92.9378,1.5129,43.5544,92.2311
67,1.4184,46.7689,93.4211,1.4505,45.8122,92.7556
68,1.4325,47.8756,92.8056,1.4670,46.6222,92.1278
69,1.3768,50.3611,93.7989,1.4127,48.9933,92.9700
70,1.4627,46.7800,91.4522,1.4940,45.9378,90.7733
71,1.3934,49.5756,93.1589,1.4275,48.2122,92.3611
72,1.4702,46.2067,91.5022,1.5031,45.2278,90.8589
73,1.4110,49.7033,93.3933,1.4432,48.3956,92.6456
74,1.3834,50.7822,93.5844,1.4163,49.3311,92.7733
75,1.3979,49.3467,93.3544,1.4292,48.2067,92.5978
76,1.4467,47.5944,92.3622,1.4804,46.4267,91.4933
77,1.4216,48.6933,92.9356,1.4536,47.7489,92.2011
78,1.6091,40.8611,90.0356,1.6377,40.1856,89.5056
79,1.3797,49.9478,93.7522,1.4148,48.4556,92.9344
80,1.3841,50.5100,93.1233,1.4188,49.0356,92.4300
81,1.4839,44.9389,91.9200,1.5162,43.8656,91.2711
82,1.4148,47.7056,93.2567,1.4480,46.5922,92.5944
83,1.5145,45.5256,91.4056,1.5480,44.6022,90.5489
84,1.3685,50.4333,93.5956,1.4022,49.1400,92.8356
85,1.4183,48.7411,93.2078,1.4522,47.5822,92.5544
86,1.4595,45.9278,92.9422,1.4938,44.8489,92.1267
87,1.4286,47.4200,93.3489,1.4609,46.2867,92.4300
88,1.4014,48.7967,93.5633,1.4343,47.3233,92.7189
89,1.3894,49.9544,92.9378,1.4216,48.5867,92.1456
90,1.3828,49.2633,93.7689,1.4176,47.9811,93.0167
91,1.4006,47.8444,93.4267,1.4355,46.4744,92.6833
92,1.4051,48.0356,93.2300,1.4391,46.8467,92.5244
93,1.4624,46.9600,91.9911,1.4934,45.7844,91.1333
94,1.4687,45.9422,92.1044,1.5006,44.8556,91.3611
95,1.5584,44.9078,88.8133,1.5911,43.7922,88.0644
96,1.4225,47.7478,92.6111,1.4568,46.4222,91.8656
97,1.4739,45.4033,92.3522,1.5077,44.0856,91.7678
98,1.4032,48.8033,93.0422,1.4364,47.3656,92.3800
99,1.5138,44.5900,90.7978,1.5464,43.7622,90.2578
100,1.4394,46.5856,92.6333,1.4723,45.6178,91.7956
