round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
1,1.6783,37.2960,88.7880,1.6804,37.1100,88.8300
2,1.4950,45.4900,91.7580,1.4978,45.1800,91.7200
3,1.3572,51.4500,93.5040,1.3677,50.7500,93.3600
4,1.2496,55.6580,94.9120,1.2711,54.5500,94.6300
5,1.2027,57.6880,95.2740,1.2318,56.1900,94.8300
6,1.1291,60.2780,95.7880,1.1646,59.3600,95.3200
7,1.1241,60.0420,96.0300,1.1670,59.0500,95.5300
8,1.0632,63.1660,96.5580,1.1132,60.9000,96.1100
9,1.0306,63.9360,96.7340,1.0872,62.0500,96.1300
10,1.0074,65.2720,96.9420,1.0700,62.9400,96.2800
11,1.0086,65.0780,96.7960,1.0817,62.1600,95.9900
12,0.9925,65.7540,96.8800,1.0688,62.9500,96.0800
13,0.9747,66.9640,97.0640,1.0475,64.4700,96.3800
14,0.9417,67.4780,97.3340,1.0235,64.6300,96.4100
15,0.9287,68.3640,97.4000,1.0146,65.0500,96.6200
16,0.9233,68.5040,97.4580,1.0116,65.2300,96.5400
17,0.9020,69.3720,97.6380,0.9950,65.7100,96.7600
18,0.8985,69.4400,97.5300,0.9946,66.2200,96.4500
19,0.8754,70.6200,97.7500,0.9793,66.6900,96.8900
20,0.8953,69.1260,97.6020,0.9935,65.3800,96.6700
21,0.8731,70.4340,97.8000,0.9729,66.3200,96.7500
22,0.8723,70.2960,97.7720,0.9773,66.0700,96.7200
23,0.8752,70.4360,97.6900,0.9805,66.0600,96.9200
24,0.8684,71.1140,97.9120,0.9749,66.6800,96.9100
25,0.8497,71.7020,97.9220,0.9557,67.3700,96.9000
26,0.8559,70.9160,97.8820,0.9663,66.4700,96.9800
27,0.8484,71.3640,97.9400,0.9563,67.2500,96.9300
28,0.8513,71.2580,97.8340,0.9596,67.0600,96.9800
29,0.8595,70.7740,97.9020,0.9713,66.6100,96.8700
30,0.8622,70.1340,97.8340,0.9732,65.9400,96.8900
31,0.8374,72.1560,97.9920,0.9546,67.6500,96.7600
