round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
1,4.4300,2.5260,11.1780,4.4337,2.5600,11.4300
2,4.0144,8.1700,25.7820,4.0271,8.1100,25.4200
3,3.7906,11.3100,33.0980,3.8127,11.1400,32.7700
4,3.6071,14.7220,38.9660,3.6313,14.7000,38.3600
5,3.4749,17.1940,42.7920,3.5148,17.1000,41.7800
6,3.3562,19.2460,46.6560,3.4027,18.5700,45.7500
7,3.2687,20.7580,48.8400,3.3295,20.2100,47.7200
8,3.1967,22.5140,51.0360,3.2703,21.7300,49.6500
9,3.1664,22.8140,51.4900,3.2408,22.6400,49.7200
10,3.0959,24.4700,53.5600,3.1794,22.7800,51.5700
11,3.0606,25.1040,54.4580,3.1567,23.5000,51.9000
12,3.0236,26.0520,55.4400,3.1205,24.5000,53.5700
13,3.0066,25.8560,55.8960,3.1081,24.5300,53.3000
14,2.9625,26.8980,56.9920,3.0692,25.4900,54.6300
15,2.9426,27.8060,57.4440,3.0574,25.9200,54.4600
16,2.9031,28.0160,58.1540,3.0312,26.0700,54.9600
17,2.9071,28.3060,58.2680,3.0272,26.6800,55.2000
18,2.8638,29.2680,59.3920,2.9950,27.2000,55.9800
19,2.8499,29.3980,59.6840,2.9814,27.0200,56.6800
20,2.8431,29.8220,60.2320,2.9780,27.0800,56.7400
21,2.8318,29.7640,60.3600,2.9808,27.1000,56.6300
22,2.7921,30.5440,61.3580,2.9389,28.2000,56.9800
23,2.8236,29.8140,60.1360,2.9724,27.0600,56.4800
24,2.7645,31.2120,62.0560,2.9180,28.5900,58.1700
25,2.7526,31.8920,62.3480,2.9093,28.5300,58.6100
26,2.8008,30.2260,60.6960,2.9697,27.5200,56.4000
27,2.7586,31.6600,62.3080,2.9282,28.2700,58.1600
28,2.7271,32.2320,62.9360,2.8884,29.2000,58.2700
29,2.7129,31.8940,62.9000,2.8880,28.5600,58.4600
30,2.7040,32.5280,63.4120,2.8846,28.9400,58.6400
31,2.7108,32.1260,63.1640,2.8910,28.4700,58.5200
32,2.6739,33.4040,64.2020,2.8552,30.0600,59.1400
33,2.6807,32.7880,64.0500,2.8611,29.4200,59.1300
34,2.7006,32.9840,63.3760,2.8830,29.5500,58.6500
35,2.6560,33.4920,64.3820,2.8510,29.4500,59.5400
36,2.6682,33.0820,63.9940,2.8602,28.9500,59.0300
37,2.6359,33.8140,64.6600,2.8333,30.4700,59.2200
38,2.6418,33.6560,64.6260,2.8465,30.0400,59.3700
39,2.6223,34.2300,65.1080,2.8238,30.7900,60.0700
40,2.6207,34.5000,65.0380,2.8249,30.4300,59.9400
41,2.6208,33.9700,64.8700,2.8322,29.9400,59.4300
42,2.6320,34.6380,65.4160,2.8380,30.2600,60.0800
43,2.5862,35.1920,66.1560,2.8023,30.8500,60.4200
44,2.5997,34.9900,65.9480,2.8083,30.1900,60.5200
45,2.6247,34.1680,65.5220,2.8381,30.2600,59.7100
46,2.5931,34.6720,65.5240,2.8141,29.8800,59.9900
47,2.5825,35.3200,66.4660,2.7994,30.4200,60.8400
48,2.5823,34.9040,65.7060,2.8024,30.6300,60.4100
49,2.5748,34.8060,65.9100,2.7958,30.1900,60.8000
50,2.5771,34.7280,65.8300,2.8043,30.5800,60.3000
51,2.5806,35.2260,66.3500,2.7956,31.3200,60.7200
52,2.5508,35.8840,66.7620,2.7712,31.5300,61.2700
53,2.5630,35.5240,66.5000,2.7901,30.9200,60.5500
54,2.5604,35.8580,67.1280,2.7797,31.1700,61.3900
55,2.5323,36.2680,67.1720,2.7706,31.4700,61.6200
56,2.5491,35.5920,66.6400,2.7706,31.0200,61.0900
57,2.5426,35.9460,66.4940,2.7703,31.1500,60.6000
58,2.5510,35.8980,66.8180,2.7842,31.1700,61.1400
59,2.5454,36.0480,66.9800,2.7768,31.9000,61.0300
60,2.5345,35.8040,67.3980,2.7624,30.9900,61.5600
61,2.5252,36.0860,67.2720,2.7550,31.5200,61.3900
62,2.5509,35.6600,66.9940,2.7870,31.0100,60.8900
63,2.5370,35.9800,67.3080,2.7743,31.0900,61.4200
64,2.5519,35.5700,66.7920,2.7878,30.9400,60.6600
65,2.5308,36.1420,66.9400,2.7758,31.5000,61.1700
66,2.5229,36.6640,67.7880,2.7563,31.9700,61.6800
67,2.5053,36.4180,67.7560,2.7381,31.6400,62.1900
68,2.5172,35.8580,67.2780,2.7572,31.4200,61.2900
69,2.5088,36.6900,67.8280,2.7440,31.9800,61.8200
70,2.5102,35.9580,67.6080,2.7552,31.2500,62.0500
71,2.5010,36.8780,68.1560,2.7377,31.8700,62.3800
72,2.5336,36.2640,67.6140,2.7663,31.7500,61.7000
73,2.5159,36.3400,67.5740,2.7519,31.5100,61.5800
74,2.5275,36.0360,67.1500,2.7635,30.9800,61.6800
75,2.5355,35.9460,67.0060,2.7691,31.4000,61.5100
76,2.5024,36.5600,67.6920,2.7434,31.5600,62.0900
77,2.5116,37.2180,68.0760,2.7444,31.6200,62.0700
78,2.5290,36.1060,67.6240,2.7586,31.6900,62.1300
79,2.4839,37.1120,68.2700,2.7213,32.0900,62.3200
80,2.4994,36.5380,67.9860,2.7395,31.9100,62.1100
81,2.4795,37.2560,68.3160,2.7175,32.3200,62.7700
82,2.5169,35.4680,67.4180,2.7537,31.1000,61.9300
83,2.4762,37.4340,68.4700,2.7198,32.4000,62.8600
84,2.5003,36.3580,68.1520,2.7384,31.7000,62.1600
85,2.4910,37.0860,68.1780,2.7411,31.7300,62.2900
86,2.4894,37.4140,68.1900,2.7279,32.0800,62.4000
87,2.4872,37.2320,68.3640,2.7227,32.3000,62.7500
88,2.4589,38.0400,69.1500,2.7022,32.6500,62.9900
89,2.4613,37.5640,68.9900,2.7073,32.3500,62.7200
90,2.4695,37.1820,68.2560,2.7172,32.3000,62.3800
91,2.4633,38.0740,68.9560,2.7091,32.3300,62.8900
92,2.4859,36.6140,67.9500,2.7226,32.0500,62.3700
93,2.4659,37.0280,68.3920,2.7171,32.2700,62.2100
94,2.4831,36.6420,68.1560,2.7258,31.9300,62.1400
95,2.4716,36.8020,68.2540,2.7134,32.4200,62.4600
96,2.4300,38.1780,69.4080,2.6794,33.1900,62.9900
97,2.4557,37.6200,69.4540,2.7072,32.3700,63.0100
98,2.4860,36.6520,68.2120,2.7199,32.0600,62.3300
99,2.4297,38.2380,69.5020,2.6771,33.1900,63.6300
100,2.4488,37.6200,68.9500,2.7024,32.3400,63.2800
