round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
1,1.7056,37.2880,88.1320,1.7000,37.6500,88.7300
2,1.4605,46.9080,92.4380,1.4626,46.9600,92.3400
3,1.3775,50.1580,93.5620,1.3847,49.4200,93.5500
4,1.2636,55.4200,94.9260,1.2767,54.5100,94.7900
5,1.2155,56.7060,95.2720,1.2358,56.0000,95.0700
6,1.1667,58.6900,95.7620,1.2006,56.9100,95.3100
7,1.2163,57.3180,94.8920,1.2433,56.0900,94.6000
8,1.1330,59.1380,95.9360,1.1719,58.0600,95.5200
9,1.1070,61.0020,96.2480,1.1506,59.3800,95.7900
10,1.0548,63.5140,96.6420,1.1050,61.3500,96.1600
11,1.0713,62.5860,96.3760,1.1226,60.7800,95.7000
12,1.0731,61.9100,96.5160,1.1234,59.8600,95.9400
13,1.0463,63.1820,96.8200,1.1023,61.5500,95.9600
14,1.0074,64.5880,96.9920,1.0716,62.6800,96.3700
15,0.9813,65.4340,97.0540,1.0480,63.5700,96.4500
16,0.9907,65.5580,97.1360,1.0656,62.6700,96.6000
17,0.9686,66.6760,97.1580,1.0408,64.6400,96.4900
18,0.9680,66.3720,97.1820,1.0430,64.1500,96.4100
19,0.9664,66.1540,97.2800,1.0493,62.9800,96.4700
20,0.9576,66.9080,97.3160,1.0354,64.3800,96.6100
21,0.9305,67.7760,97.3440,1.0132,64.6400,96.5600
22,0.9228,68.2960,97.4140,1.0064,65.0500,96.8000
23,0.9684,66.5520,97.0960,1.0534,63.1200,96.6000
24,0.9291,68.2540,97.2540,1.0229,64.6000,96.2000
25,0.9020,68.7880,97.6280,0.9934,65.6900,97.0200
26,0.9339,67.0660,97.5180,1.0437,63.4500,96.6500
27,0.8834,69.5520,97.6000,0.9790,66.3600,96.9800
28,0.8803,69.8620,97.7540,0.9770,66.2700,96.9700
29,0.8729,69.6680,97.7140,0.9824,65.9800,96.8000
30,0.8966,69.0200,97.5620,0.9935,65.5600,96.6900
31,0.8879,69.8780,97.6600,0.9936,65.6000,96.9100
32,0.9215,67.7000,97.6760,1.0223,64.2500,96.7500
33,0.9060,69.0160,97.3620,1.0097,65.5500,96.2900
34,0.8618,70.3000,97.8020,0.9730,66.4000,97.0200
35,0.8922,69.4660,97.7220,1.0026,65.5200,96.9000
36,0.9074,69.0620,97.6260,1.0194,65.1700,97.0400
37,0.8590,70.5300,97.8660,0.9746,66.6700,96.9200
38,0.8729,69.6320,97.8440,0.9883,66.0700,96.9400
39,0.8810,70.2460,97.4360,0.9998,65.8300,96.5300
40,0.9082,68.7500,97.5800,1.0249,64.5800,96.4700
41,0.8469,71.3260,97.8280,0.9630,67.0200,96.8500
42,0.8727,69.5620,97.7900,0.9889,65.5400,96.7700
43,0.8658,70.0660,97.9580,0.9867,66.0100,96.9200
44,0.8724,70.0720,97.7860,0.9873,66.2100,97.0100
45,0.9181,68.0200,97.5620,1.0266,64.7300,96.6200
46,0.8950,68.9160,97.5660,1.0078,65.3100,96.4400
47,0.8596,70.3680,97.7860,0.9800,66.0100,96.7400
48,0.8659,70.4360,97.7420,0.9821,66.5300,96.8300
49,0.8698,69.4400,97.9840,0.9962,64.7500,96.8000
50,0.8394,71.5600,97.9580,0.9688,66.4100,96.9500
51,0.8775,70.2400,97.5880,1.0003,65.6200,96.6200
52,0.8709,69.7220,97.8120,0.9972,65.4100,96.6100
53,0.8261,72.2860,98.0340,0.9543,67.1600,96.8900
54,0.8551,70.6660,97.8300,0.9855,66.2100,96.4700
55,0.8759,70.2280,97.4960,1.0002,65.8600,96.5400
56,0.8910,68.9960,97.8260,1.0196,64.5100,96.8700
57,0.8651,70.2240,97.7860,0.9949,65.3900,96.8800
58,0.8636,70.1340,97.6800,0.9957,65.4700,96.6200
59,0.8541,70.2080,97.9260,0.9842,66.1100,96.6200
60,0.8314,71.9520,98.0600,0.9586,67.1200,96.9300
61,0.8311,71.7780,97.9400,0.9630,66.9200,96.8400
62,0.8393,71.1860,97.9980,0.9753,66.3300,96.9000
63,0.8510,70.6720,97.7440,0.9809,66.2900,96.6600
64,0.9275,68.0420,97.0460,1.0585,63.6200,95.5300
65,0.8422,70.9860,97.8800,0.9797,66.1200,96.6500
66,0.8453,71.2280,97.9300,0.9816,66.2300,96.6800
67,0.8422,71.0840,97.9140,0.9832,66.0300,96.8500
68,0.8548,70.6680,97.9940,0.9906,66.0700,96.6800
69,0.8173,72.5240,98.2100,0.9574,67.3400,97.0500
70,0.8761,69.4080,97.7460,1.0150,64.3900,96.6300
71,0.8402,71.3260,98.0140,0.9747,66.3800,96.7400
