round,train_loss,train_top1,train_top5,test_loss,test_top1,test_top5
1,1.7501,34.9889,87.6267,1.7634,34.5578,87.2000
2,1.6077,40.4433,90.2722,1.6220,39.8100,89.6644
3,1.5524,42.7122,91.1322,1.5729,41.9000,90.5189
4,1.5216,43.8578,91.4622,1.5421,43.2789,90.9267
5,1.4767,45.3667,92.1556,1.5026,44.7756,91.5978
6,1.4294,47.5822,92.6844,1.4568,46.7278,92.2400
7,1.4262,47.9733,93.0122,1.4559,46.9211,92.3822
8,1.3928,49.3844,93.2622,1.4234,48.2867,92.7256
9,1.3761,49.9033,93.5956,1.4090,48.6544,92.9967
10,1.3716,49.9489,93.4900,1.4108,48.6478,92.7333
11,1.4862,45.5889,92.2878,1.5219,44.5244,91.5556
12,1.3513,50.8411,93.5578,1.3887,49.5011,92.9378
13,1.3615,49.9589,93.8244,1.4005,48.5844,93.0289
14,1.3285,51.9189,94.1733,1.3698,50.2589,93.3400
15,1.3465,51.0422,93.6744,1.3852,49.4589,93.0056
16,1.3173,52.2844,94.1944,1.3580,50.8211,93.4978
17,1.3724,49.5122,93.7822,1.4116,48.0100,93.0156
18,1.3702,49.0422,94.0256,1.4112,47.4389,93.2589
19,1.3344,51.4444,94.0822,1.3759,49.9522,93.4356
20,1.3059,52.6078,94.1256,1.3475,51.1711,93.3667
21,1.3126,52.6433,94.2922,1.3545,50.8833,93.6367
22,1.3255,51.6700,94.3222,1.3685,49.9789,93.5411
23,1.3388,52.0644,93.4589,1.3817,50.2744,92.8000
24,1.3095,53.1067,94.2556,1.3506,51.3589,93.6011
25,1.3194,52.1911,94.2467,1.3636,50.3667,93.5167
26,1.3254,52.3367,94.0089,1.3675,50.5078,93.2144
27,1.3286,51.7944,93.8778,1.3711,50.3267,93.2400
28,1.3199,52.4911,94.0922,1.3645,50.8578,93.3633
29,1.2953,53.2567,94.3133,1.3394,51.3144,93.5056
30,1.3209,51.6311,94.0956,1.3645,49.8889,93.4089
31,1.3281,52.0044,93.8244,1.3726,50.3867,93.1933
32,1.2983,53.7822,94.3456,1.3413,51.9422,93.6989
33,1.3146,52.8067,94.1756,1.3603,50.9367,93.5122
34,1.2759,54.0433,94.6411,1.3232,51.6978,93.8833
35,1.3181,52.4711,93.8378,1.3626,50.7400,93.1533
36,1.3403,51.4178,93.7178,1.3843,49.8100,93.1311
37,1.3057,52.7644,94.2922,1.3523,50.8533,93.5444
38,1.3571,51.7289,93.2344,1.4007,49.9756,92.3267
39,1.3229,52.4589,94.0144,1.3669,50.6922,93.2533
40,1.3234,52.1756,93.9900,1.3700,50.3722,93.1567
41,1.3172,52.7056,94.0856,1.3602,50.8678,93.3956
42,1.3733,50.3900,93.3267,1.4156,48.9644,92.6944
43,1.3539,50.9533,93.4611,1.3997,49.6044,92.7633
44,1.2971,52.7144,94.3933,1.3428,50.9889,93.7167
45,1.3587,50.9700,93.2911,1.4009,49.3467,92.6022
46,1.3023,52.7867,94.2367,1.3488,50.7956,93.4833
47,1.2817,54.1844,94.5311,1.3305,52.0011,93.7756
48,1.2812,54.1444,94.5622,1.3275,52.2433,93.8167
49,1.3086,52.6889,94.2544,1.3542,50.8600,93.5100
50,1.3591,51.0833,93.7156,1.4046,49.3522,92.8878
